
[00:00:00.000 --> 00:00:06.840]  幾年之前我就去Tasmania環島旅遊
[00:00:06.840 --> 00:00:12.420]  當我去到這個Hobart
[00:00:12.420 --> 00:00:13.960]  如果大家去過的話
[00:00:13.960 --> 00:00:18.120]  不知道有沒有去過一個很出名在那裡的博物館
[00:00:18.120 --> 00:00:20.000]  那個博物館叫Mona
[00:00:20.000 --> 00:00:24.120]  我記得在進入那個博物館的時候
[00:00:24.120 --> 00:00:28.280]  裡面有很多古靈精怪千奇百怪的東西
[00:00:28.280 --> 00:00:31.920]  其中有一個叫做懺悔室
[00:00:31.920 --> 00:00:35.120]  其實是一條通道
[00:00:35.120 --> 00:00:37.120]  你就會向著那個通道走
[00:00:37.120 --> 00:00:41.040]  我發覺那個通道越走越窄越矮
[00:00:41.040 --> 00:00:43.840]  去到盡頭的時候
[00:00:43.840 --> 00:00:46.640]  你就要不蹲在那裡要不跪在那裡
[00:00:46.640 --> 00:00:48.560]  就對了懺悔室
[00:00:48.560 --> 00:00:50.080]  就要跪在那裡
[00:00:50.080 --> 00:00:54.200]  對著那個盡頭就有一個通氣口
[00:00:54.200 --> 00:00:57.200]  那就是懺悔
[00:00:57.200 --> 00:01:01.720]  就在那裡的時候
[00:01:01.720 --> 00:01:03.600]  我都忘記講什麼了
[00:01:03.600 --> 00:01:06.840]  我當是一個遊戲
[00:01:06.840 --> 00:01:08.560]  我都忘記講什麼了
[00:01:08.560 --> 00:01:10.640]  我出來之後
[00:01:10.640 --> 00:01:11.880]  轉個彎
[00:01:11.880 --> 00:01:13.600]  就見到一個這樣的東西
[00:01:13.600 --> 00:01:16.400]  大家知不知道是什麼東西來的
[00:01:16.400 --> 00:01:17.920]  是一個大的喇叭
[00:01:17.920 --> 00:01:19.400]  一個Speaker
[00:01:19.400 --> 00:01:21.920]  我去到那個Speaker
[00:01:21.920 --> 00:01:25.720]  我才明白那個懺悔室是什麼玩意
[00:01:25.720 --> 00:01:28.400]  那個東西在那個懺悔室裡面
[00:01:28.400 --> 00:01:30.720]  那個人就在那裡講話懺悔
[00:01:30.720 --> 00:01:33.600]  外面你經過這個大喇叭
[00:01:33.600 --> 00:01:36.240]  裡面懺悔的人所講過的話
[00:01:36.240 --> 00:01:39.120]  在那個大喇叭裡面播出來的
[00:01:39.120 --> 00:01:41.000]  我走過的時候
[00:01:41.000 --> 00:01:45.480]  我就剛剛聽到一個女性的懺悔
[00:01:45.480 --> 00:01:48.400]  她就大致上就說
[00:01:48.400 --> 00:01:51.800]  曾經在一次的超市那裡偷東西
[00:01:51.800 --> 00:01:53.200]  沒有給錢
[00:01:53.200 --> 00:01:55.800]  就被她成功偷了東西 那就慘了
[00:01:55.800 --> 00:01:57.640]  就是因為成功偷了東西之後
[00:01:57.640 --> 00:02:00.200]  這個的內疚感
[00:02:00.200 --> 00:02:02.760]  罪疚感一直折磨她
[00:02:02.760 --> 00:02:03.800]  去到哪裡呢
[00:02:03.800 --> 00:02:07.000]  就間中這個內疚感就會彈出來
[00:02:07.000 --> 00:02:08.200]  來指控她
[00:02:08.200 --> 00:02:10.040]  她說她很辛苦
[00:02:10.040 --> 00:02:12.280]  在那個懺悔文那裡
[00:02:12.280 --> 00:02:15.800]  為了這個事情來懺悔
[00:02:15.800 --> 00:02:17.680]  我就剛剛經過看一看
[00:02:17.680 --> 00:02:19.640]  周圍都沒有人
[00:02:19.640 --> 00:02:21.160]  你會不會答嘴
[00:02:21.160 --> 00:02:24.680]  我那時候就答嘴
[00:02:24.680 --> 00:02:26.400]  但是英文講
[00:02:26.400 --> 00:02:28.760]  My daughter, you are forgiven
[00:02:28.760 --> 00:02:30.000]  Go in peace
[00:02:30.000 --> 00:02:32.280]  我還整整八聲來講
[00:02:32.280 --> 00:02:34.760]  我以為是遊戲
[00:02:34.760 --> 00:02:36.520]  你知道她怎樣回答我嗎
[00:02:36.520 --> 00:02:39.120]  我以為她都是開玩笑地回答我
[00:02:39.120 --> 00:02:41.520]  但不是
[00:02:41.520 --> 00:02:43.400]  她那個語調
[00:02:43.400 --> 00:02:45.000]  很輕生
[00:02:45.000 --> 00:02:46.200]  Thank you
[00:02:46.200 --> 00:02:47.160]  Thank you
[00:02:47.160 --> 00:02:50.080]  Thank you very much
[00:02:50.080 --> 00:02:56.960]  她當了那個是一個真實被寬恕的一個機會
[00:02:56.960 --> 00:02:57.880]  我聽了之後
[00:02:57.880 --> 00:03:01.240]  我就沒有意思再開玩笑下去
[00:03:01.240 --> 00:03:02.880]  我又看一看周圍的人
[00:03:02.880 --> 00:03:04.240]  我很詫異一件事
[00:03:04.240 --> 00:03:05.720]  當時我都不知道
[00:03:05.720 --> 00:03:07.760]  我不是只講一句
[00:03:07.760 --> 00:03:09.640]  講了幾句
[00:03:09.640 --> 00:03:11.040]  當我去回一回神
[00:03:11.040 --> 00:03:12.160]  就是看一看周圍的時候
[00:03:12.160 --> 00:03:14.640]  竟然有三幾個人在我旁邊
[00:03:14.640 --> 00:03:16.080]  而更加令我出奇的是
[00:03:16.080 --> 00:03:18.400]  這三幾個人我看下去
[00:03:18.400 --> 00:03:20.400]  他們的面孔上面掛著
[00:03:20.400 --> 00:03:23.680]  喜悅、開心的面孔
[00:03:23.680 --> 00:03:26.080]  令我很深刻反省就是
[00:03:26.080 --> 00:03:28.720]  很深刻反省
[00:03:28.720 --> 00:03:31.480]  就是當一個人
[00:03:31.480 --> 00:03:34.160]  他的犯的錯誤
[00:03:34.160 --> 00:03:36.520]  能夠被赦免
[00:03:36.520 --> 00:03:38.280]  很大的喜樂
[00:03:38.280 --> 00:03:42.240]  當人見到其他人得到赦免
[00:03:42.240 --> 00:03:45.400]  同樣是經歷很大的喜樂
[00:03:45.400 --> 00:03:47.320]  我們剛才所讀的經文
[00:03:47.320 --> 00:03:50.960]  就是講到大胃王曾經犯過罪
[00:03:50.960 --> 00:03:52.240]  不過在經文告訴我們
[00:03:52.240 --> 00:03:53.680]  他一段時間不肯認罪
[00:03:53.680 --> 00:03:55.520]  不肯你都是去悔改
[00:03:55.520 --> 00:03:59.520]  但是經文一路下去的時候
[00:03:59.520 --> 00:04:02.200]  當他認真地去懺悔
[00:04:02.200 --> 00:04:03.600]  求寬恕的時候
[00:04:03.600 --> 00:04:05.200]  神就寬恕他
[00:04:05.200 --> 00:04:09.120]  當中那一個情緒的起伏
[00:04:09.120 --> 00:04:14.320]  可以大家來學習這個功課
[00:04:14.320 --> 00:04:19.320]  究竟喜樂的秘訣是在哪裡呢?
[00:04:19.320 --> 00:04:24.000]  有些人說人生裡面有兩種痛苦
[00:04:24.000 --> 00:04:26.680]  通常是每一個人都經驗到的
[00:04:26.680 --> 00:04:30.280]  第一類的痛苦就是我們感覺到的痛苦
[00:04:30.280 --> 00:04:35.360]  第二種的痛苦就是我們嘗試隱藏的痛苦
[00:04:35.360 --> 00:04:37.080]  而通常
[00:04:37.080 --> 00:04:38.520]  對不起了
[00:04:38.520 --> 00:04:42.560]  通常我們想隱藏的痛苦
[00:04:42.560 --> 00:04:45.120]  是反而更加大的痛苦
[00:04:45.120 --> 00:04:47.960]  這段經文32篇的詩篇
[00:04:47.960 --> 00:04:51.640]  大胃當他提到他曾經犯過的罪
[00:04:51.640 --> 00:04:53.600]  又不肯認罪的時候
[00:04:53.600 --> 00:04:57.400]  他跟我們分享他經歷的那個很嚴重的罪疚感
[00:04:57.400 --> 00:04:59.200]  不安、羞愧、內疚
[00:04:59.200 --> 00:05:00.920]  全部一湧而上
[00:05:00.920 --> 00:05:04.920]  有些人說人生最大的重擔
[00:05:04.920 --> 00:05:09.200]  就是一些我們不肯承認的罪惡
[00:05:09.200 --> 00:05:11.240]  那個罪疚感很重的
[00:05:11.240 --> 00:05:14.840]  而大胃通過他個人的經驗在這裡告訴我們
[00:05:14.840 --> 00:05:17.640]  當他嘗試隱藏
[00:05:17.640 --> 00:05:19.600]  不要讓人知道他所犯過的錯
[00:05:19.600 --> 00:05:21.000]  又不肯承認的時候
[00:05:21.000 --> 00:05:22.960]  他的那個罪疚感
[00:05:22.960 --> 00:05:26.960]  剝削了他生命的起落
[00:05:26.960 --> 00:05:32.400]  將他的生命力慢慢地消磨殆盡
[00:05:32.400 --> 00:05:35.240]  他的那個罪疚感就像影一樣跟著他
[00:05:35.240 --> 00:05:36.840]  去到哪裡就跟到哪裡
[00:05:37.680 --> 00:05:41.480]  當大胃...我們會問
[00:05:41.480 --> 00:05:43.160]  那究竟大胃犯過什麼罪呢?
[00:05:43.160 --> 00:05:46.000]  他又不肯承認是什麼情況呢?
[00:05:46.000 --> 00:05:48.800]  如果我們看聖經在這個撒姆爾記下的時候
[00:05:48.800 --> 00:05:51.160]  記載了大胃的一個故事
[00:05:51.160 --> 00:05:52.560]  一個故事就是說
[00:05:52.560 --> 00:05:56.560]  在大胃平靜、安定了他的江山之後
[00:05:56.560 --> 00:05:58.680]  突然之間大胃發覺
[00:05:58.680 --> 00:06:01.800]  他不再是戰場上的戰士
[00:06:01.800 --> 00:06:06.680]  而是在皇宮裡面躺平的皇帝
[00:06:06.680 --> 00:06:09.840]  睡到太陽平西
[00:06:09.840 --> 00:06:13.120]  然後睡醒後伸個懶腰出來
[00:06:13.120 --> 00:06:17.160]  在皇宮上平頂上遊行的時候
[00:06:17.160 --> 00:06:19.480]  突然間見到一個婦人沐浴
[00:06:19.480 --> 00:06:21.160]  容貌甚美
[00:06:21.160 --> 00:06:25.080]  然後就叫這個婦人來到皇宮找他
[00:06:25.080 --> 00:06:26.680]  然後犯下奸淫
[00:06:26.680 --> 00:06:29.760]  然後就用他的權勢
[00:06:29.760 --> 00:06:34.960]  安排這個婦人的丈夫被殺在戰場上
[00:06:34.960 --> 00:06:36.960]  一年之後
[00:06:36.960 --> 00:06:42.080]  這個婦人就為大胃王生下一個兒子
[00:06:42.080 --> 00:06:48.960]  不過大胃王沒有在神面前承認這個過錯
[00:06:48.960 --> 00:06:50.440]  以為沒事的
