
[00:00:00.000 --> 00:00:06.000]  今日和大家分享的題目叫「主張得救的人天天加給教會」
[00:00:06.000 --> 00:00:11.000]  就是我們剛才經文二章四十七節裡面最後一節的聖經
[00:00:11.000 --> 00:00:17.000]  我們很深信一件事就是神是很賜福教會的
[00:00:17.000 --> 00:00:21.000]  相信神很愛我們世上每一個人
[00:00:21.000 --> 00:00:25.000]  祂很想我們每一個人都能夠信靠耶穌
[00:00:25.000 --> 00:00:27.000]  當我們信靠耶穌之後
[00:00:27.000 --> 00:00:31.000]  我們就能夠在教會裡面生命繼續成長
[00:00:31.000 --> 00:00:34.000]  這也是神的心意
[00:00:34.000 --> 00:00:39.000]  我相信這也是我對「燒浸」的一個夢想
[00:00:39.000 --> 00:00:46.000]  因為我們很願意我們的教會成為一家天天令人歸主的教會
[00:00:46.000 --> 00:00:49.000]  我忘了拿一個控制
[00:00:49.000 --> 00:00:51.000]  可不可以給我一個指示
[00:00:51.000 --> 00:00:55.000]  下一章其實我們在上兩個禮
[00:00:55.000 --> 00:01:02.000]  這章講到一個運動叫做「十載全球福音遍全」的運動
[00:01:02.000 --> 00:01:05.000]  這個運動其實有一個目標
[00:01:05.000 --> 00:01:08.000]  就是由2021年到2030年
[00:01:08.000 --> 00:01:14.000]  我們向世間上每一個人都能夠分享福音
[00:01:14.000 --> 00:01:20.000]  透過這個行動其實不只是一個機構
[00:01:20.000 --> 00:01:25.000]  世間上有百多個福音機構同心去做這件事
[00:01:25.000 --> 00:01:29.000]  我們上個月響應了這個運動
[00:01:29.000 --> 00:01:34.000]  我們參加了一個「遍全」的運動
[00:01:34.000 --> 00:01:38.000]  我們在尖沙咀潮人生命堂
[00:01:38.000 --> 00:01:43.000]  有十多位弟兄姊妹跟我們一起參加
[00:01:43.000 --> 00:01:47.000]  整個活動其實有140人參加
[00:01:47.000 --> 00:01:52.000]  有超過11間教會的參加
[00:01:52.000 --> 00:01:54.000]  所以我們很興奮
[00:01:54.000 --> 00:01:59.000]  我們派到尖沙咀太空館和文化中心
[00:01:59.000 --> 00:02:01.000]  跟人分享福音
[00:02:01.000 --> 00:02:04.000]  大家知道那個地方是一個遊客區
[00:02:04.000 --> 00:02:07.000]  所以我自己都要接受挑戰
[00:02:07.000 --> 00:02:10.000]  用普通話跟人分享福音
[00:02:10.000 --> 00:02:15.000]  我也分享了一對從湖南來的夫婦
[00:02:15.000 --> 00:02:19.000]  原來他們都有機會聽過福音
[00:02:19.000 --> 00:02:23.000]  所以我將整個福音跟他們說
[00:02:23.000 --> 00:02:25.000]  邀請他們決志
[00:02:25.000 --> 00:02:26.000]  他們又接受
[00:02:26.000 --> 00:02:29.000]  然後再跟他們做即時的栽培
[00:02:29.000 --> 00:02:33.000]  所以是一個很開心的經歷
[00:02:33.000 --> 00:02:38.000]  我們又嘗試跟一些保安員和清潔姐姐
[00:02:38.000 --> 00:02:40.000]  都有機會去分享福音
[00:02:40.000 --> 00:02:42.000]  大家都很興奮
[00:02:42.000 --> 00:02:47.000]  因為我們發現當我們真的去傳福音的時候
[00:02:47.000 --> 00:02:49.000]  神的聖靈就伴隨
[00:02:49.000 --> 00:02:53.000]  而且這次的特別地方就是帶我們隊
[00:02:53.000 --> 00:02:55.000]  有些是我自己帶隊
[00:02:55.000 --> 00:02:59.000]  但是有些隊是由其他教會的弟兄姊妹帶隊的
[00:02:59.000 --> 00:03:02.000]  我們經歷過同心合意
[00:03:02.000 --> 00:03:05.000]  一起去做好福音的工作
[00:03:05.000 --> 00:03:09.000]  所以大家都有很好的體會和學習
[00:03:09.000 --> 00:03:14.000]  在那一晚我們的啟發課程就有結業禮
[00:03:14.000 --> 00:03:22.000]  當中有很多弟兄姊妹和學員都很不捨得
[00:03:22.000 --> 00:03:24.000]  但是我們繼續邀請他們
[00:03:24.000 --> 00:03:28.000]  都能夠回到我們的小組裏面繼續成長
[00:03:28.000 --> 00:03:29.000]  其實是的
[00:03:29.000 --> 00:03:35.000]  我們教會其實都是用啟發課程用了二十多年
[00:03:35.000 --> 00:03:38.000]  啟發課程其實是一個關係性的報道
[00:03:38.000 --> 00:03:43.000]  透過一個輕鬆吃飯和我們看影片
[00:03:43.000 --> 00:03:47.000]  然後我們有傾談有討論
[00:03:47.000 --> 00:03:51.000]  這個是我們聽那些未認識主的人
[00:03:51.000 --> 00:03:54.000]  一個他們心聲的機會
[00:03:54.000 --> 00:03:56.000]  還有透過這個群體的關係
[00:03:56.000 --> 00:03:59.000]  去帶領他們歸向耶穌
[00:03:59.000 --> 00:04:03.000]  其實剛才你看到裝備課程裏面
[00:04:03.000 --> 00:04:06.000]  有一個叫三福訓練
[00:04:06.000 --> 00:04:12.000]  這個三福訓練也是牧師希望再鼓勵弟兄姊妹一起來參加
[00:04:12.000 --> 00:04:15.000]  今次這個是很不同的
[00:04:15.000 --> 00:04:19.000]  因為三福訓練是一個門徒訓練
[00:04:19.000 --> 00:04:22.000]  所以我不能夠收太多人
[00:04:22.000 --> 00:04:26.000]  因為我們教會未有三福的隊長
[00:04:26.000 --> 00:04:29.000]  所以我們今次這個三福訓練
[00:04:29.000 --> 00:04:31.000]  如果我印象中
[00:04:31.000 --> 00:04:34.000]  如果內的那些可能我不知道你們有沒有上過
[00:04:34.000 --> 00:04:37.000]  我印象中就是我們以前未開過
[00:04:37.000 --> 00:04:42.000]  三福訓練其實是一個門徒陪增的運動
[00:04:42.000 --> 00:04:46.000]  透過訓練一些三福的隊長
[00:04:46.000 --> 00:04:51.000]  他們是以隊長帶一些學員的方式
[00:04:51.000 --> 00:04:54.000]  將這個運動去陪增
[00:04:54.000 --> 00:04:57.000]  所以今次因為教會未開過
[00:04:57.000 --> 00:05:00.000]  所以今次我開的時候不能夠收太多人
[00:05:00.000 --> 00:05:02.000]  我只是收六個人
[00:05:02.000 --> 00:05:04.000]  所以是否很少
[00:05:04.000 --> 00:05:07.000]  因為平時我們的裝備這麼少
[00:05:07.000 --> 00:05:08.000]  我們就不開了
[00:05:08.000 --> 00:05:10.000]  但今次是反過來
[00:05:10.000 --> 00:05:12.000]  因為如果我們太多人
[00:05:12.000 --> 00:05:14.000]  我們無法兼顧
[00:05:14.000 --> 00:05:19.000]  因為今次我們還會邀請一些其他教會的教練
[00:05:19.000 --> 00:05:23.000]  和一些隊長來幫我們一起實踐福音
[00:05:23.000 --> 00:05:26.000]  因為我可能覺得
[00:05:26.000 --> 00:05:29.000]  神也是感動你們中間有人來參加
[00:05:29.000 --> 00:05:30.000]  所以我多說兩句
[00:05:30.000 --> 00:05:33.000]  究竟甚麼是三福訓練呢
[00:05:33.000 --> 00:05:35.000]  是否三個授頭福頭呢
[00:05:35.000 --> 00:05:37.000]  是否福六授三星呢
[00:05:37.000 --> 00:05:38.000]  又不是
[00:05:38.000 --> 00:05:40.000]  其實三福的訓練
