
[00:00:00.000 --> 00:00:05.520]  讓大家看看我所設計的part point
[00:00:05.520 --> 00:00:07.000]  講題是「不要懼怕」
[00:00:07.000 --> 00:00:14.000]  經文記載在《老家福音》二章八節至二十節
[00:00:14.000 --> 00:00:15.520]  有一句英文這樣說
[00:00:15.520 --> 00:00:18.200]  Don't be afraid. You can do it.
[00:00:18.200 --> 00:00:21.520]  究竟今天我們擔心些什麼 怕些什麼
[00:00:21.520 --> 00:00:24.200]  我們又爲了些什麼去努力
[00:00:24.200 --> 00:00:25.600]  又或者這樣說
[00:00:25.600 --> 00:00:27.120]  因着誰的緣故
[00:00:27.120 --> 00:00:28.800]  我們不再懼怕
[00:00:28.800 --> 00:00:30.400]  我們能夠做得到呢
[00:00:30.400 --> 00:00:33.200]  希望一會兒整個講道的講題
[00:00:33.200 --> 00:00:35.600]  內容、詩歌、墨賞部分
[00:00:35.600 --> 00:00:37.600]  和大家在今天早上
[00:00:37.600 --> 00:00:39.000]  再次在這個主日
[00:00:39.000 --> 00:00:41.000]  紀念主耶穌基督的降生
[00:00:41.000 --> 00:00:43.200]  和我們每一個信徒
[00:00:43.200 --> 00:00:49.800]  或者未信的人當中的意義和關係
[00:00:49.800 --> 00:00:52.600]  給這張圖片大家看
[00:00:52.600 --> 00:01:00.800]  二十秒 靜下來 你看二十秒
[00:01:00.800 --> 00:01:05.400]  你看見什麼
[00:01:05.400 --> 00:01:09.400]  我想這五個字是我們今天講道的時候
[00:01:09.400 --> 00:01:12.400]  完了之後 你可以告訴自己
[00:01:12.400 --> 00:01:15.200]  今天早上 敬拜誕 以及聽道之後
[00:01:15.200 --> 00:01:17.200]  你看見什麼
[00:01:17.200 --> 00:01:19.800]  你可能看見神
[00:01:19.800 --> 00:01:24.000]  或者你也看見自己
[00:01:24.000 --> 00:01:29.000]  我們一起先祈禱
[00:01:29.000 --> 00:01:31.800]  然後當我們經過敬拜誕之後
[00:01:31.800 --> 00:01:35.200]  我們進入去聽道
[00:01:35.200 --> 00:01:39.200]  這段時間是聖靈你工作的時候
[00:01:39.200 --> 00:01:40.800]  你按着你的美意
[00:01:40.800 --> 00:01:44.400]  在我們每個人生活當中去動功
[00:01:44.400 --> 00:01:47.800]  今天我們延延紀念主耶穌基督的降生
[00:01:47.800 --> 00:01:51.400]  耶穌的降生帶給我們很多很重要的信息
[00:01:51.400 --> 00:01:53.600]  雖然每一年我們都會聽
[00:01:53.600 --> 00:01:56.000]  很熟 很熟 很熟
[00:01:56.000 --> 00:01:58.400]  但事實是否真的那麼熟悉
[00:01:58.400 --> 00:02:00.400]  是否那麼清楚呢
[00:02:00.400 --> 00:02:01.600]  請禰幫助我們
[00:02:01.600 --> 00:02:04.200]  我們今天的心能夠倒空
[00:02:04.200 --> 00:02:08.000]  盛在屬於禰的信仰 禰的福音 禰的美意
[00:02:08.000 --> 00:02:09.800]  求恩主 求聖靈幫助我們
[00:02:09.800 --> 00:02:11.000]  獻上感恩禱告
[00:02:11.000 --> 00:02:13.200]  奉靠主耶穌基督得聖靈賜祈求
[00:02:13.200 --> 00:02:16.400]  阿們
[00:02:16.400 --> 00:02:18.400]  剛纔我講了今天所講的經文是
[00:02:18.400 --> 00:02:21.400]  《路加福音》二章八至二十節
[00:02:21.400 --> 00:02:24.200]  就是天使報喜訊給牧羊人
[00:02:24.200 --> 00:02:27.000]  去宣講主耶穌基督誕生的事情
[00:02:27.000 --> 00:02:28.600]  不過我會問一個問題
[00:02:28.600 --> 00:02:34.200]  究竟這件事是發生在怎樣的歷史背景當中
[00:02:34.200 --> 00:02:35.600]  如果要知答案的話
[00:02:35.600 --> 00:02:38.000]  我們要先看一段經文
[00:02:38.000 --> 00:02:41.800]  那段經文就是《路加福音》二章一至七節
[00:02:41.800 --> 00:02:45.200]  即是今天講到的上文
[00:02:45.200 --> 00:02:46.800]  經文這樣講
[00:02:46.800 --> 00:02:50.600]  路加福音很細緻地描述這位應許的尼賽亞
[00:02:50.600 --> 00:02:51.600]  他將會降臨
[00:02:51.600 --> 00:02:53.400]  他會誕生在地上
[00:02:53.400 --> 00:02:55.000]  但是二章一節
[00:02:55.000 --> 00:02:56.000]  我讀出來
[00:02:56.000 --> 00:02:57.400]  「當那些日子
[00:02:57.400 --> 00:03:00.000]  凱撒奧古斯都有旨意下來
[00:03:00.000 --> 00:03:03.200]  叫天下人民都報名上策」
[00:03:03.200 --> 00:03:06.200]  二章一節一開始告訴我們
[00:03:06.200 --> 00:03:08.400]  這個王正在做一件事
[00:03:08.400 --> 00:03:10.200]  他要頒佈一道命令
[00:03:10.200 --> 00:03:14.200]  他要全國羅馬帝國的人徵收稅項
[00:03:14.200 --> 00:03:16.800]  這個徵收稅項是包括一個
[00:03:16.800 --> 00:03:18.800]  不可以甩的事情
[00:03:18.800 --> 00:03:20.000]  就是報名上策
[00:03:20.000 --> 00:03:21.600]  你會見到二章一節
[00:03:21.600 --> 00:03:22.400]  二節
[00:03:22.400 --> 00:03:23.000]  三節
[00:03:23.000 --> 00:03:24.200]  還有五節
[00:03:24.200 --> 00:03:26.400]  很清楚地講到
[00:03:26.400 --> 00:03:29.400]  每一個人民都要報名上策
[00:03:29.400 --> 00:03:31.800]  報名上策有什麼意思或作用呢
[00:03:31.800 --> 00:03:33.000]  有兩個意思
[00:03:33.000 --> 00:03:34.000]  對羅馬政府來講
[00:03:34.000 --> 00:03:36.200]  第一個意思就是爲了徵收稅項
[00:03:36.200 --> 00:03:37.800]  做預備或者評估
[00:03:37.800 --> 00:03:39.200]  這個好像我們香港
[00:03:39.200 --> 00:03:41.200]  剛剛之前也做過的人口統計
[00:03:41.200 --> 00:03:43.000]  他要知道我們掌握多少人民
[00:03:43.000 --> 00:03:45.200]  大家的入息和中位數
[00:03:45.200 --> 00:03:47.400]  讓我們有更好的編排
[00:03:47.400 --> 00:03:48.800]  另外一個意思就是
[00:03:48.800 --> 00:03:50.800]  對於皇帝國王來講
[00:03:50.800 --> 00:03:52.600]  都是在宣示主權
[00:03:52.600 --> 00:03:54.000]  這個國家是屬於我的
[00:03:54.000 --> 00:03:56.600]  這些人民都是屬於我的
[00:03:56.600 --> 00:03:58.000]  因此對於約瑟來講
[00:03:58.000 --> 00:03:59.800]  有什麼要做有什麼要配合呢
[00:03:59.800 --> 00:04:03.200]  約瑟就離開加里尼的拿撒納城
[00:04:03.200 --> 00:04:06.000]  去到猶太的巴黎行城
[00:04:06.000 --> 00:04:08.000]  如果我都熟悉歷史的話
[00:04:08.000 --> 00:04:10.600]  知道約瑟是誰的後裔呢
[00:04:10.600 --> 00:04:12.400]  約瑟是戴奧維加的後裔
[00:04:12.400 --> 00:04:14.200]  所以他帶同馬里亞
[00:04:14.200 --> 00:04:16.400]  去到祖宗的家鄉里面
[00:04:16.400 --> 00:04:19.000]  報名上策
[00:04:19.000 --> 00:04:21.000]  去到二章六到七節的時候
[00:04:21.000 --> 00:04:23.400]  有關耶穌基督誕生的事蹟
[00:04:23.400 --> 00:04:24.600]  路加很簡單
[00:04:24.600 --> 00:04:27.000]  不是很長篇去講
[00:04:27.000 --> 00:04:28.800]  只是單單兩節
[00:04:28.800 --> 00:04:31.400]  經文這樣記載
[00:04:31.400 --> 00:04:32.800]  他們在那裏的時候
[00:04:32.800 --> 00:04:34.400]  馬里亞的產旗到了
[00:04:34.400 --> 00:04:36.200]  就伸了投胎的兒子
[00:04:36.200 --> 00:04:39.200]  用布包起來放在馬槽裏
[00:04:39.200 --> 00:04:41.800]  因爲客店裏沒有地方
[00:04:41.800 --> 00:04:43.600]  因着報名上策的緣故
