
[00:00:00.000 --> 00:00:11.000]  親愛的朋友,親愛的弟兄姊妹,平安!
[00:00:11.000 --> 00:00:18.000]  還有見不到的,地下的弟兄姊妹,還有五樓的弟兄姊妹
[00:00:18.000 --> 00:00:23.000]  很快又新的一年,雖然我們現在是2019年,新的一年
[00:00:23.000 --> 00:00:27.000]  還有多少天又到另一個的新年?
[00:00:27.000 --> 00:00:33.000]  很快,我們下個主日就已經是2019年了
[00:00:33.000 --> 00:00:38.000]  下個主日已經是眨眼,我們邁進又新的一年
[00:00:38.000 --> 00:00:45.000]  不知你每一日,或者你昨晚睡在這裏,今晚起到身
[00:00:45.000 --> 00:00:51.000]  能夠參與回來教會崇拜,有沒有覺得已經是一份恩典?
[00:00:51.000 --> 00:00:57.000]  如果當日有一天,我們睡醒了,突然間這麼光
[00:00:57.000 --> 00:01:02.000]  昨晚忘記關燈,然後彼得拍一拍我們肩膀
[00:01:02.000 --> 00:01:07.000]  他說恭喜你,你已經回家了
[00:01:07.000 --> 00:01:12.000]  所以在新的一年,希望我們都在主面前立志
[00:01:12.000 --> 00:01:22.000]  接下來又有新的一年,我們在新的一年裏,我們真的懷著一份熱心
[00:01:22.000 --> 00:01:29.000]  一份喜樂,一份裏面的自由,去到神的殿裏
[00:01:29.000 --> 00:01:38.000]  我們一齊努力,一齊來侍奉,我們同心祈禱
[00:01:38.000 --> 00:01:42.000]  賜給人我們的天賦,我們感謝你
[00:01:42.000 --> 00:01:47.000]  能夠回到你的殿中,我們服侍你,敬拜你
[00:01:47.000 --> 00:01:52.000]  這份已經是一份的恩典
[00:01:52.000 --> 00:01:56.000]  我在我們各人心中裏面都有很多的憂慮
[00:01:56.000 --> 00:01:59.000]  肩頭或許有重擔
[00:01:59.000 --> 00:02:05.000]  但是今日是主的聖日,我們就不再悲傷
[00:02:05.000 --> 00:02:10.000]  因為因靠耶和華得的喜樂,是我們的力量
[00:02:10.000 --> 00:02:13.000]  天父,求你幫助我們
[00:02:13.000 --> 00:02:18.000]  當我們翻開你的聖言的時候,求你對我們每一個來說話
[00:02:18.000 --> 00:02:23.000]  讓我們將你的話語,深藏在我們的內心,又能夠實行出來
[00:02:23.000 --> 00:02:28.000]  求你撫聽我們的祈禱,靠賴耶穌基督的聖名
