
[00:00:00.000 --> 00:00:04.000]  各位,感恩節快樂!
[00:00:04.000 --> 00:00:16.000]  在世界裡面很多地方,沒有可能享受到像你們這樣的自由
[00:00:16.000 --> 00:00:21.000]  他們不能公開崇拜
[00:00:21.000 --> 00:00:25.000]  他們不能公開敬拜真神
[00:00:30.000 --> 00:00:42.000]  在我們開始之前,讓我們慰問世界各地,還有我們很多弟兄姊妹,不能像我們今天這樣自由敬拜祈禱
[00:00:42.000 --> 00:00:53.000]  天父上帝,我們感謝祢今天讓我們有這樣的自由,可以公開的敬拜祢
[00:00:53.000 --> 00:00:57.000]  我們不願意輕看這件事
[00:01:00.000 --> 00:01:03.000]  我們為不能這樣做的弟兄姊妹來祈禱
[00:01:03.000 --> 00:01:13.000]  天父,我求祢將祢自己的平安和安慰帶給他們,無論在什麼境況裡面
[00:01:13.000 --> 00:01:20.000]  我願意求主賜給他們,祢所賜的自由
[00:01:20.000 --> 00:01:24.000]  奉耶穌基督的名字祈禱,阿們
[00:01:27.000 --> 00:01:31.000]  這是感恩節,是加拿大的感恩節
[00:01:31.000 --> 00:01:35.000]  我是從加州而來
[00:01:35.000 --> 00:01:40.000]  我是用加州的服飾來和各位見面
[00:01:40.000 --> 00:01:51.000]  我和太太昨晚研究為什麼加拿大比他們早一個月慶祝感恩節
[00:01:54.000 --> 00:01:58.000]  我們覺得可能是這樣,這裡的原住民
[00:01:58.000 --> 00:02:03.000]  他們喜歡我們多過喜歡他們
[00:02:03.000 --> 00:02:07.000]  所以他們早一個月來歡迎我們
[00:02:07.000 --> 00:02:18.000]  每一次我們享受感恩節的時候,都記得加拿大人比美國人更有福
[00:02:21.000 --> 00:02:24.000]  我現在做講道
[00:02:24.000 --> 00:02:28.000]  我很高興今天能夠和各位一起
[00:02:28.000 --> 00:02:37.000]  我是帶Saddleback教會的弟兄姊妹,他們的問安給各位
[00:02:37.000 --> 00:02:41.000]  和我的牧師Rick Warren
[00:02:41.000 --> 00:02:47.000]  我想你知道我的牧師很愛你的牧師
[00:02:47.000 --> 00:02:50.000]  和你的教會
[00:02:52.000 --> 00:02:56.000]  我的牧師時時讚你的教會和你的牧師
[00:02:56.000 --> 00:03:06.000]  有時在世界各地,有中國教會的人去問他
[00:03:06.000 --> 00:03:12.000]  我們怎樣去學,好像Saddleback教會那樣
[00:03:12.000 --> 00:03:15.000]  他時時這樣說
[00:03:15.000 --> 00:03:18.000]  你去問陳牧師吧
[00:03:20.000 --> 00:03:21.000]  陳牧師會教你很多的東西
[00:03:21.000 --> 00:03:28.000]  所以你應該為這個教會有這個牧者感恩
[00:03:28.000 --> 00:03:48.000]  當我聽見今天的主題是天父的呼召的時候,我就默想什麼是天父的呼召呢?
[00:03:51.000 --> 00:03:55.000]  我就立刻想到,我應該不是從呼召去想,而是從天父去開始想
[00:03:55.000 --> 00:04:04.000]  是天父自己的呼召
[00:04:04.000 --> 00:04:14.000]  當我講起父親的時候,我就想起我自己的爸爸,我以為我和我爸爸的關係是很好的
[00:04:14.000 --> 00:04:17.000]  我爸爸是一位教練
[00:04:20.000 --> 00:04:21.000]  他每次都帶著我一起
[00:04:21.000 --> 00:04:25.000]  我和他一起去不同的地方
[00:04:25.000 --> 00:04:29.000]  一起在不同的更衣室裡面
[00:04:29.000 --> 00:04:32.000]  在比賽的場地又一起
[00:04:32.000 --> 00:04:43.000]  我經常想,我爸爸喜歡帶著我一起,想我進去明白他的處境,他的世界
[00:04:43.000 --> 00:04:46.000]  當我長大之後
[00:04:50.000 --> 00:04:52.000]  其實是我爸爸想進入我的生命世界
[00:04:52.000 --> 00:04:57.000]  不只是他想和我一起
[00:04:57.000 --> 00:05:02.000]  是他很想來到我身邊和我一起
[00:05:02.000 --> 00:05:05.000]  他想進入我的世界裡面
[00:05:05.000 --> 00:05:09.000]  他想明白我自己
[00:05:09.000 --> 00:05:12.000]  和享受和我一起
[00:05:12.000 --> 00:05:17.000]  所以這個呼召是一個很特別的呼召
[00:05:21.000 --> 00:05:23.000]  不是一個不認識你的人,叫你做這些事
[00:05:23.000 --> 00:05:29.000]  他深深的愛你是多過其他人
[00:05:29.000 --> 00:05:34.000]  所以這個呼召是特別給你的
[00:05:34.000 --> 00:05:40.000]  是特別為你而安排設計的
[00:05:40.000 --> 00:05:44.000]  不理你現在的情況是怎樣
[00:05:44.000 --> 00:05:47.000]  不理你有什麼條件
[00:05:50.000 --> 00:05:51.000]  不理你現在是做什麼職業
[00:05:51.000 --> 00:05:54.000]  這個呼召是給你的
[00:05:54.000 --> 00:06:01.000]  或者我們開始從兩段我們很熟悉的聖經開始
[00:06:01.000 --> 00:06:08.000]  第一段是《馬達夫音》二十二章三十七至三十九節
[00:06:08.000 --> 00:06:11.000]  耶穌說
[00:06:11.000 --> 00:06:18.000]  你要盡心盡性盡意愛主你的神
[00:06:21.000 --> 00:06:23.000]  這是誡命中第一,這是最大的
[00:06:23.000 --> 00:06:29.000]  其次相訪就要愛人如己
[00:06:29.000 --> 00:06:37.000]  耶穌說在生命裡面有兩件事是非常重要的
[00:06:37.000 --> 00:06:41.000]  愛神
[00:06:41.000 --> 00:06:45.000]  和愛人如己
[00:06:51.000 --> 00:06:54.000]  很多時候我們忘記了我們天父所做的這兩件最重要的事
[00:06:54.000 --> 00:06:57.000]  就是去愛他
[00:06:57.000 --> 00:07:00.000]  你知道他愛你
[00:07:00.000 --> 00:07:04.000]  但是你應該你都去愛他
[00:07:04.000 --> 00:07:07.000]  他想和你一起
[00:07:07.000 --> 00:07:19.000]  還有第二件事,他說你要愛你身邊的人好像你想他愛你那樣去愛他
[00:07:21.000 --> 00:07:23.000]  我時時都要學對我太太那樣做
[00:07:23.000 --> 00:07:27.000]  是容易去愛其他人
[00:07:27.000 --> 00:07:34.000]  但是很難好像愛人如己那樣
[00:07:34.000 --> 00:07:38.000]  我想人家怎樣愛我呢
[00:07:38.000 --> 00:07:43.000]  你就要用這樣的方法去愛其他人
[00:07:43.000 --> 00:07:46.000]  他繼續說下去
[00:07:50.000 --> 00:07:52.000]  當他離開世界的時候
[00:07:52.000 --> 00:07:58.000]  他講到馬達夫音二十八章十九至二十節那裡記載
[00:07:58.000 --> 00:08:08.000]  所以你們要去閃萬民做我的門徒
[00:08:08.000 --> 00:08:18.000]  是奉旨聖靈的名給他們施洗
[00:08:18.000 --> 00:08:21.000]  凡我所吩咐你們的都教訓他們遵守
[00:08:21.000 --> 00:08:29.000]  我就想與你們同在直到世界的末了
