
[00:00:00.000 --> 00:00:02.000]  我們一起去看的一段經文
[00:00:02.000 --> 00:00:07.000]  是記載在《馬可福音》十五章十六至四十七節
[00:00:07.000 --> 00:00:10.000]  這段經文起了一個題目
[00:00:10.000 --> 00:00:13.000]  叫做為愛受苦的君王
[00:00:13.000 --> 00:00:16.000]  為所敬拜所相信的耶穌
[00:00:16.000 --> 00:00:18.000]  祂是一位君王
[00:00:18.000 --> 00:00:21.000]  但是這位君王並不是一位
[00:00:21.000 --> 00:00:24.000]  只是坐在這裡得榮耀的君王
[00:00:24.000 --> 00:00:27.000]  祂是一位受苦的君王
[00:00:27.000 --> 00:00:30.000]  特別是在這段經文裡
[00:00:30.000 --> 00:00:32.000]  我們會看到主耶穌
[00:00:32.000 --> 00:00:35.000]  如何為愛去受難
[00:00:35.000 --> 00:00:39.000]  不知道當我問你
[00:00:39.000 --> 00:00:41.000]  你信耶穌
[00:00:41.000 --> 00:00:43.000]  你信基督教
[00:00:43.000 --> 00:00:47.000]  你會想起哪兩個很大的象徵呢
[00:00:47.000 --> 00:00:51.000]  或者在你身上都掛著一個十字架
[00:00:51.000 --> 00:00:56.000]  十字架是我們信仰的一個很核心的象徵
[00:00:56.000 --> 00:00:58.000]  但除了十字架之外
[00:00:58.000 --> 00:01:01.000]  其實還有空墳墓
[00:01:01.000 --> 00:01:04.000]  空墳墓代表著耶穌基督復活的榮耀
[00:01:04.000 --> 00:01:08.000]  祂不單單死在十字架上
[00:01:08.000 --> 00:01:10.000]  並且已經復活了
[00:01:10.000 --> 00:01:15.000]  一位美國作家楊肥力Philip Yancey說
[00:01:15.000 --> 00:01:18.000]  如果沒有十字架的空墳墓
[00:01:18.000 --> 00:01:21.000]  是會錯失了福音的核心
[00:01:21.000 --> 00:01:24.000]  但是如果沒有空墳墓的十字架
[00:01:24.000 --> 00:01:27.000]  只不過是一場悲劇
[00:01:27.000 --> 00:01:29.000]  所以
[00:01:29.000 --> 00:01:31.000]  十字架和空墳墓
[00:01:31.000 --> 00:01:34.000]  同樣都是我們信仰的核心
[00:01:34.000 --> 00:01:36.000]  我們敬拜的是一位
[00:01:36.000 --> 00:01:38.000]  甘於受辱
[00:01:38.000 --> 00:01:40.000]  被釘在十字架的基督
[00:01:40.000 --> 00:01:42.000]  同時也是一位
[00:01:42.000 --> 00:01:44.000]  征服死亡
[00:01:44.000 --> 00:01:46.000]  復活的基督
[00:01:46.000 --> 00:01:49.000]  今天我們會看一段比較沉重的經文
[00:01:49.000 --> 00:01:52.000]  希望大家可以坐穩
[00:01:52.000 --> 00:01:54.000]  就是我們會說
[00:01:54.000 --> 00:01:58.000]  耶穌被釘十字架的一段經文
[00:01:58.000 --> 00:02:00.000]  這段經文記載著
[00:02:00.000 --> 00:02:04.000]  耶穌身心靈所受的痛苦
[00:02:04.000 --> 00:02:06.000]  耶穌被釘十字架
[00:02:06.000 --> 00:02:10.000]  其實不單單是祂的肉體受到傷害
[00:02:10.000 --> 00:02:12.000]  在經文裡我們看到
[00:02:12.000 --> 00:02:16.000]  耶穌被釘十字架的之前和之後
[00:02:16.000 --> 00:02:21.000]  其實都受著不同的戲弄和嘲笑
[00:02:21.000 --> 00:02:23.000]  我們一起看看經文
[00:02:23.000 --> 00:02:25.000]  經文裡說
[00:02:25.000 --> 00:02:29.000]  一班士兵如何羞辱耶穌
[00:02:29.000 --> 00:02:34.000]  士兵將耶穌帶進總督府的庭院裡
[00:02:34.000 --> 00:02:37.000]  叫齊了全營的兵
[00:02:37.000 --> 00:02:40.000]  他們給祂穿上紙袍
[00:02:40.000 --> 00:02:44.000]  又用荊棘編了冠冕給祂戴上
[00:02:44.000 --> 00:02:46.000]  然後向祂致敬說
[00:02:46.000 --> 00:02:49.000]  萬歲猶太人的王
[00:02:49.000 --> 00:02:54.000]  他們又拿一根蘆葦竿打他的頭
[00:02:54.000 --> 00:02:56.000]  向他吐唐末
[00:02:56.000 --> 00:02:59.000]  屈膝拜他
[00:02:59.000 --> 00:03:03.000]  他們戲弄完了就給他脫了紙袍
[00:03:03.000 --> 00:03:07.000]  又穿上自己的衣服帶他出去
[00:03:07.000 --> 00:03:10.000]  要將他釘十字架
[00:03:10.000 --> 00:03:13.000]  於是他們將他釘在十字架上
[00:03:13.000 --> 00:03:16.000]  抽籤分他的衣服
[00:03:16.000 --> 00:03:20.000]  看誰得什麼
[00:03:20.000 --> 00:03:25.000]  叮叮將耶穌裝扮成一個王
[00:03:25.000 --> 00:03:27.000]  是裝扮
[00:03:27.000 --> 00:03:29.000]  即是說其實在他們心裡
[00:03:29.000 --> 00:03:33.000]  耶穌不是一位真實的王
[00:03:33.000 --> 00:03:35.000]  他們甚至打他
[00:03:35.000 --> 00:03:38.000]  向他吐口水
[00:03:38.000 --> 00:03:41.000]  假裝向他下拜
[00:03:41.000 --> 00:03:47.000]  到最後是抽籤分他的衣服
[00:03:47.000 --> 00:03:52.000]  全形的兵可以有六百個
[00:03:52.000 --> 00:03:56.000]  這群叮叮沒有放過機會
[00:03:56.000 --> 00:04:00.000]  去戲弄耶穌
[00:04:00.000 --> 00:04:04.000]  其實不單止這群叮叮去羞辱耶穌
[00:04:04.000 --> 00:04:06.000]  還有另外一群人
[00:04:06.000 --> 00:04:10.000]  用他們的說話去羞辱耶穌
[00:04:10.000 --> 00:04:13.000]  有時在十字架裡經過的人
[00:04:13.000 --> 00:04:15.000]  就譏笑耶穌
[00:04:15.000 --> 00:04:17.000]  搖著頭說
[00:04:17.000 --> 00:04:19.000]  你這個拆毀聖殿
[00:04:19.000 --> 00:04:21.000]  三天又建起來的
[00:04:21.000 --> 00:04:23.000]  你救救你自己吧
[00:04:23.000 --> 00:04:28.000]  你現在就從十字架上下來吧
[00:04:28.000 --> 00:04:31.000]  不單單是那些經過的人
[00:04:31.000 --> 00:04:33.000]  祭司長和文士
[00:04:33.000 --> 00:04:35.000]  都是這樣嘲笑耶穌
[00:04:35.000 --> 00:04:37.000]  彼此說
[00:04:37.000 --> 00:04:39.000]  你看他救了其他人
[00:04:39.000 --> 00:04:41.000]  救不了自己
[00:04:41.000 --> 00:04:44.000]  他是以色列的黃基督
[00:04:44.000 --> 00:04:47.000]  現在看他會不會從十字架上下來
[00:04:47.000 --> 00:04:51.000]  看了我們就相信吧
[00:04:51.000 --> 00:04:56.000]  還有那些和耶穌一起釘十字架的罪犯
[00:04:56.000 --> 00:05:01.000]  同樣都是這樣去譏諷耶穌
[00:05:01.000 --> 00:05:03.000]  這三群人
[00:05:03.000 --> 00:05:05.000]  路過的人
[00:05:05.000 --> 00:05:07.000]  宗教領袖
[00:05:07.000 --> 00:05:10.000]  犯了罪的罪犯
[00:05:10.000 --> 00:05:12.000]  很同心
[00:05:12.000 --> 00:05:15.000]  他們一起去嘲笑耶穌
