
[00:00:00.000 --> 00:00:08.120]  很多謝邱太達和龔牧師在我們當中分享這麼好聽的福音樂曲
[00:00:08.120 --> 00:00:11.960]  在當中我們很感受當中的喜樂
[00:00:11.960 --> 00:00:17.600]  新年也是我們分享喜樂和可以互相祝福的日子
[00:00:17.600 --> 00:00:22.640]  所以今天現在也祝福大家新年蒙福
[00:00:22.640 --> 00:00:28.120]  在今天宣導之前先來一個禱告
[00:00:28.120 --> 00:00:30.280]  主我們感謝讚美祢
[00:00:30.280 --> 00:00:34.360]  感謝祢讓我們在新年的早上
[00:00:34.360 --> 00:00:37.800]  讓我們一同在這裡去敬拜主
[00:00:37.800 --> 00:00:40.840]  也可以聽上帝的話語
[00:00:40.840 --> 00:00:44.320]  主我們知道一切的福樂都是從祢而來
[00:00:44.320 --> 00:00:47.880]  所以主願意我們今天藉著祢的道
[00:00:47.880 --> 00:00:52.240]  我們的生命能夠得著上帝祢所賜予我們的福
[00:00:52.240 --> 00:00:56.600]  也藉著這個福我們可以和身邊的人分享
[00:00:56.600 --> 00:00:59.440]  再多謝祢 求祢與我們同在
[00:00:59.440 --> 00:01:03.720]  我們這樣的禱告是奉靠主耶穌基督的聖名時祈求
[00:01:03.720 --> 00:01:05.280]  阿們
[00:01:05.280 --> 00:01:07.160]  我相信大家在家裏
[00:01:07.160 --> 00:01:08.920]  特別是在新年的時候
[00:01:08.920 --> 00:01:11.960]  會在家裏貼一些「揮春」
[00:01:11.960 --> 00:01:14.640]  我們教會其實之前也有一些「揮春」
[00:01:14.640 --> 00:01:17.960]  在外面給弟兄姊妹可以下去貼
[00:01:17.960 --> 00:01:24.720]  你們知不知道其實最熱門的「揮春」是甚麼字句呢?
[00:01:24.720 --> 00:01:27.240]  祈求平安 身體健康
[00:01:27.240 --> 00:01:34.880]  但你們知不知道我們教會最快就沒有的「揮春」是甚麼字句呢?
[00:01:34.880 --> 00:01:38.120]  啊 沒錯 就是一個「福」字
[00:01:38.120 --> 00:01:42.640]  因為一個「福」字代表著包羅萬有的祝福
[00:01:42.640 --> 00:01:44.720]  正如書經所說
[00:01:44.720 --> 00:01:47.040]  「五福臨門」即是甚麼呢?
[00:01:47.040 --> 00:01:53.360]  一曰「壽」 二曰「富」 三曰「康寧」 四曰「猶好得」
[00:01:53.360 --> 00:01:55.840]  五曰「巧中明」
[00:01:55.840 --> 00:02:00.320]  即是既有長壽 又有富貴
[00:02:00.320 --> 00:02:03.880]  又要有健康的身體和安寧的心靈
[00:02:03.880 --> 00:02:07.440]  又要有好的品德 受人愛戴和尊重
[00:02:07.440 --> 00:02:12.400]  並且在臨終之前無災難 病痛和遺憾
[00:02:12.400 --> 00:02:14.920]  如果這五福兼得的時候
[00:02:14.920 --> 00:02:18.560]  嘩 真的是福中之福了
[00:02:18.560 --> 00:02:24.760]  不過在希臘文裏面 除了有剛才所說的「幸福」字句之外
[00:02:24.760 --> 00:02:29.320]  其實希臘文有另一個代表「幸福」的字
[00:02:29.320 --> 00:02:34.360]  這個字原先在古希臘的時候代表著
[00:02:34.360 --> 00:02:43.080]  當時要在古希臘的奧林匹克山上的諸神才能得到的幸福
[00:02:43.080 --> 00:02:48.280]  即是超乎想像的神級的幸福
[00:02:48.280 --> 00:02:51.320]  而這個「福」字
[00:02:51.320 --> 00:02:54.040]  就是今天耶穌在八福之中
[00:02:54.040 --> 00:02:59.560]  連續用了八次的神級幸福的這個字
[00:02:59.560 --> 00:03:01.840]  聖經引用這個字
[00:03:01.840 --> 00:03:04.600]  是令到當時的聽眾知道
[00:03:04.600 --> 00:03:07.760]  這個神給的神級幸福
[00:03:07.760 --> 00:03:10.960]  並不是一般的人能夠獲得的
[00:03:10.960 --> 00:03:15.480]  但是 但凡他的子民都能夠經驗到的
[00:03:15.480 --> 00:03:18.640]  這個耶穌在地上所傳的
