
[00:00:00.000 --> 00:00:04.000]  天壤之法門,天國子民的軟實力。
[00:00:04.000 --> 00:00:07.000]  呢個係一個講求實力嘅世代,
[00:00:07.000 --> 00:00:09.000]  大家咬手瓜嘅時候。
[00:00:09.000 --> 00:00:13.000]  咁天國嘅子民係憑啲咩嘢嚟到喺呢個世界上面,
[00:00:13.000 --> 00:00:17.000]  呢個彎曲薄膜嘅世界上面,做明光照耀呢?
[00:00:17.000 --> 00:00:20.000]  我哋有啲咩嘢嘅,逐啲講把炮呢?
[00:00:20.000 --> 00:00:24.000]  就係我哋嘅軟實力嘛。
[00:00:24.000 --> 00:00:29.000]  呢個俾書講喜樂,就係軟實力。
[00:00:29.000 --> 00:00:31.000]  天壤之法門,
[00:00:31.000 --> 00:00:33.000]  喺呢度我哋進入到第四章,
[00:00:33.000 --> 00:00:35.000]  就係最後嘅嗰一章。
[00:00:35.000 --> 00:00:41.000]  第一節呢,其實就係一個總結上面嘅經文嚟嘅。
[00:00:41.000 --> 00:00:45.000]  我所親愛的,所想念的弟兄,你們重視我的喜樂,我的冠冕。
[00:00:45.000 --> 00:00:49.000]  我親愛的,你們應當靠主站立得穩。
[00:00:49.000 --> 00:00:54.000]  講完叫佢跑,直跑之後叫佢站立得穩,唔係叫佢唔好跑喎,
[00:00:54.000 --> 00:00:59.000]  而係叫佢喺一啲嘅立場裏面,一啲嘅基礎上面呢,係企得穩。
[00:00:59.000 --> 00:01:01.000]  係咩事情呢?
[00:01:01.000 --> 00:01:07.000]  考翻大家,見唔見得上個禮拜所講嘅。
[00:01:07.000 --> 00:01:10.000]  保羅,作為我哋嘅教練,
[00:01:10.000 --> 00:01:15.000]  喺我哋向標桿直跑嘅嗰個嘅路程上面,呢個嘅賽程當中呢,
[00:01:15.000 --> 00:01:18.000]  旁邊呢,俾我哋三個牆邊嘅提示。
[00:01:18.000 --> 00:01:19.000]  邊三個呀?
[00:01:19.000 --> 00:01:20.000]  睇唔睇到呀?
[00:01:20.000 --> 00:01:23.000]  標桿在前要點樣呀?要直奔。
[00:01:23.000 --> 00:01:26.000]  師傅呢,係爭標,就要咩呀?
[00:01:26.000 --> 00:01:30.000]  效法,敵人再潛伏,咁要點樣呀?
[00:01:30.000 --> 00:01:31.000]  警惕,係咪呀?
[00:01:31.000 --> 00:01:33.000]  記得三個嘢喎,係咪呀?
[00:01:33.000 --> 00:01:37.000]  有標桿就要直奔,有師傅咁就要學佢啦。
[00:01:37.000 --> 00:01:40.000]  咁敵人喎,潛伏喺度呢,你仲要點呀?
[00:01:40.000 --> 00:01:42.000]  警惕嗰啲唔妥當嘅嘢。
[00:01:42.000 --> 00:01:45.000]  好啦,咁就入呢個囉。
[00:01:45.000 --> 00:01:51.000]  好啦,其實保羅呢,就打開土地,開始講教會㗎啦。
[00:01:51.000 --> 00:01:54.000]  第一第二第三章講到你要咩相同呀?
[00:01:54.000 --> 00:01:56.000]  咩嘢咩嘢呀?要合一呀?
[00:01:56.000 --> 00:01:57.000]  咁究竟係咩嘢呢?
[00:01:57.000 --> 00:02:00.000]  原來譬如話俾教會呢,有啲嘅問題出現呀。
[00:02:00.000 --> 00:02:05.000]  講起教會嘅問題呢,咁就引起好多人呢,喺度搵教會呀。
[00:02:05.000 --> 00:02:09.000]  佢哋想,即係而家特別加拿大呀,
[00:02:09.000 --> 00:02:14.000]  好多人去做,禮拜日唔係去Sunday Shopping㗎喎,去做Church Shopping。
[00:02:14.000 --> 00:02:19.000]  有冇人喺度做緊Church Shopping㗎?
[00:02:19.000 --> 00:02:22.000]  你呢度搵Church Shopping㗎?
[00:02:22.000 --> 00:02:26.000]  或者我哋早啲日去咗嚟,Church Shopping都未聽過呀。
