
[00:00:00.000 --> 00:00:02.000]  各位丁姊妹
[00:00:02.000 --> 00:00:06.000]  新年第一個主日的早堂
[00:00:06.000 --> 00:00:08.000]  大家來到神的殿裏面
[00:00:08.000 --> 00:00:14.000]  不知道大家會不會在這個面前的時候
[00:00:14.000 --> 00:00:16.000]  求神開我們的眼
[00:00:16.000 --> 00:00:22.000]  願意在一年最開始的時候
[00:00:22.000 --> 00:00:24.000]  專心仰望給上帝
[00:00:24.000 --> 00:00:26.000]  我們一起在神的面前
[00:00:26.000 --> 00:00:28.000]  有一個謙卑祈禱
[00:00:28.000 --> 00:00:30.000]  聖潔公義的神
[00:00:30.000 --> 00:00:32.000]  當我們來到祢面前的時候
[00:00:32.000 --> 00:00:34.000]  求神開我們的眼睛
[00:00:34.000 --> 00:00:36.000]  看到我們的本相
[00:00:36.000 --> 00:00:40.000]  看到神祢自己的真實和偉大
[00:00:40.000 --> 00:00:42.000]  以召我們的生命
[00:00:42.000 --> 00:00:44.000]  因為祢而改變
[00:00:44.000 --> 00:00:45.000]  多謝祢
[00:00:45.000 --> 00:00:46.000]  願祢開我們的心
[00:00:46.000 --> 00:00:48.000]  開我們的眼
[00:00:48.000 --> 00:00:50.000]  給我們一個在祢裏面
[00:00:50.000 --> 00:00:52.000]  一個清晰的方向
[00:00:52.000 --> 00:00:54.000]  以召我們能夠
[00:00:54.000 --> 00:00:58.000]  看到我們人生的規劃
[00:00:58.000 --> 00:01:00.000]  求天父加力
[00:01:00.000 --> 00:01:02.000]  祈禱仰望奉耶穌基督的聖名
[00:01:02.000 --> 00:01:04.000]  阿們
[00:01:04.000 --> 00:01:06.000]  今天是2020年1月的第一個主日
[00:01:06.000 --> 00:01:08.000]  今天很特別
[00:01:08.000 --> 00:01:10.000]  可以說今年很特別
[00:01:10.000 --> 00:01:14.000]  新曆年和農曆年都是1月
[00:01:14.000 --> 00:01:16.000]  所以在1月的開始
[00:01:16.000 --> 00:01:18.000]  在這裏祝大家新年平安
[00:01:18.000 --> 00:01:22.000]  記得小時候過年是很開心的
[00:01:22.000 --> 00:01:24.000]  聖誕假和新年假
[00:01:24.000 --> 00:01:26.000]  一起放
[00:01:26.000 --> 00:01:28.000]  很有節日氣氛
[00:01:28.000 --> 00:01:30.000]  農曆新年就不再說了
[00:01:30.000 --> 00:01:32.000]  有利是竇
[00:01:32.000 --> 00:01:34.000]  但是最開心的是什麼呢?
[00:01:34.000 --> 00:01:36.000]  就是過年買新衣服
[00:01:36.000 --> 00:01:38.000]  穿新鞋
[00:01:38.000 --> 00:01:40.000]  什麼都要新
[00:01:40.000 --> 00:01:42.000]  這種新的感覺才正
[00:01:42.000 --> 00:01:44.000]  我們的年代就有這些
[00:01:44.000 --> 00:01:46.000]  不知道大家怎樣
