
[00:00:00.000 --> 00:00:02.480]  各位親愛的弟兄姊妹 平安
[00:00:02.480 --> 00:00:05.080]  真的很開心看到很多
[00:00:05.080 --> 00:00:07.420]  回家過年的弟兄姊妹都回來
[00:00:07.420 --> 00:00:09.580]  願神祝福你們這個新的學期
[00:00:09.580 --> 00:00:12.460]  給你們智慧和力量 我們一同禱告
[00:00:12.460 --> 00:00:16.020]  父神我們感謝祢
[00:00:16.020 --> 00:00:18.500]  祢賜下祢的話語在我們中間
[00:00:18.500 --> 00:00:21.300]  主安 祢讓我們心靈能夠願意
[00:00:21.300 --> 00:00:25.060]  可想祢的話語 也願意聆聽和實踐祢的話
[00:00:25.060 --> 00:00:28.200]  求主與我們同在 講了聽的都求主憐憫
[00:00:28.200 --> 00:00:30.680]  禱告吩咐耶穌基督的名 阿們
[00:00:30.680 --> 00:00:35.420]  我們今天繼續來分享彼得前書
[00:00:35.420 --> 00:00:39.800]  我們今天來到了第二章的第十八到第十五 二十五節
[00:00:39.800 --> 00:00:43.020]  其實從很多的層面
[00:00:43.020 --> 00:00:47.460]  我們都知道剛剛過去的二零一八年
[00:00:47.460 --> 00:00:51.940]  對於世界和中國來講都是一個非常不平靜的一年
[00:00:51.940 --> 00:00:53.860]  包括基督教會在內
[00:00:53.860 --> 00:00:55.860]  我們時不時的會聽到一些
[00:00:55.860 --> 00:00:58.900]  令我們關注和憂慮的一些消息
[00:00:58.900 --> 00:01:03.700]  不可否認其實我們真的是越來越明顯的看到
[00:01:03.700 --> 00:01:07.060]  我們生活在一個對於基督不友善的一個世界當中
[00:01:07.060 --> 00:01:09.540]  今天希望和大家一同來思想
[00:01:09.540 --> 00:01:12.660]  我們如何面對這個新時代的挑戰
[00:01:12.660 --> 00:01:16.420]  預備接下來面對的可能出現的風雨
[00:01:16.420 --> 00:01:18.980]  如何持守我們不變的福音
[00:01:18.980 --> 00:01:22.660]  在萬變的環境當中來繼續跟隨主呢
[00:01:22.660 --> 00:01:26.980]  這正是彼得前書要分享給我們的
[00:01:26.980 --> 00:01:31.700]  當時羅馬的教會在羅馬帝國的處境也不簡單
[00:01:31.700 --> 00:01:34.260]  史圖彼得寫這封通函
[00:01:34.260 --> 00:01:39.620]  給當時面對危機或者正處在患難當中的小亞細亞的教會
[00:01:39.620 --> 00:01:43.540]  教導他們怎麼樣去面對這種患難
[00:01:43.540 --> 00:01:46.180]  勸勉他們在不友善的環境當中
[00:01:46.180 --> 00:01:49.380]  甚至惡劣的處境裡面仍不失盼望
[00:01:49.380 --> 00:01:54.340]  甚至可以在患難當中來活出有盼望的人生來
[00:01:54.340 --> 00:02:00.660]  彼得將基督這種活的盼望放在我們中間
[00:02:00.660 --> 00:02:03.540]  間跡就是間跡在主的救恩上面
[00:02:03.540 --> 00:02:09.620]  並且將基督徒的人生和基督的一生緊緊的連接起來
[00:02:09.620 --> 00:02:11.300]  在彼得看來
[00:02:11.300 --> 00:02:16.580]  基督徒的人生他非常核心的特質之一就是順服
[00:02:16.580 --> 00:02:20.900]  我們前面分享過要順服父神順服真理順服基督
[00:02:20.900 --> 00:02:22.900]  這些都是絕對的順服
