
[00:00:00.000 --> 00:00:06.000]  (主席) 弟兄姊妹早安 主內平安
[00:00:06.000 --> 00:00:13.000]  《易經》的第一個卦就是乾坤的乾
[00:00:13.000 --> 00:00:18.000]  象傳一個解釋《易經》的一個系統
[00:00:18.000 --> 00:00:22.000]  對乾卦做了一個註解
[00:00:22.000 --> 00:00:28.000]  「天行健,君子以自強不息」
[00:00:28.000 --> 00:00:30.000]  乾的意思就是這樣
[00:00:30.000 --> 00:00:35.000]  對於這句話最簡單的理解就是
[00:00:35.000 --> 00:00:38.000]  「天」指大自然的天
[00:00:38.000 --> 00:00:42.000]  「天行健」即是大自然的運轉不息
[00:00:42.000 --> 00:00:46.000]  人在這裡體會到自己應該都是這樣
[00:00:46.000 --> 00:00:50.000]  應該都勞力不懈 自強不息
[00:00:50.000 --> 00:00:53.000]  又或者我們可以將天理解為
[00:00:53.000 --> 00:00:58.000]  萬物背後冥冥中有一種神聖的力量
[00:00:58.000 --> 00:01:02.000]  這個神聖的力量不停默默地
[00:01:02.000 --> 00:01:07.000]  用它的生命之力去托著蒼生
[00:01:07.000 --> 00:01:09.000]  作為人類的我們
[00:01:09.000 --> 00:01:14.000]  就是在生命裡面感悟到這份神聖的力量
[00:01:14.000 --> 00:01:15.000]  它的奧妙
[00:01:15.000 --> 00:01:20.000]  從而甘心地透過自己的努力實踐
[00:01:20.000 --> 00:01:23.000]  然後將這種神聖的生命力展露出來
[00:01:23.000 --> 00:01:25.000]  來滋養萬物
[00:01:25.000 --> 00:01:27.000]  在這個實踐的過程裡面
[00:01:27.000 --> 00:01:33.000]  君子自覺自己正在實現上天的心意
[00:01:33.000 --> 00:01:35.000]  君子一個真正的人
[00:01:35.000 --> 00:01:37.000]  他自強不息
[00:01:37.000 --> 00:01:42.000]  正是活現上天在人間的那種剛健運行
[00:01:42.000 --> 00:01:46.000]  天行健 君子以自強不息
[00:01:46.000 --> 00:01:48.000]  人堅毅地努力去實現美善
[00:01:48.000 --> 00:01:53.000]  正正是因為上天都是這樣
[00:01:53.000 --> 00:01:58.000]  剛健努力地實現美善
[00:01:58.000 --> 00:02:00.000]  我們相信萬物的背後
[00:02:00.000 --> 00:02:03.000]  有一位承托著萬物的天父
[00:02:03.000 --> 00:02:09.000]  他的心意表明在人間的那位耶穌的生命裡面
[00:02:09.000 --> 00:02:15.000]  有一次耶穌說「我父作事,直到如今我也作事」
[00:02:15.000 --> 00:02:21.000]  這句話可以翻譯為「天行健,我也如此」
[00:02:21.000 --> 00:02:24.000]  基督徒是什麼樣的人呢?
[00:02:24.000 --> 00:02:28.000]  基督徒是明白耶穌的人
[00:02:28.000 --> 00:02:32.000]  也是透過耶穌去明白天父的人
[00:02:32.000 --> 00:02:39.000]  基督徒是一群甘心讓自己的生命向基督轉化的人
[00:02:39.000 --> 00:02:44.000]  向基督轉化的意思就是活持基督
[00:02:44.000 --> 00:02:46.000]  活持基督的意思就是
[00:02:46.000 --> 00:02:51.000]  讓天父的心在自己的生命裡面展現
[00:02:51.000 --> 00:02:54.000]  為什麼一個人會甘心這樣做呢?
[00:02:54.000 --> 00:02:57.000]  是因為體現到天父的不息
[00:02:57.000 --> 00:02:59.000]  無限的人愛
[00:02:59.000 --> 00:03:01.000]  受到這份人愛的感召
[00:03:01.000 --> 00:03:09.000]  而甘願參與在人愛的那種實現的行動裡面
[00:03:09.000 --> 00:03:13.000]  保羅,聖經的這個人物
[00:03:13.000 --> 00:03:18.000]  對耶穌的生命有一種很透徹的理解
[00:03:18.000 --> 00:03:21.000]  因為這一種透徹的理解
[00:03:21.000 --> 00:03:24.000]  保羅就參與了基督的生命
[00:03:24.000 --> 00:03:28.000]  他好像基督一樣去生活
[00:03:28.000 --> 00:03:30.000]  到了某一刻
[00:03:30.000 --> 00:03:34.000]  他感到自己的生命已經去到盡頭
[00:03:34.000 --> 00:03:38.000]  他很渴望將這一種生命的領悟
[00:03:38.000 --> 00:03:41.000]  傳給他自己入室的弟子
[00:03:41.000 --> 00:03:44.000]  他就寫了提摩太后書
[00:03:44.000 --> 00:03:49.000]  寫給他的徒弟提摩太
[00:03:49.000 --> 00:03:51.000]  如果我有一個徒弟
[00:03:51.000 --> 00:03:53.000]  我也很想像保羅一樣
[00:03:53.000 --> 00:03:56.000]  講他這一番的話
[00:03:56.000 --> 00:03:57.000]  保羅講了什麼呢?
[00:03:57.000 --> 00:04:00.000]  我們打開今天的書信經課
[00:04:27.000 --> 00:04:29.000]  交代一點後事
[00:04:29.000 --> 00:04:31.000]  做一些叮嚀
[00:04:31.000 --> 00:04:35.000]  這位老牧者要將信仰的使命的棒
[00:04:35.000 --> 00:04:37.000]  交給下一代了
[00:04:37.000 --> 00:04:41.000]  他向他的徒弟講解這個棒
[00:04:41.000 --> 00:04:43.000]  這個信仰的棒
[00:04:43.000 --> 00:04:45.000]  背後的意義
[00:04:45.000 --> 00:04:47.000]  這個老牧者很緊張
[00:04:47.000 --> 00:04:50.000]  很著緊
[00:04:50.000 --> 00:04:53.000]  因為這個使命的背後
[00:04:53.000 --> 00:04:54.000]  這個棒的背後
[00:04:54.000 --> 00:04:57.000]  承載著天父的心
[00:04:57.000 --> 00:04:59.000]  而天父的心
[00:04:59.000 --> 00:05:03.000]  就是萬物意義的所在
[00:05:24.000 --> 00:05:27.000]  屠龍刀背後藏著一個
[00:05:27.000 --> 00:05:30.000]  救黎民於水火的秘密
[00:05:30.000 --> 00:05:33.000]  小說的細節你們都很清楚
[00:05:33.000 --> 00:05:35.000]  簡單地說
[00:05:35.000 --> 00:05:40.000]  這個秘密最後傳到滅絕師太那裡
[00:05:40.000 --> 00:05:46.000]  話說當時滅絕師太被困於萬安寺
[00:05:46.000 --> 00:05:49.000]  她的心想這次必死無疑
[00:05:49.000 --> 00:05:54.000]  然後將倚天劍屠龍刀的秘密
[00:05:54.000 --> 00:05:58.000]  傳給她的弟子周梓若
[00:05:58.000 --> 00:06:01.000]  為了要保存周梓若的性命
[00:06:01.000 --> 00:06:04.000]  滅絕師太抱著周梓若
[00:06:04.000 --> 00:06:07.000]  在高塔裡面跳下來
[00:06:07.000 --> 00:06:09.000]  快要掉到地上的時候
[00:06:09.000 --> 00:06:13.000]  她就運勁將周梓若托起
[00:06:13.000 --> 00:06:15.000]  保住他的命
[00:06:15.000 --> 00:06:18.000]  當然更加重要的是保住
[00:06:18.000 --> 00:06:21.000]  周梓若救世的秘密
[00:06:21.000 --> 00:06:23.000]  大家想想
[00:06:23.000 --> 00:06:26.000]  如果倚天劍和屠龍刀
[00:06:26.000 --> 00:06:29.000]  和他的秘密現在傳給了你
[00:06:29.000 --> 00:06:31.000]  而你又行將就木
[00:06:31.000 --> 00:06:35.000]  你會怎樣呢?
[00:06:35.000 --> 00:06:37.000]  就是這種心情
[00:06:37.000 --> 00:06:41.000]  保羅就將這種生命的體會和奧秘
[00:06:41.000 --> 00:06:44.000]  傳給他的徒弟提摩太
[00:06:44.000 --> 00:06:46.000]  我們看看經文怎麼說
[00:06:46.000 --> 00:06:49.000]  提摩太在後書一章第一節和第二節這樣說
[00:06:49.000 --> 00:06:51.000]  奉神的旨意
[00:06:51.000 --> 00:06:55.000]  照著在基督耶穌裡生命的應許
[00:06:55.000 --> 00:06:58.000]  作基督耶穌使徒的保羅
[00:06:58.000 --> 00:07:01.000]  寫信給我親愛的兒子提摩太
[00:07:01.000 --> 00:07:03.000]  願因為憐憫平安
