
[00:00:00.000 --> 00:00:02.000]  世英姊妹主女平安
[00:00:02.000 --> 00:00:04.000]  讓開節之前有個祈禱
[00:00:04.000 --> 00:00:09.000]  今天甲霸天父我們去到你的面前
[00:00:09.000 --> 00:00:11.000]  主耶穌求你憐憫我們
[00:00:11.000 --> 00:00:14.000]  我們很需要你的光照
[00:00:14.000 --> 00:00:16.000]  很需要你跟我們的說話
[00:00:16.000 --> 00:00:19.000]  既然我們有犯罪得罪你的時候
[00:00:19.000 --> 00:00:21.000]  求主祭罪你的話語
[00:00:21.000 --> 00:00:24.000]  幫助我們 改變我們
[00:00:24.000 --> 00:00:29.000]  我們但願今天我們真的被你的話語去滲透
[00:00:29.000 --> 00:00:32.000]  祈禱教授奉主名而求 阿們
[00:00:32.000 --> 00:00:38.000]  我回想我一生中很多的經歷
[00:00:38.000 --> 00:00:40.000]  是遇到很多不同的人
[00:00:40.000 --> 00:00:44.000]  有些很短暫 有些可能是較長的時間
[00:00:44.000 --> 00:00:47.000]  可能有些是工作 有些可能是家庭
[00:00:47.000 --> 00:00:49.000]  有些是親戚 有些是朋友
[00:00:49.000 --> 00:00:51.000]  很大部分都是教會
[00:00:51.000 --> 00:00:54.000]  我往往有時會碰到一些人
[00:00:54.000 --> 00:00:56.000]  我還記得我那時去杜牧悅
[00:00:56.000 --> 00:00:57.000]  有些人大家不知道
[00:00:57.000 --> 00:00:59.000]  我那時一畢業
[00:00:59.000 --> 00:01:01.000]  拿到律師牌之後
[00:01:01.000 --> 00:01:03.000]  結婚就到杜牧悅了
[00:01:03.000 --> 00:01:05.000]  所以沒有錢
[00:01:05.000 --> 00:01:07.000]  我背著背囊去世界各地
[00:01:07.000 --> 00:01:09.000]  去了五個月
[00:01:09.000 --> 00:01:11.000]  那五個月有三天的時間
[00:01:11.000 --> 00:01:12.000]  我們不用付錢
[00:01:12.000 --> 00:01:14.000]  是有地方睡的
[00:01:14.000 --> 00:01:16.000]  在路途當中認識了一些人
[00:01:16.000 --> 00:01:18.000]  然後他們又很好
[00:01:18.000 --> 00:01:19.000]  又開放他們的家
[00:01:19.000 --> 00:01:21.000]  說不如來探望我
[00:01:21.000 --> 00:01:24.000]  無論走到美國
[00:01:24.000 --> 00:01:26.000]  去到荷蘭
[00:01:26.000 --> 00:01:28.000]  去到英國
[00:01:28.000 --> 00:01:29.000]  去到法國
[00:01:29.000 --> 00:01:35.000]  很多地方都會碰到一些當地的有心人
[00:01:35.000 --> 00:01:37.000]  往往你心想
[00:01:37.000 --> 00:01:39.000]  這個世界真的有很多很好的人
[00:01:39.000 --> 00:01:40.000]  很nice
[00:01:40.000 --> 00:01:42.000]  不知道你有沒有見過
[00:01:42.000 --> 00:01:44.000]  見到一些你完全不認識的人
[00:01:44.000 --> 00:01:46.000]  對你沒有利益
[00:01:46.000 --> 00:01:47.000]  但是他一句說話
[00:01:47.000 --> 00:01:48.000]  一句的讓座
[00:01:48.000 --> 00:01:49.000]  一對的眼神
