
[00:00:00.000 --> 00:00:04.220]  各位聽眾朋友,我們要繼續查考哥倫多前後書
[00:00:04.220 --> 00:00:06.680]  今天已經來到第三講
[00:00:06.680 --> 00:00:10.320]  就是由哥倫多前書的第十一章
[00:00:10.320 --> 00:00:12.500]  我們看到十六章
[00:00:12.500 --> 00:00:15.000]  在第十一章本來就提到
[00:00:15.000 --> 00:00:19.960]  他說「我得到你們的敬重,我非常之開心」
[00:00:19.960 --> 00:00:22.520]  但是我有幾樣東西要提醒你們
[00:00:22.520 --> 00:00:26.180]  男人他是不可以蒙頭的
[00:00:26.180 --> 00:00:30.040]  因為如果他蒙頭就羞辱自己的頭
[00:00:30.040 --> 00:00:33.780]  但是女人就必須要蒙頭
[00:00:33.780 --> 00:00:38.260]  特別當女人禱告和講道的時候
[00:00:38.260 --> 00:00:43.760]  如果不蒙頭就羞辱了自己的頭
[00:00:43.760 --> 00:00:47.000]  當然我們明白在保羅的時代
[00:00:47.000 --> 00:00:49.520]  那個文化背景下
[00:00:49.520 --> 00:00:53.600]  女性的地位是比較次要的
[00:00:53.600 --> 00:00:56.980]  所以女性要尊重男人
[00:00:56.980 --> 00:01:02.980]  所以很多時候女性就必須要蒙頭的
[00:01:02.980 --> 00:01:08.200]  但是男人也都在一些場合是需要蒙頭的
[00:01:08.200 --> 00:01:11.880]  如果你有去過耶路撒冷的西場
[00:01:11.880 --> 00:01:14.080]  就是那個哭場
[00:01:14.080 --> 00:01:17.720]  你要進去的時候是分男和女的
[00:01:17.720 --> 00:01:19.720]  男的一進去那裡
[00:01:19.720 --> 00:01:23.860]  他就預備了很多小小的猶太人的帽子
[00:01:23.860 --> 00:01:25.860]  等你戴在上面
[00:01:25.860 --> 00:01:28.100]  我們每個人都要拿一頂
[00:01:28.100 --> 00:01:31.700]  然後你才可以走去哭場那裡
[00:01:31.700 --> 00:01:34.500]  來祈禱、默想
[00:01:34.500 --> 00:01:38.400]  所以是有分男和女
[00:01:38.400 --> 00:01:41.860]  還有怎樣才是蒙頭
[00:01:41.860 --> 00:01:46.000]  所以保羅在第十一章就講到
[00:01:46.000 --> 00:01:52.100]  教會一些的次序和手煮餐的問題
[00:01:52.100 --> 00:01:56.100]  因為保羅覺得他們手煮餐的時候很混亂
[00:01:56.100 --> 00:01:58.500]  有些人其實他們是肚餓
[00:01:58.500 --> 00:02:00.500]  就來吃煮的餐
[00:02:00.500 --> 00:02:02.500]  所以保羅就勸他們
[00:02:02.500 --> 00:02:04.000]  你們要在屋中
[00:02:04.000 --> 00:02:07.100]  在自己個人的家裡面吃了餐之後
[00:02:07.100 --> 00:02:09.500]  然後才來教會手餐
[00:02:09.500 --> 00:02:13.900]  然後就講到手餐有些什麼規矩
[00:02:13.900 --> 00:02:17.300]  很多時候牧師在主持煮餐的時候
[00:02:17.300 --> 00:02:24.300]  讀的那段經文都是選自哥倫多前書第十一章
[00:02:24.300 --> 00:02:27.300]  當日我傳給你們的
[00:02:27.300 --> 00:02:32.100]  就是基督在最後晚餐的時候所講的話
[00:02:32.100 --> 00:02:35.900]  祂說:我抹開餅就代表我的身體
[00:02:35.900 --> 00:02:37.900]  我舉起這個杯
[00:02:37.900 --> 00:02:39.900]  你們要喝這個杯
[00:02:39.900 --> 00:02:44.300]  因為這個是我的血為你們的罪寫的
[00:02:44.300 --> 00:02:50.100]  你們不用喝這個杯直到我再回來
[00:02:50.100 --> 00:02:53.500]  所以我們手餐是守到主耶穌回來
[00:02:53.500 --> 00:02:54.700]  我們就不用守
[00:02:54.700 --> 00:02:57.300]  因為我們面對面見到主了
[00:02:57.300 --> 00:03:01.100]  不用再用煮餐來紀念祂
[00:03:01.100 --> 00:03:03.900]  所以我們都帶著一個渴望的心
[00:03:03.900 --> 00:03:05.900]  等耶穌回來
