
[00:00:00.000 --> 00:00:02.000]  利用姊妹 平安
[00:00:02.000 --> 00:00:09.000]  前一段時間在網絡上有一句話
[00:00:09.000 --> 00:00:11.200]  後來被引用到了電影臺詞
[00:00:11.200 --> 00:00:15.000]  叫做《我們彼此相愛就是爲民除害》
[00:00:15.000 --> 00:00:17.000]  很幽默
[00:00:17.000 --> 00:00:19.000]  有的時候你看到一些電影
[00:00:19.000 --> 00:00:23.000]  連續劇裏面講到一個女上司一來公司
[00:00:23.000 --> 00:00:25.000]  心情很糟糕 脾氣不好
[00:00:25.000 --> 00:00:27.000]  文件重做
[00:00:27.000 --> 00:00:29.000]  辦公室怎麼這麼髒 整理一下
[00:00:29.000 --> 00:00:32.000]  這些同事們就焦頭結耳
[00:00:32.000 --> 00:00:34.000]  說什麼
[00:00:34.000 --> 00:00:37.000]  昨天晚上她跟她老公吵架了
[00:00:37.000 --> 00:00:41.000]  英國有一位前首相叫做卡梅倫
[00:00:41.000 --> 00:00:44.000]  他說 整個婚姻的崩壞
[00:00:44.000 --> 00:00:47.000]  是整個社會騷亂的一個根源
[00:00:47.000 --> 00:00:49.000]  所以
[00:00:49.000 --> 00:00:52.000]  我們如果不能彼此相愛
[00:00:52.000 --> 00:00:53.000]  公司就一團亂
[00:00:53.000 --> 00:00:55.000]  如果我們不能彼此相愛
[00:00:55.000 --> 00:00:59.000]  這國家 這個社會就會崩塌
[00:00:59.000 --> 00:01:02.000]  那就愛好了呀
[00:01:02.000 --> 00:01:04.000]  但是問題在這裏
[00:01:04.000 --> 00:01:08.000]  兩個罪人怎樣才能彼此相愛呢
[00:01:08.000 --> 00:01:11.000]  一個亞當的後代 一個夏娃的後代
[00:01:11.000 --> 00:01:15.000]  怎麼才能把愛進行到底呢
[00:01:15.000 --> 00:01:20.000]  所以婚姻某種意義上是蠻可怕的
[00:01:20.000 --> 00:01:22.000]  有篇文章說 魔鬼撒彈
[00:01:22.000 --> 00:01:25.000]  他說 我要來證明一件事情
[00:01:25.000 --> 00:01:27.000]  就是人是全然敗壞的
[00:01:27.000 --> 00:01:29.000]  各位 你若是魔鬼撒彈
[00:01:29.000 --> 00:01:32.000]  你要怎麼證明人類是全然敗壞的
[00:01:32.000 --> 00:01:35.000]  是完全離開上帝的呢
[00:01:35.000 --> 00:01:39.000]  他說 去看那些結了婚的人吧
[00:01:39.000 --> 00:01:42.000]  他們的婚姻當中有多少的污穢
[00:01:42.000 --> 00:01:43.000]  有多少的淫亂
[00:01:43.000 --> 00:01:45.000]  有多少的自私
[00:01:45.000 --> 00:01:46.000]  多少的鬼詐
[00:01:46.000 --> 00:01:47.000]  多少的齷齪
[00:01:47.000 --> 00:01:49.000]  多少的醜陋
[00:01:49.000 --> 00:01:51.000]  多少的背叛
[00:01:51.000 --> 00:01:54.000]  他說 人類罪 人類罪惡的顯明
[00:01:54.000 --> 00:01:57.000]  不單單是在硝煙瀰漫的戰場
[00:01:57.000 --> 00:01:59.000]  不在烏克蘭 俄羅斯
[00:01:59.000 --> 00:02:04.000]  人類罪惡的顯明不是在這個勾心鬥角的官場
[00:02:04.000 --> 00:02:11.000]  也不是在這個利益雄心的職場或者是商場
[00:02:11.000 --> 00:02:13.000]  看看這些結了婚的人
[00:02:13.000 --> 00:02:15.000]  看看他們的廚房
[00:02:15.000 --> 00:02:16.000]  看看他們的臥室
[00:02:16.000 --> 00:02:17.000]  看看他們的家
[00:02:17.000 --> 00:02:19.000]  足以顯明
[00:02:19.000 --> 00:02:22.000]  他們是佩德地獄永遠沉淪的火焰
[00:02:22.000 --> 00:02:24.000]  哇哦
[00:02:24.000 --> 00:02:25.000]  各位
[00:02:25.000 --> 00:02:30.000]  所以今天我們要講到婚姻的問題
[00:02:30.000 --> 00:02:33.000]  怎樣才能夠爲民除害呢
[00:02:33.000 --> 00:02:38.000]  怎樣才能夠化咒祖爲祝福呢
[00:02:38.000 --> 00:02:42.000]  我們要看到今天這樣一段的對話
[00:02:42.000 --> 00:02:45.000]  法利塞人來試探耶穌
[00:02:45.000 --> 00:02:46.000]  來找到耶穌
[00:02:46.000 --> 00:02:48.000]  來試探耶穌說
[00:02:48.000 --> 00:02:52.000]  耶穌
[00:02:52.000 --> 00:02:56.000]  人無論什麼緣故都可以休妻嗎
[00:02:56.000 --> 00:02:58.000]  當然這是一個試探
[00:02:58.000 --> 00:03:00.000]  那他問的問題就是
[00:03:00.000 --> 00:03:04.000]  人在什麼樣的情況下可以離婚呢
[00:03:04.000 --> 00:03:07.000]  我想字越來越小
[00:03:07.000 --> 00:03:10.000]  這是我特意設計的
[00:03:10.000 --> 00:03:13.000]  性格不合可以離婚嗎
[00:03:13.000 --> 00:03:15.000]  性生活不和諧可以離婚嗎
[00:03:15.000 --> 00:03:17.000]  婆媳問題處理不了可以離婚嗎
[00:03:17.000 --> 00:03:21.000]  理財理財觀念不同可以離婚嗎
[00:03:21.000 --> 00:03:24.000]  家庭暴力或者冷暴力可以離婚嗎
[00:03:24.000 --> 00:03:26.000]  小孩教育的方式不同可以離婚嗎
