
[00:00:00.000 --> 00:00:05.000]  今天我們繼續講天長地久的實現
[00:00:05.000 --> 00:00:08.300]  我們的題目其實是曾經擁有
[00:00:08.300 --> 00:00:10.900]  或者是天長地久
[00:00:10.900 --> 00:00:16.800]  擁有是講到一些物質上的東西
[00:00:16.800 --> 00:00:18.800]  你擁有一些東西
[00:00:18.800 --> 00:00:22.900]  所以擁有其實不是永恆的
[00:00:22.900 --> 00:00:25.100]  你所擁有的東西都是暫時的
[00:00:25.100 --> 00:00:26.300]  對不對?
[00:00:26.300 --> 00:00:30.100]  無論你擁有的是多新都會變舊
[00:00:30.100 --> 00:00:33.200]  我們知道人生裡面擁有很多東西
[00:00:33.200 --> 00:00:36.200]  所以人與人的關係
[00:00:36.200 --> 00:00:38.200]  你只當它是物質來計算
[00:00:38.200 --> 00:00:39.800]  很快就玩完了
[00:00:39.800 --> 00:00:41.300]  很快就沒有了
[00:00:41.300 --> 00:00:44.600]  因為擁有的東西你都很想換新的
[00:00:44.600 --> 00:00:46.600]  現在有些新的工具出來
[00:00:46.600 --> 00:00:48.200]  你不斷要換
[00:00:48.200 --> 00:00:51.500]  但是人的關係是不可以換的
[00:00:51.500 --> 00:00:54.600]  你不可以說我太太舊了
[00:00:54.600 --> 00:00:56.200]  你換一個新的
[00:00:56.200 --> 00:00:57.300]  不可以換的
[00:00:57.300 --> 00:01:02.300]  因為天長地久是一個因典的關係
[00:01:02.300 --> 00:01:06.300]  所以擁有是講到一個利益
[00:01:06.300 --> 00:01:11.500]  一個生意上的法律交易
[00:01:11.500 --> 00:01:12.900]  擁有是講到這件事
[00:01:12.900 --> 00:01:15.400]  所以人與人之間很多的爭執
[00:01:15.400 --> 00:01:19.100]  是講到擁有是法律上的問題
[00:01:19.100 --> 00:01:24.900]  但是天長地久是講到雙方一種因典的聯繫
[00:01:24.900 --> 00:01:27.000]  是一個生命的關係
[00:01:27.000 --> 00:01:28.600]  生命的祝福
