
[00:00:00.000 --> 00:00:03.820]  所以我們今天要談到全家侍奉主
[00:00:03.820 --> 00:00:07.200]  那麼首先我們要講 家庭很重要 是不是
[00:00:07.200 --> 00:00:09.360]  是不是大家都覺得家庭很重要
[00:00:09.360 --> 00:00:13.000]  不管你覺不覺得 事實上家庭就是很重要 為什麼
[00:00:13.000 --> 00:00:17.020]  因為你如果不看重 魔鬼非常看重
[00:00:17.020 --> 00:00:19.860]  請問聖經裡面告訴我們說 創世紀裡面
[00:00:19.860 --> 00:00:26.240]  亞當夏娃是為什麼會犯罪墮落 為什麼
[00:00:26.240 --> 00:00:33.840]  來 姐妹告訴我 夏娃為什麼會犯罪
[00:00:33.840 --> 00:00:39.540]  夏娃會犯罪 是怎麼樣造成她犯罪的
[00:00:39.540 --> 00:00:44.040]  聖經上告訴我們說 因為魔鬼引誘她 對不對
[00:00:44.040 --> 00:00:48.140]  所以夏娃犯罪 夏娃吃了不該吃的果子
[00:00:48.140 --> 00:00:53.060]  然後接著帶來什麼結果呢 就是叫她老公吃
[00:00:53.060 --> 00:00:57.680]  所以其實始祖犯罪 我們大家有一個印象中就是
[00:00:57.680 --> 00:01:03.100]  亞當犯罪其實很冤枉啊 是誰先開始犯罪
[00:01:03.100 --> 00:01:07.020]  是誰先啊 弟兄們告訴我 是誰
[00:01:07.020 --> 00:01:09.840]  不敢說 回去跪算盤
[00:01:09.840 --> 00:01:13.500]  其實是夏娃先犯罪 對不對
[00:01:13.500 --> 00:01:17.000]  那麼亞當是共犯
[00:01:17.000 --> 00:01:21.060]  那問題是在這裡 因為亞當被上帝設立是做頭的
[00:01:21.060 --> 00:01:28.800]  可是做頭的沒有做好 因此呢 所以她就承擔這個責任
[00:01:28.800 --> 00:01:34.760]  但是歸根結底你可以看見 魔鬼從起初上帝設立家庭的時候
[00:01:34.760 --> 00:01:39.560]  魔鬼就在做一件事情要破壞家庭
[00:01:39.560 --> 00:01:42.160]  所以當亞當夏娃犯罪墮落之後
[00:01:42.160 --> 00:01:48.680]  就開始了人類的一個悲慘的結果 就是人離開了神
[00:01:48.680 --> 00:01:51.360]  可是我們不要忘記
[00:01:51.360 --> 00:01:56.040]  魔鬼雖然處心積慮的要破壞家庭
[00:01:56.040 --> 00:02:00.200]  可是上帝卻要來拯救家庭
[00:02:00.200 --> 00:02:05.240]  上帝是設立家庭的那一位
[00:02:05.240 --> 00:02:08.120]  你知道美國每一年
[00:02:08.120 --> 00:02:13.160]  大概有400萬所謂的家庭暴力
[00:02:13.160 --> 00:02:18.160]  Domestic violence 這個案件
[00:02:18.160 --> 00:02:24.040]  其中四分之一的家庭平時就有家庭暴力的問題
[00:02:24.040 --> 00:02:27.960]  想想看 很可怕 是不是
[00:02:27.960 --> 00:02:32.800]  所以你可以看見 家庭受到無情的攻擊
[00:02:32.800 --> 00:02:36.800]  原本一對夫妻結婚的時候成立一個家庭
[00:02:36.800 --> 00:02:43.360]  希望這個家庭從此過著幸福美滿的生活
[00:02:43.360 --> 00:02:50.000]  但是誰想到 今天的家庭會這麼多的問題
[00:02:50.000 --> 00:02:55.000]  你就可以看見 魔鬼從一開始的時候
[00:02:55.000 --> 00:02:59.520]  他知道神的心意 他要破壞神的計劃
[00:02:59.520 --> 00:03:01.360]  那神的心意是什麼呢
[00:03:01.360 --> 00:03:07.360]  你看 創世紀第二章
[00:03:07.360 --> 00:03:08.680]  在這裡說什麼呢
[00:03:08.680 --> 00:03:13.640]  他說那人獨居不好 我要為他造一個配偶 怎麼樣
[00:03:13.640 --> 00:03:15.480]  幫助他 是不是
[00:03:15.480 --> 00:03:16.600]  好 然後呢
[00:03:16.600 --> 00:03:19.640]  這一段經經我就把他這個重要的截出來
[00:03:19.640 --> 00:03:21.560]  其他的你就自己看
[00:03:21.560 --> 00:03:22.760]  後面就說什麼呢
[00:03:22.760 --> 00:03:25.640]  因此人要離開父母與妻子聯合
[00:03:25.640 --> 00:03:26.920]  二人成為一體
[00:03:26.920 --> 00:03:29.120]  這個我們在很多時候牧師在證婚的時候
[00:03:29.120 --> 00:03:31.080]  大概都會講到這一節聖經
[00:03:31.080 --> 00:03:33.240]  那丟什麼經你注意我今天要特別強調一點
[00:03:33.240 --> 00:03:37.480]  就是說 請問上帝成立這個婚姻
[00:03:37.480 --> 00:03:39.080]  上帝造人
[00:03:39.080 --> 00:03:40.200]  我們先回到第一個
[00:03:40.200 --> 00:03:42.600]  上帝造人的目的是什麼
[00:03:42.600 --> 00:03:43.320]  還記得嗎
[00:03:43.320 --> 00:03:46.880]  曾經我們在講得勝者講過 還記不記得
[00:03:46.880 --> 00:03:49.680]  神叫亞當要做一些什麼事情
[00:03:49.680 --> 00:03:53.040]  要管理天上的地上的海底的一切對不對
[00:03:53.040 --> 00:03:55.000]  海陸海空總司令還記得嗎
[00:03:55.000 --> 00:03:56.440]  我們稍微複習一下
[00:03:56.440 --> 00:03:59.120]  所以上帝要亞當做一件事情
[00:03:59.120 --> 00:04:01.680]  就是他要來去做管理的工作
[00:04:01.680 --> 00:04:05.680]  也就是說這個伊甸園交給他是交給他來管理的
[00:04:05.680 --> 00:04:07.920]  你要知道亞當當時候多神聖
[00:04:07.920 --> 00:04:10.280]  多麼了不起
[00:04:10.280 --> 00:04:13.200]  他獅子 老虎 大象 蛇
[00:04:13.200 --> 00:04:15.400]  這些就通通都是他在命令的
[00:04:15.400 --> 00:04:18.200]  大象過來 他說你就當大象
[00:04:18.200 --> 00:04:21.600]  老虎過來你就說 坐下來
[00:04:21.600 --> 00:04:28.160]  丁子妹 今天你看到老虎你敢不敢叫他坐下
[00:04:28.160 --> 00:04:32.160]  亞當本來上帝賦予他這個權柄
[00:04:32.160 --> 00:04:35.720]  來管理伊甸園的
[00:04:35.720 --> 00:04:40.120]  那麼請問 這裡說上帝看見亞當獨居不好
