
[00:00:00.000 --> 00:00:08.000]  戴德星先生的一生都在內地會的歷史當中記述
[00:00:08.000 --> 00:00:13.000]  不斷去接受信心的考驗
[00:00:13.000 --> 00:00:17.000]  更為成熟
[00:00:17.000 --> 00:00:21.000]  而他弱小的身軀
[00:00:21.000 --> 00:00:25.000]  常常為疾病所困苦
[00:00:25.000 --> 00:00:28.000]  親人夭折離世
[00:00:28.000 --> 00:00:33.000]  更為他帶來一次又一次很大的打擊
[00:00:33.000 --> 00:00:36.000]  在1867年
[00:00:36.000 --> 00:00:42.000]  他八歲的愛女在杭州病逝
[00:00:42.000 --> 00:00:45.000]  戴德星相信
[00:00:45.000 --> 00:00:48.000]  這是上帝這位元丁
[00:00:48.000 --> 00:00:50.000]  在他的花園裡
[00:00:50.000 --> 00:00:54.000]  娶了他喜愛的一朵玫瑰
[00:00:54.000 --> 00:00:56.000]  在1868年
[00:00:56.000 --> 00:00:59.000]  他們搬到揚州之後沒多久
[00:00:59.000 --> 00:01:02.000]  爆發揚州教案
[00:01:02.000 --> 00:01:05.000]  多位的親人和同工
[00:01:05.000 --> 00:01:09.000]  在逃難當中受傷
[00:01:09.000 --> 00:01:10.000]  1870年
[00:01:10.000 --> 00:01:12.000]  更大的考驗來到
[00:01:12.000 --> 00:01:15.000]  先是他六歲的兒子
[00:01:15.000 --> 00:01:19.000]  在二月之間病逝
[00:01:19.000 --> 00:01:22.000]  然後在七月
[00:01:22.000 --> 00:01:25.000]  他的太太產下一個兒子
[00:01:25.000 --> 00:01:29.000]  只活到十三日夭折
[00:01:29.000 --> 00:01:30.000]  幾日之後
[00:01:30.000 --> 00:01:34.000]  他太太自己也病逝
[00:01:34.000 --> 00:01:37.000]  母子三人都葬在鎮江
[00:01:37.000 --> 00:01:40.000]  在這個這麼大的打擊之下
[00:01:40.000 --> 00:01:46.000]  戴德星再一次通過信心的考驗
[00:01:46.000 --> 00:01:50.000]  繼續領導內地會向前
[00:01:50.000 --> 00:01:54.000]  在1900年的義和團事變當中
[00:01:54.000 --> 00:01:59.000]  內地會人員損失最嚴重
[00:01:59.000 --> 00:02:02.000]  一共有58個成年人
[00:02:02.000 --> 00:02:05.000]  和21個小孩死在刀下
[00:02:05.000 --> 00:02:07.000]  已經是68歲
[00:02:07.000 --> 00:02:11.000]  正在瑞士休養的戴德星
[00:02:11.000 --> 00:02:14.000]  聽聞這些噩耗
[00:02:14.000 --> 00:02:18.000]  之後精神幾乎是崩潰
[00:02:18.000 --> 00:02:21.000]  他說我不能夠看書
[00:02:21.000 --> 00:02:24.000]  不能夠思考
[00:02:24.000 --> 00:02:28.000]  我甚至不能夠禱告
[00:02:28.000 --> 00:02:33.000]  但是我能夠信靠
[00:02:33.000 --> 00:02:36.000]  在《士同尊三章》提到
[00:02:36.000 --> 00:02:40.000]  彼得醫治了一個瘸腿
[00:02:40.000 --> 00:02:42.000]  即是跛腳
[00:02:42.000 --> 00:02:47.000]  不能夠自然行路
[00:02:47.000 --> 00:02:50.000]  他對這個瘸腿的人說
[00:02:50.000 --> 00:02:52.000]  金銀我都沒有
[00:02:52.000 --> 00:02:55.000]  只將我所有的給你
[00:02:55.000 --> 00:02:57.000]  我奉拿撒勒人耶穌的名
[00:02:57.000 --> 00:03:00.000]  叫你起來行走
[00:03:00.000 --> 00:03:04.000]  他果然可以站起來行走
[00:03:04.000 --> 00:03:06.000]  虛讚美神
[00:03:06.000 --> 00:03:09.000]  彼得向百姓分享
[00:03:09.000 --> 00:03:14.000]  不要以為他靠著自己的能力
[00:03:14.000 --> 00:03:17.000]  可以叫這個瘸腿的人起來行動
[00:03:17.000 --> 00:03:21.000]  我是主耶穌讓他得到醫治
[00:03:21.000 --> 00:03:25.000]  藉此見證了主復活的大能
[00:03:25.000 --> 00:03:28.000]  和他施行拯救
[00:03:28.000 --> 00:03:33.000]  當彼得向百姓講說話的時候
[00:03:33.000 --> 00:03:36.000]  在四章一節提到
[00:03:36.000 --> 00:03:39.000]  祭司和守殿官
[00:03:39.000 --> 00:03:43.000]  並且是撒刀該人
[00:03:43.000 --> 00:03:47.000]  忽然來到聽到他們說
[00:03:47.000 --> 00:03:51.000]  耶穌從死裡復活
[00:03:51.000 --> 00:03:55.000]  就很煩惱
[00:03:55.000 --> 00:04:00.000]  原來祭司多數是屬於撒刀該派的人
[00:04:00.000 --> 00:04:04.000]  他們否認死人復活的事情
[00:04:04.000 --> 00:04:12.000]  司徒的訊息自然令他們很煩惱不安
[00:04:12.000 --> 00:04:18.000]  於是拘捕了彼得和約翰
[00:04:18.000 --> 00:04:21.000]  押在監獄裡
[00:04:21.000 --> 00:04:26.000]  當時聽到的男士大概有五千人
[00:04:26.000 --> 00:04:30.000]  而且很多相信主
[00:04:30.000 --> 00:04:37.000]  官府(公會)裡有七十一個成員
[00:04:37.000 --> 00:04:40.000]  由大祭司作為主席
[00:04:40.000 --> 00:04:45.000]  包括長老和律法教師
[00:04:45.000 --> 00:04:49.000]  在耶路撒冷聚集
[00:04:49.000 --> 00:04:54.000]  當司徒嘗試叫人信主的時候
[00:04:54.000 --> 00:04:58.000]  就被關進監獄裡
[00:04:58.000 --> 00:05:00.000]  有這個危險
[00:05:00.000 --> 00:05:03.000]  因為彼得和約翰的言論
[00:05:03.000 --> 00:05:06.000]  威脅到當時的宗教領袖
[00:05:06.000 --> 00:05:10.000]  他們關心自己的地位
[00:05:10.000 --> 00:05:15.000]  他們不信耶穌復活的事情
[00:05:15.000 --> 00:05:19.000]  他們關心自己地位之外
[00:05:19.000 --> 00:05:22.000]  還有關心自己的聲望
[00:05:22.000 --> 00:05:25.000]  是多於神的事情
[00:05:25.000 --> 00:05:28.000]  藉著聖靈的幫助
[00:05:28.000 --> 00:05:34.000]  彼得勇敢在公會前去見證耶穌
[00:05:34.000 --> 00:05:37.000]  在審訊開始的時候
[00:05:37.000 --> 00:05:42.000]  法庭直接向彼得和約翰發出一個問題
[00:05:42.000 --> 00:05:44.000]  他們是用什麼能力
[00:05:44.000 --> 00:05:47.000]  奉誰的名義來做這件事
[00:05:47.000 --> 00:05:50.000]  即是說令這個瘸腿的人
[00:05:50.000 --> 00:05:55.000]  可以起來行走的事情
[00:05:55.000 --> 00:05:57.000]  在第八節說到
[00:05:57.000 --> 00:06:02.000]  當時彼得被聖靈充滿
[00:06:02.000 --> 00:06:04.000]  對他們說
[00:06:04.000 --> 00:06:06.000]  自問的官府和長老
[00:06:06.000 --> 00:06:11.000]  倘若今天因為在殘疾人身上所行的善事
[00:06:11.000 --> 00:06:15.000]  查問我們他是怎樣得到痊癒
[00:06:15.000 --> 00:06:18.000]  你們眾人和以色列百姓都當知道
[00:06:18.000 --> 00:06:23.000]  站在你們面前的這個人得到痊癒
[00:06:23.000 --> 00:06:27.000]  是因你們所釘十字架
[00:06:27.000 --> 00:06:32.000]  並叫他從死裡復活的拿撒勒人耶穌基督的名
[00:06:32.000 --> 00:06:35.000]  他是你們將人所棄的石頭
[00:06:35.000 --> 00:06:40.000]  已經成了防國的頭塊石頭
[00:06:40.000 --> 00:06:42.000]  除差意外別無拯救
[00:06:42.000 --> 00:06:46.000]  因為在天下人間沒有此下別的名
[00:06:46.000 --> 00:06:49.000]  我們可以靠著不救
[00:06:49.000 --> 00:06:53.000]  彼得很流暢地將這個醫治
[00:06:53.000 --> 00:06:56.000]  說到救恩的信息
[00:06:56.000 --> 00:06:58.000]  一個人的肉身被醫好
[00:06:58.000 --> 00:07:06.000]  引伸到一位由基督而來賜給所有人的救恩
[00:07:06.000 --> 00:07:10.000]  他宣告了一個正面的事實
[00:07:10.000 --> 00:07:14.000]  唯獨靠耶穌的名字
[00:07:14.000 --> 00:07:17.000]  才能得到拯救
[00:07:17.000 --> 00:07:20.000]  他是唯一的救主
[00:07:20.000 --> 00:07:25.000]  有一次傍晚接到一位弟兄打電話來
[00:07:25.000 --> 00:07:30.000]  他說前一晚他探望他姐姐的時候
[00:07:30.000 --> 00:07:32.000]  跟他姐姐傳福音
[00:07:32.000 --> 00:07:36.000]  他姐姐願意決志相信主
[00:07:36.000 --> 00:07:40.000]  感到這位弟兄很有勇氣沒有疑惑
[00:07:40.000 --> 00:07:44.000]  他說很希望我能夠探望他姐姐
[00:07:44.000 --> 00:07:46.000]  跟她澄清信仰
[00:07:46.000 --> 00:07:51.000]  原來他姐姐患十二指腸末期癌症
[00:07:51.000 --> 00:07:57.000]  是近期才發現的
[00:07:57.000 --> 00:08:00.000]  我也曾經探望過他姐姐
[00:08:00.000 --> 00:08:04.000]  答應會再去探望她
[00:08:04.000 --> 00:08:10.000]  在探望的時候
[00:08:10.000 --> 00:08:14.000]  黃帝兄也在場
[00:08:14.000 --> 00:08:18.000]  我就問他姐姐
[00:08:18.000 --> 00:08:22.000]  你是否已經願意相信
[00:08:22.000 --> 00:08:26.000]  耶穌成為你個人的救主呢?
[00:08:26.000 --> 00:08:29.000]  他表示很心灰
[00:08:29.000 --> 00:08:35.000]  他說死了又怎樣也沒關係
[00:08:35.000 --> 00:08:40.000]  我就說主耶穌雖然為我們的過犯死了
[00:08:40.000 --> 00:08:44.000]  但祂死後三日復活
[00:08:44.000 --> 00:08:48.000]  我說也不需要怕
[00:08:48.000 --> 00:08:50.000]  你信靠這位主
[00:08:50.000 --> 00:08:55.000]  也會像主耶穌一樣將來要復活
[00:08:55.000 --> 00:08:59.000]  求主施恩去醫治他
[00:08:59.000 --> 00:09:03.000]  給他多些時間來認識主
[00:09:03.000 --> 00:09:07.000]  為他帶來盼望
[00:09:07.000 --> 00:09:10.000]  如果神容許
[00:09:10.000 --> 00:09:12.000]  求神也給他多些時間
[00:09:12.000 --> 00:09:14.000]  為他禱告
[00:09:14.000 --> 00:09:18.000]  他真的願意相信
[00:09:18.000 --> 00:09:21.000]  我相信是神去鼓勵他
[00:09:21.000 --> 00:09:23.000]  原本很灰心
[00:09:23.000 --> 00:09:27.000]  因著聖靈的感動
[00:09:27.000 --> 00:09:29.000]  成為他的激勵
[00:09:29.000 --> 00:09:32.000]  使徒雖然受著威嚇
[00:09:32.000 --> 00:09:36.000]  仍然繼續去傳揚主的道
[00:09:36.000 --> 00:09:42.000]  審訊的人因比特約翰的膽量感到驚奇
[00:09:42.000 --> 00:09:46.000]  尤其是因為他們是沒有學問的小民
[00:09:46.000 --> 00:09:50.000]  意思是他們沒有接受過正規神學訓練
[00:09:50.000 --> 00:09:54.000]  小民即是門外漢
[00:09:54.000 --> 00:09:57.000]  沒有專業受訓的人
[00:09:57.000 --> 00:10:02.000]  他們知道兩個人曾經跟隨過耶穌
[00:10:02.000 --> 00:10:08.000]  耶穌也沒有接受過正規的神學訓練
[00:10:08.000 --> 00:10:11.000]  不像他們的拉比
[00:10:11.000 --> 00:10:14.000]  那麼有專業地位
[00:10:14.000 --> 00:10:16.000]  可是他們看到
[00:10:16.000 --> 00:10:20.000]  在面前這位瘸腿的人
[00:10:20.000 --> 00:10:23.000]  真的得到醫治
[00:10:23.000 --> 00:10:24.000]  這個事實
[00:10:24.000 --> 00:10:27.000]  人人都知道
[00:10:27.000 --> 00:10:32.000]  他可以起來行走
[00:10:32.000 --> 00:10:37.000]  他現在跟著使徒站立起來
[00:10:37.000 --> 00:10:44.000]  所以他們根本沒有辦法駁斥這位瘸腿的人
[00:10:44.000 --> 00:10:46.000]  被醫治了
[00:10:46.000 --> 00:10:47.000]  這個事實
[00:10:47.000 --> 00:10:51.000]  他們不能否認這個事情
[00:10:51.000 --> 00:10:55.000]  也不肯承認這個事實
[00:10:55.000 --> 00:10:58.000]  只有叫彼得約翰離開
[00:10:58.000 --> 00:11:03.000]  因為不能定他們有什麼罪
