
[00:00:00.000 --> 00:00:02.800]  各位訂閱字幕係平安
[00:00:02.800 --> 00:00:07.320]  不知道大家有沒有服用一些健康產品
[00:00:07.320 --> 00:00:16.040]  可能是乳油丸 激生菌 或者是骨膠原的蛋白粉
[00:00:16.040 --> 00:00:18.480]  過去我自己沒有什麼研究
[00:00:18.480 --> 00:00:22.160]  但因為前年開始膝蓋開始痛
[00:00:22.160 --> 00:00:25.880]  看完醫生就會知道可能膝蓋有些磨損
[00:00:25.880 --> 00:00:28.520]  於是我姐姐她是做護士的
[00:00:28.520 --> 00:00:35.480]  她就介紹弟弟開始服用骨膠原蛋白粉
[00:00:35.480 --> 00:00:38.040]  初時我有少少抗拒
[00:00:38.040 --> 00:00:42.600]  為什麼呢 因為要每日服用 又貴
[00:00:42.600 --> 00:00:46.120]  都是半送半移
[00:00:46.120 --> 00:00:53.520]  但因為在家裏有些親人試用後發現好轉了
[00:00:53.520 --> 00:00:56.320]  於是就自己嘗試
[00:00:56.320 --> 00:01:02.680]  吃了一段日子發覺原來真的有好轉 沒有痛
[00:01:02.680 --> 00:01:09.080]  最重要是家人曾經是見證人 試過是真的
[00:01:09.080 --> 00:01:15.360]  之後我聽到有些朋友說他又有膝蓋痛
[00:01:15.360 --> 00:01:17.640]  於是我又開始做見證人
[00:01:17.640 --> 00:01:20.720]  我就介紹他不如試試這款
[00:01:20.720 --> 00:01:23.640]  當然每個人的吸收都不同
[00:01:23.640 --> 00:01:27.560]  一個產品不代表每個人都合適
[00:01:27.560 --> 00:01:30.600]  但因為覺得可以幫到自己
[00:01:30.600 --> 00:01:34.400]  亦都想同樣有問題的人都可以同時幫助
[00:01:34.400 --> 00:01:37.040]  所以都願意來推介
[00:01:37.040 --> 00:01:39.600]  所以弟兄姊妹在身體健康層面
[00:01:39.600 --> 00:01:44.720]  如果我們知道有些健康食物是對身體好的
[00:01:44.720 --> 00:01:48.400]  有需要的 我們都會嘗試做一個見證人
[00:01:48.400 --> 00:01:50.400]  推薦給其他人
[00:01:50.400 --> 00:01:55.640]  在信仰層面 原來我們都同樣需要有見證人
[00:01:55.640 --> 00:01:58.720]  因為今天有很多未信主的朋友
[00:01:58.720 --> 00:02:05.160]  很少會自己買一本聖經去看
[00:02:05.160 --> 00:02:10.280]  或者很少會主動回到教會認識主
[00:02:10.280 --> 00:02:13.920]  可能他們對耶穌基督的印象
[00:02:13.920 --> 00:02:19.560]  一開始就圍繞著他身邊的基督徒 就是我們
[00:02:19.560 --> 00:02:24.520]  可能我們的為人、品格、處事
[00:02:24.520 --> 00:02:28.080]  或者我們面對逆境時的生命態度
[00:02:28.080 --> 00:02:31.040]  可能都會影響他們
[00:02:31.040 --> 00:02:33.880]  可能他們會問 究竟耶穌是否真的呢?
[00:02:33.880 --> 00:02:35.960]  如果我好像他們這樣相信
[00:02:35.960 --> 00:02:39.200]  究竟耶穌會否幫到我呢?
[00:02:39.200 --> 00:02:43.880]  在今年教會的主題 大家記不記得?
[00:02:43.880 --> 00:02:46.080]  教會的主題
[00:02:46.080 --> 00:02:49.480]  我們偶爾溫習一下
[00:02:49.480 --> 00:02:55.080]  就是要「走出去 傳遞愛 活出來 見證神」
[00:02:55.080 --> 00:02:57.760]  不知道在過去這段日子裡
[00:02:57.760 --> 00:03:02.760]  神帶領大家有多奇妙的經歷和帶領
[00:03:02.760 --> 00:03:06.160]  邁向新的2027年
[00:03:06.160 --> 00:03:09.920]  我們知道教會同樣維持著這個主題
[00:03:09.920 --> 00:03:11.400]  不過有一個焦點
[00:03:11.400 --> 00:03:17.240]  就是回到關心弟兄姊妹屬靈的生命的塗造和栽培上
[00:03:17.240 --> 00:03:20.000]  因為當我們要繼續去傳遞主的愛
[00:03:20.000 --> 00:03:21.480]  去傳揚福音的時候
[00:03:21.480 --> 00:03:23.120]  我們自己和神的關係
[00:03:23.120 --> 00:03:26.360]  都是很重要的基礎和動力
[00:03:26.360 --> 00:03:29.320]  今日所讀的經文當中的主角
[00:03:29.320 --> 00:03:30.280]  史提反
[00:03:30.280 --> 00:03:34.240]  他是初期教會被選出來七位的服事者之一
[00:03:34.240 --> 00:03:38.960]  聖經記載他是滿有聖靈和滿有智慧
[00:03:38.960 --> 00:03:41.680]  他不僅在教會內部侍奉
[00:03:41.680 --> 00:03:45.440]  他也願意公開地為耶穌做見證
[00:03:45.440 --> 00:03:48.400]  正因為他的服事很有果效
[00:03:48.400 --> 00:03:53.480]  於是當時一些宗教領袖開始不滿意他
[00:03:53.480 --> 00:03:54.640]  質問他
[00:03:54.640 --> 00:03:58.400]  並且有一些人將史提反抓了
[00:03:58.400 --> 00:04:02.680]  帶他到當時的公會受審
[00:04:02.680 --> 00:04:08.000]  而當時的猶太公會是掌管著猶太宗教權柄的中心
[00:04:08.000 --> 00:04:12.800]  有人用一些假見證去誣告史提反
[00:04:12.800 --> 00:04:14.320]  主要有兩個罪名
[00:04:14.320 --> 00:04:18.040]  第一是說他踐踏聖殿
[00:04:18.040 --> 00:04:20.440]  抵毀了聖殿的神聖
[00:04:20.440 --> 00:04:23.000]  第二是褻瀆律法
[00:04:23.000 --> 00:04:26.720]  抵毀了神的話語
[00:04:26.720 --> 00:04:28.640]  面對這些控告
[00:04:28.640 --> 00:04:32.280]  於是史提反在《士徒行傳》七章一至五十節
[00:04:32.280 --> 00:04:34.840]  講了一篇很長的訊息
[00:04:34.840 --> 00:04:40.160]  他替當時的群眾回顧神的救贖歷史
