
[00:00:00.000 --> 00:00:06.160]  多待同行,很感謝主啊,這裏又老又亂,少年人走了去那邊崇拜了,是不是啊?
[00:00:06.160 --> 00:00:13.360]  如果不是的話,他們真是多待同行了,教會也是這樣的,所有不同的年紀都會走在一起,對不對啊?
[00:00:13.360 --> 00:00:18.800]  喜歡去旅行嗎?今年有沒有去過啊?有啊,去過哪裏啊?
[00:00:18.800 --> 00:00:26.080]  沙頭角也是的,對的,旅行不看一定要遠的,是不是啊?
[00:00:26.080 --> 00:00:31.080]  不過香港人去旅行很可怕的,是不是啊?差不多去到世界各地,什麼地方都去的,
[00:00:31.080 --> 00:00:34.240]  那些節目又叫你去哪裏,去哪裏,是不是啊?
[00:00:34.240 --> 00:00:38.880]  就是不可怕的那些不去啊,是不是啊?現在又天雨地了,又吊你下去了,是不是啊?
[00:00:38.880 --> 00:00:47.360]  那你如果打開報紙,你天天都有的,整份報紙,你知不知道裏面佔了多少份幾是在講旅行廣告啊?
[00:00:47.360 --> 00:00:50.880]  一半啊,真是,真的不是開玩笑的,真是,
[00:00:50.880 --> 00:00:57.880]  那你去過旅行的舉手給我看,大嶼山也是的,全部人都去過了,是不是啊?
[00:00:57.880 --> 00:01:03.880]  有沒有去過耶路撒冷啊?這裏有沒有人去過耶路撒冷啊?
[00:01:03.880 --> 00:01:09.480]  誒,有去過啊,什麼時候去的啊?什麼月份啊?
[00:01:09.480 --> 00:01:17.280]  誒,也好一點,如果你平時那裏熱到不得了的,那現在還熱,知不知道為什麼啊?
[00:01:17.280 --> 00:01:23.480]  火燒耶路撒冷啊,你不知道嗎?整個以色列被人放火啊,到處燒啊,是不是啊?
[00:01:23.480 --> 00:01:25.480]  那些恐怖份子不斷地燒啊,是不是啊?
[00:01:25.480 --> 00:01:37.880]  那不過呢,不要緊的,耶路撒冷你地上的去不了,這裏所有人,如果你信耶穌的,我寫飽單,大家一定去那個新耶路撒冷,跟隔壁的說,一起去!
[00:01:37.880 --> 00:01:49.880]  不拋棄你的,沒有人拋棄你啊,跟團啊,跟鴨仔啊,走著走著就不見了你啊,就在那邊,但這裏一定不會拋棄你的,一定每個人都要去的,所以多待同行邁向新耶路撒冷
[00:01:49.880 --> 00:02:00.880]  有人就這樣看到一個這樣的景象,畫了出來,嘩,漂亮不漂亮啊?嘩,漂亮到不得了,真的,在啟示錄真的有這樣說的,就是有一個這樣的地方,真的漂亮到這樣的
[00:02:00.880 --> 00:02:17.880]  首先讓阿約翰看到,嘩,他看到新城降臨下來,看到神的國度,看到這個新耶路撒冷,嘩,漂亮到不得了,所以這裏所有人,包括你和我,你信了耶穌的,將來一定去的,是不是啊?拖著你去的,上到去個個都很漂亮的,是不是啊?知不知道啊?
[00:02:17.880 --> 00:02:36.880]  漂亮到不得了,上次我讚你漂亮嗎?嘩,你真是越來越漂亮啊,嘩,真是沒得頂的,是啊,見過我啊,我都很漂亮的,是不是啊?真是,個個都上到去都不同的了,新耶路撒冷是上帝預備給他的子民,預備所有信他的人都要去那裏的地方的
[00:02:36.880 --> 00:03:04.880]  有些人就帶著矛盾去,不過我們不會的,是不是啊?帶著矛盾去旅行,我們不用的,我們帶著什麼?上帝的恩典,祂的福氣,這個呢,嘩,五千多塊就能去了,是不是啊?本來一萬多塊的,那個弟兄訂給我的,最後三位叫我去的,嘩,厲害啊,那我有沒有搞錯啊?你去十一天這麼久,都是五千塊,嘩,現在便宜到這樣的,不過你沒得報的了,不要恨啊,過了的了,22號已經過了的了,已經沒得報的了,是不是啊?
[00:03:04.880 --> 00:03:20.880]  出發就今天去了,今天去了,你坐在這裏就沒得去了,一早就去了,是不是啊?所以很多人都喜歡去旅行,但是有時候,有一個旅行就是我們人生都要走的,是不是啊?人生有人比喻為我們一個旅程,是不是啊?一出生就開始了,是不是啊?
[00:03:20.880 --> 00:03:42.880]  有人用列車,我不知道你有沒有坐過火車去旅行,誰坐過火車去旅行的?都有啊,是硬餓還是軟餓那些,硬那些,我可以一定要睡硬的,軟一點都睡得不舒服,老人家,但是人生好像列車那樣的,有人說,有不同的站,你有不同的地方上車,對不對?
[00:03:42.880 --> 00:04:11.880]  有些在香港,有些在內地,什麼地方都好,總有人上車的,誰給車,有他的路軌的,每一個人都去不同的地方的,對不對啊?你和我雖然今天相遇在這裏,但是遲些可能會分開的,是不是啊?有些人去別的地方的,你有沒有一些朋友跟著移民了?有啊,是不是啊?回想自己那些朋友,最死的那些,走了,是不是啊?個人的路軌都不同的,生命是這樣的,爸爸媽媽給我們上車的,是不是啊?
[00:04:11.880 --> 00:04:40.880]  沒有他們我們上不了車,是不是啊?上了車之後,他陪我們一會兒而已,這個是真的,那你子輝還是文輝啊?子輝,子謙,子謙,文輝是彈結他的,我有留意你那些東西的,很厲害的,子謙,媽媽陪你一段時間,長大了就拜拜了,不是開玩笑的,讓我早點下車,你知道我解釋下車是什麼意思嗎?
[00:04:40.880 --> 00:05:09.880]  剛剛才和那個同工說再見,他真的,謝達明院務,不知道你們認不認識,認識啊?謝達明院務,他專門開個識別會,識別會不是安息禮拜,他前兩個禮拜開個識別會,說完之後,過兩天就拜拜了,有人說早點下車的,真的又不是,就是剩下我們繼續,不過不要緊,怕隔壁那個,幸好遇見你啊
[00:05:09.880 --> 00:05:37.880]  但是不要開玩笑,人生有時候難得坐在一起相遇,還和在一間教會,是不是?很難得的,這麼多間教會不去,大家住在進化班院,或者住在油麻地,或者住在哪裡,但是又介紹回來,見到他,一起走,陸陸續續,有人上車,有人下車,是不是?我們又叫做什麼?如果我們去安息禮拜,我們叫他送機的,因為我們去安息禮拜,我們就叫他送機的,是不是?
[00:05:37.880 --> 00:06:06.880]  但是我們叫他送機的,因為我們知道他會飛上去上面的,我們做安息禮拜,送機的,他上去上面,但是有人走,有人下車,但是不要緊的,有時候我試過一次打電話找個舊同學,打他,我家人說他走了,我傻乎乎的,走了?不懂得聽,走了去哪裡?對,就像你這樣,他去了哪裡?對方就沉默了一段時間,你知道為什麼了,他走了,去了哪裡?
[00:06:06.880 --> 00:06:26.880]  難道他告訴你他死了?那我再回答多一句,他死去哪裡了?當然不會了,你會知道有人會走了,但是不要緊的,我一想起那次聽到電話之後,哦,原來他已經走了,但是心裡面馬上就反起和他的回憶了,你明白嗎?
[00:06:26.880 --> 00:06:55.880]  當有一個人真的走了的時候,他究竟那時候是怎樣呢?和他相處是怎樣呢?但是這次找不到他,因為我們有個聚集,想找些人,找回那些舊的紀錄,那些手冊啊,識別手冊啊,找回那些電話,打去他家找他,沒有查他的手提電話,不知道的,那時候是中學同學,打他,走了,很多回憶,有時候流過淚,有時候嘔吐過,不過有時候是無奈的辭別,就好像這個人走了,我們也不知道,
[00:06:55.880 --> 00:07:24.880]  整班同學也不知道,那就走了,但是不要緊的,今天你還記得誰在你身邊呢?車上還有你的生命列車裡面,還有誰在你身邊呢?這個重要的,因為有些人會下車,但是今天仍然在的,就要珍惜,珍惜什麼?眼前什麼?眼前人,看看旁邊那個,你是啊,我會珍惜你的,特別是一家人,是吧?
[00:07:24.880 --> 00:07:48.880]  你也是啊,生命盟主更生啊,福音要遍全社區啊,難得走在一起,做同一件事,不是這麼多人的,你看看這個世界這麼多億人,就是隻有你和我,就是在這間教會相遇,我又和你一起走那段路,又有些歡笑,又有些眼淚,又被你擲過,又被你……不要再說了,哇,真是很多事,是吧?
