
[00:00:00.000 --> 00:00:06.100]  (主席)今天我們所讀的經文是彼得前書的第一章的下半部
[00:00:06.100 --> 00:00:12.300]  (主席)那麼信息方面,你可以說是我們上個星期的信息的下集
[00:00:12.300 --> 00:00:15.800]  (主席)因為整個彼得前書的第一章
[00:00:15.800 --> 00:00:20.800]  (主席)上半部加上下半部的信息加在一起是一個完整的信息
[00:00:20.800 --> 00:00:24.100]  (主席)所以如果大家錯過了上個星期的信息的話
[00:00:24.100 --> 00:00:25.700]  (主席)我鼓勵大家上網聽聽
[00:00:25.700 --> 00:00:28.100]  (主席)兩個的信息加起來是一個完整的信息
[00:00:28.100 --> 00:00:30.200]  (主席)上個星期我們說到什麼呢?
[00:00:30.200 --> 00:00:34.400]  (主席)上個星期我們說到當我們重生得救之後
[00:00:34.400 --> 00:00:39.200]  (主席)我們在神的面前得到一個活潑的盼望
[00:00:39.200 --> 00:00:42.900]  (主席)這個活潑的盼望讓我們得到一個能力
[00:00:42.900 --> 00:00:46.600]  (主席)面對世間上種種的困難
[00:00:46.600 --> 00:00:49.300]  (主席)也給了我們一個很具體的盼望
[00:00:49.300 --> 00:00:55.200]  (主席)天上永恆產業的盼望讓我們得到
[00:00:55.200 --> 00:01:00.200]  (主席)今天的題目說到脫離救我的聖潔
[00:01:00.200 --> 00:01:04.200]  (主席)讓我們得到神的恩典
[00:01:04.200 --> 00:01:07.900]  (主席)讓我們得到一個活潑的盼望
[00:01:07.900 --> 00:01:11.600]  (主席)而這個盼望不單止給了我們能力
[00:01:11.600 --> 00:01:14.000]  (主席)面對世間上種種的困難
[00:01:14.000 --> 00:01:19.100]  (主席)也讓我們可以在這個被罪惡所感染
[00:01:19.100 --> 00:01:21.900]  (主席)所控制的世界裡面得到
[00:01:21.900 --> 00:01:27.200]  (主席)可以一個活著聖潔生命的可能性
[00:01:27.200 --> 00:01:32.500]  (主席)這個盼望讓我們今天來和大家看看
[00:01:32.500 --> 00:01:35.700]  (主席)如何在一個不聖潔的世界裡面
[00:01:35.700 --> 00:01:38.700]  (主席)能夠活出一個聖潔的人生
[00:01:38.700 --> 00:01:41.900]  (主席)我們如果看這個段落的第一節
[00:01:41.900 --> 00:01:44.600]  (主席)就是第十三節
[00:01:44.600 --> 00:01:47.400]  (主席)比特開始的時候用了一個連接詞
[00:01:47.400 --> 00:01:51.000]  (主席)所以大家都知道我們什麼時候用所以的
[00:01:51.000 --> 00:01:53.400]  (主席)就是說我們接下來要說的東西
[00:01:53.400 --> 00:01:55.900]  (主席)就建基於以上所說的東西
[00:01:55.900 --> 00:01:58.300]  (主席)就是說我們上個星期所說的信息
[00:01:58.300 --> 00:02:02.500]  (主席)就是我們今天要說的信息的一個基礎
[00:02:02.500 --> 00:02:06.000]  (主席)那麼在這節簡單的經文裡面
[00:02:06.000 --> 00:02:09.200]  (主席)使徒比特用了三個動詞
[00:02:09.200 --> 00:02:13.200]  (主席)來說我們作為耶穌基督的信徒
[00:02:13.200 --> 00:02:15.200]  (主席)我們如何回應神的恩典
[00:02:15.200 --> 00:02:18.700]  (主席)他就用了三個動詞來說我們要做的三件事
[00:02:18.700 --> 00:02:22.900]  (主席)好了 第一件事比特就說
[00:02:22.900 --> 00:02:25.700]  (主席)我們要約束我們的心
[00:02:25.700 --> 00:02:28.200]  (主席)在希臘文這個約束這個字
[00:02:28.200 --> 00:02:30.400]  (主席)是一個很有形象化
[00:02:30.400 --> 00:02:32.800]  (主席)很多的形容在裡面的
[00:02:32.800 --> 00:02:34.800]  (主席)我們要知道當時的人
[00:02:34.800 --> 00:02:36.600]  (主席)不像我們這樣的衣著
[00:02:36.600 --> 00:02:39.800]  (主席)當時的人是做一個很寬闊的長袍
[00:02:39.800 --> 00:02:42.700]  (主席)大家想像一下 你扭了一件長袍的時候
[00:02:42.700 --> 00:02:45.100]  (主席)你走路又不方便 做事又不方便
[00:02:45.100 --> 00:02:48.600]  (主席)所以如果你要走遠路或者要做事之前
[00:02:48.600 --> 00:02:50.600]  (主席)你首先把你的長袍拿起
[00:02:50.600 --> 00:02:52.000]  (主席)用腰帶綁著
[00:02:52.000 --> 00:02:55.200]  (主席)這樣就可以做事就方便很多了
[00:02:55.200 --> 00:02:58.800]  (主席)所以呢 由這個原因
[00:02:58.800 --> 00:03:03.000]  (主席)使徒比特就說我們需要去束腰
[00:03:03.000 --> 00:03:04.600]  (主席)那麼很明顯
[00:03:04.600 --> 00:03:07.300]  (主席)使徒比特所說的不單是我們要做事
[00:03:07.300 --> 00:03:09.100]  (主席)之前要束腰
[00:03:09.100 --> 00:03:13.400]  (主席)好了 這個所應用的束腰這個形態
[00:03:13.400 --> 00:03:16.100]  (主席)是我們的心智上面
[00:03:16.100 --> 00:03:19.000]  (主席)我們要約束我們的心
[00:03:19.000 --> 00:03:23.100]  (主席)什麼意思 什麼叫做約束我們的心
[00:03:23.100 --> 00:03:25.600]  (主席)我希望大家都沒有這樣的經驗
[00:03:25.600 --> 00:03:28.600]  (主席)但是如果大家做過手術的話
[00:03:28.600 --> 00:03:29.200]  (主席)要怎樣
[00:03:29.200 --> 00:03:30.500]  (主席)很多時候我們做完手術之後
[00:03:30.500 --> 00:03:32.600]  (主席)都要做物理治療
[00:03:32.600 --> 00:03:35.600]  (主席)讓我們可以恢復我們手術之前
[00:03:35.600 --> 00:03:37.600]  (主席)失去了的身體功能
[00:03:37.600 --> 00:03:40.000]  (主席)我曾經做過肩膀的手術
[00:03:40.000 --> 00:03:41.600]  (主席)我們要做很多很長的時間
[00:03:41.600 --> 00:03:42.600]  (主席)做一個物理治療
[00:03:42.600 --> 00:03:45.600]  (主席)才能恢復以前肩膀的功能
[00:03:45.600 --> 00:03:46.500]  (主席)但是我想問大家
[00:03:46.500 --> 00:03:50.300]  (主席)如果你那段時間又懶又怕痛
