
[00:00:00.000 --> 00:00:02.000]  丙姐妹主乃平安
[00:00:02.000 --> 00:00:06.000]  彼此相愛
[00:00:06.000 --> 00:00:10.000]  絕對不是一個陌生的課題
[00:00:10.000 --> 00:00:12.000]  你一定記得
[00:00:12.000 --> 00:00:16.000]  耶穌在上十字架之前
[00:00:16.000 --> 00:00:20.000]  最後晚餐結束
[00:00:20.000 --> 00:00:22.000]  祂和十一個使徒講
[00:00:22.000 --> 00:00:24.000]  約翰福音十三章
[00:00:24.000 --> 00:00:27.000]  三十四、三十五節
[00:00:27.000 --> 00:00:28.000]  我相信我讀出來
[00:00:28.000 --> 00:00:30.000]  你都可以跟埋
[00:00:30.000 --> 00:00:31.000]  不用看
[00:00:31.000 --> 00:00:32.000]  大概都識得
[00:00:32.000 --> 00:00:35.000]  甩甩卡卡這樣背遠去吧
[00:00:35.000 --> 00:00:38.000]  我賜給你們一條新命令
[00:00:38.000 --> 00:00:39.000]  什麼話
[00:00:39.000 --> 00:00:43.000]  乃是叫你們彼此相愛
[00:00:43.000 --> 00:00:45.000]  我怎樣愛你們
[00:00:45.000 --> 00:00:48.000]  你們也要怎樣相愛
[00:00:48.000 --> 00:00:52.000]  你們若有彼此相愛的心
[00:00:52.000 --> 00:00:56.000]  衆人因此就認出
[00:00:56.000 --> 00:01:00.000]  你們是我的門徒了
[00:01:00.000 --> 00:01:03.000]  不愧爲贈信會的弟兄姊妹
[00:01:03.000 --> 00:01:10.000]  耶穌在這裏不是教導我們彼此相愛
[00:01:10.000 --> 00:01:13.000]  祂用的動詞
[00:01:13.000 --> 00:01:15.000]  或者名詞
[00:01:15.000 --> 00:01:17.000]  是命令
[00:01:17.000 --> 00:01:22.000]  耶穌是命令祂的門徒
[00:01:22.000 --> 00:01:26.000]  我又賜給你們一條新命令
[00:01:26.000 --> 00:01:30.000]  乃是叫你們彼此相愛
[00:01:30.000 --> 00:01:32.000]  什麼是命令
[00:01:32.000 --> 00:01:36.000]  家裏有沒有養過小狗
[00:01:36.000 --> 00:01:38.000]  要訓練的
[00:01:38.000 --> 00:01:40.000]  有幾個命令
[00:01:40.000 --> 00:01:41.000]  祂要懂得聽的
[00:01:41.000 --> 00:01:42.000]  Sit
[00:01:42.000 --> 00:01:44.000]  祂就坐在這裏
[00:01:44.000 --> 00:01:45.000]  Stay
[00:01:45.000 --> 00:01:47.000]  祂就不動了
[00:01:47.000 --> 00:01:49.000]  Heal
[00:01:49.000 --> 00:01:51.000]  跟着你走
[00:01:52.000 --> 00:01:53.000]  我認識一個朋友
[00:01:53.000 --> 00:01:54.000]  宣導會的牧師
[00:01:54.000 --> 00:01:56.000]  他的小狗還懂得兩個命令
[00:01:56.000 --> 00:01:58.000]  擺一個餅在前面
[00:01:58.000 --> 00:01:59.000]  Pray
[00:01:59.000 --> 00:02:02.000]  Amen
[00:02:02.000 --> 00:02:03.000]  這樣就懂了
[00:02:03.000 --> 00:02:06.000]  這是祂懂得做的
[00:02:06.000 --> 00:02:10.000]  你絕對不會拿一張紙
[00:02:10.000 --> 00:02:11.000]  拿一支筆
[00:02:11.000 --> 00:02:15.000]  然後命令你那隻好聽話的小狗
[00:02:15.000 --> 00:02:17.000]  寫字
[00:02:17.000 --> 00:02:19.000]  簽名
[00:02:19.000 --> 00:02:21.000]  祂做不到的
[00:02:21.000 --> 00:02:22.000]  命令
[00:02:22.000 --> 00:02:25.000]  如果是你做不到的
[00:02:25.000 --> 00:02:28.000]  那就沒有意思了
[00:02:28.000 --> 00:02:32.000]  所以命令是你做得到的
[00:02:32.000 --> 00:02:34.000]  那幾時需要命令你
[00:02:34.000 --> 00:02:37.000]  那是你不想做的時候
[00:02:37.000 --> 00:02:40.000]  是這樣的意思
[00:02:40.000 --> 00:02:43.000]  我賜給你們一條新命令
[00:02:43.000 --> 00:02:48.000]  乃是叫你們彼此相愛
[00:02:48.000 --> 00:02:51.000]  你懂得怎樣去愛的
[00:02:51.000 --> 00:02:53.000]  不過對着某一些人
[00:02:53.000 --> 00:02:56.000]  你不想去愛他
[00:02:56.000 --> 00:02:59.000]  你不喜歡去愛他
[00:02:59.000 --> 00:03:02.000]  那你都看過電視劇集
[00:03:02.000 --> 00:03:06.000]  那些紀律部隊上級
[00:03:06.000 --> 00:03:08.000]  跟他講最後那句
[00:03:08.000 --> 00:03:11.000]  殖民地遺留下來的傳統
[00:03:11.000 --> 00:03:12.000]  講英文的
[00:03:12.000 --> 00:03:13.000]  怎樣說
[00:03:13.000 --> 00:03:15.000]  This is an order
[00:03:17.000 --> 00:03:18.000]  那要怎樣回答
[00:03:18.000 --> 00:03:20.000]  Yes Sir
[00:03:20.000 --> 00:03:21.000]  不是了
[00:03:21.000 --> 00:03:22.000]  男女平等
[00:03:22.000 --> 00:03:23.000]  Yes Madam
[00:03:23.000 --> 00:03:25.000]  Yes Lord
[00:03:25.000 --> 00:03:27.000]  是嗎
[00:03:27.000 --> 00:03:29.000]  這個就是唯一的回應
[00:03:29.000 --> 00:03:31.000]  你不可以Yes But
[00:03:31.000 --> 00:03:34.000]  沒有討價還價的
[00:03:34.000 --> 00:03:36.000]  沒有理由好說的
[00:03:36.000 --> 00:03:38.000]  沒有商量的
[00:03:38.000 --> 00:03:42.000]  This is an order
[00:03:43.000 --> 00:03:47.000]  我賜給你們一條新命令
[00:03:47.000 --> 00:03:49.000]  彼此相愛
[00:03:49.000 --> 00:03:57.000]  是主給我們每一個跟隨他的人的命令
[00:03:57.000 --> 00:03:59.000]  不是溫馨提示
[00:03:59.000 --> 00:04:02.000]  如果牧師今天跟你講
[00:04:02.000 --> 00:04:03.000]  This is an order
[00:04:03.000 --> 00:04:05.000]  你走出去不理他了
[00:04:05.000 --> 00:04:06.000]  我們不習慣的
[00:04:06.000 --> 00:04:08.000]  我們很平等的
[00:04:08.000 --> 00:04:10.000]  所以現在教會都是
[00:04:10.000 --> 00:04:11.000]  溫馨提示你
[00:04:12.000 --> 00:04:14.000]  關掉手提電話
[00:04:14.000 --> 00:04:16.000]  不要睡覺
[00:04:16.000 --> 00:04:17.000]  不要喝那麼多水
[00:04:17.000 --> 00:04:18.000]  要去廁所
[00:04:18.000 --> 00:04:19.000]  很多提示
[00:04:19.000 --> 00:04:20.000]  不敢命令
[00:04:20.000 --> 00:04:22.000]  但主耶穌在這裏
[00:04:22.000 --> 00:04:24.000]  祂命令我們
[00:04:24.000 --> 00:04:30.000]  就是我們不想去愛的時候
[00:04:30.000 --> 00:04:32.000]  我們要記得
[00:04:32.000 --> 00:04:35.000]  彼此相愛
[00:04:35.000 --> 00:04:40.000]  是主吩咐的命令
[00:04:42.000 --> 00:04:43.000]  這句金句
[00:04:43.000 --> 00:04:45.000]  我們讀了很多次
[00:04:45.000 --> 00:04:47.000]  但我們總是
[00:04:47.000 --> 00:04:52.000]  漏了最重要
[00:04:52.000 --> 00:04:55.000]  那個關鍵的字眼
[00:04:55.000 --> 00:04:58.000]  耶穌怎麼說
[00:04:58.000 --> 00:05:04.000]  我賜給你們一條新命令
[00:05:04.000 --> 00:05:10.000]  有新就應該有舊的
[00:05:12.000 --> 00:05:14.000]  聖經有新約傳書
[00:05:14.000 --> 00:05:16.000]  那就是有舊約傳書
[00:05:16.000 --> 00:05:18.000]  你搬屋了
[00:05:18.000 --> 00:05:20.000]  新屋在哪裏
[00:05:20.000 --> 00:05:21.000]  那當然是舊屋
[00:05:21.000 --> 00:05:23.000]  過新年了
[00:05:23.000 --> 00:05:25.000]  舊事已過
[00:05:25.000 --> 00:05:27.000]  都變成新的了
[00:05:27.000 --> 00:05:29.000]  請問你知不知道
[00:05:29.000 --> 00:05:31.000]  彼此相愛
[00:05:31.000 --> 00:05:34.000]  舊的命令是什麼
[00:05:34.000 --> 00:05:37.000]  我們讀聖經
[00:05:37.000 --> 00:05:38.000]  從來都不是這樣讀的
[00:05:38.000 --> 00:05:40.000]  新命令就新命令
[00:05:42.000 --> 00:05:43.000]  沒有舊的命令
[00:05:43.000 --> 00:05:46.000]  何來有新的命令呢
[00:05:46.000 --> 00:05:48.000]  耶穌不會亂說的
[00:05:48.000 --> 00:05:50.000]  是記得的
[00:05:50.000 --> 00:05:53.000]  猶太人來問耶穌
