
[00:00:00.000 --> 00:00:03.280]  提犬姐妹 穆姐 平安
[00:00:03.280 --> 00:00:07.160]  很慶今天能夠跟大家一起分享神的說話
[00:00:07.160 --> 00:00:12.240]  感謝神有我們先一切的禱告
[00:00:12.240 --> 00:00:15.760]  親愛的天父 我們同心讚美感謝你
[00:00:15.760 --> 00:00:18.640]  你是那位慈愛 公義 守約
[00:00:18.640 --> 00:00:22.880]  以及行其事的萬主之主 萬王之王
[00:00:22.880 --> 00:00:25.600]  天父 我們的心裡面何等盼望
[00:00:25.600 --> 00:00:31.200]  向你的敬拜都能夠在你的心裡面滿足
[00:00:31.200 --> 00:00:35.360]  我們恭敬的將以下時間交托在你的手裡面
[00:00:35.360 --> 00:00:38.160]  求父你親自跟我們說話
[00:00:38.160 --> 00:00:44.320]  讓宣廣和寧靜的都能夠得到從你來的指引和教導
[00:00:44.320 --> 00:00:51.600]  我們禱告奉教主耶穌基督的名 阿們
[00:00:51.600 --> 00:00:54.720]  曾經有人這樣形容神的說話
[00:00:54.720 --> 00:00:57.920]  說神的話語是帶著能力
[00:00:57.920 --> 00:01:01.120]  當祂的說話被釋放的時候
[00:01:01.120 --> 00:01:06.640]  就好像從籠子裡釋放一隻勇猛有力的獅子
[00:01:06.640 --> 00:01:09.360]  必定有迴響
[00:01:09.360 --> 00:01:13.840]  今天我們看的經文是來到尼希米記第十章
[00:01:13.840 --> 00:01:18.320]  在前面的記載裡面看到尼希米帶著以色列人
[00:01:18.320 --> 00:01:24.640]  在神的恩待 神的帶領之下闖過了重重的難關
[00:01:24.640 --> 00:01:31.920]  用了五十二天將耶路撒冷城的城牆完全修復好
[00:01:31.920 --> 00:01:34.240]  我們也看到祂在修復城牆之後
[00:01:34.240 --> 00:01:37.520]  趁著吹角節的時候那個來臨
[00:01:37.520 --> 00:01:41.520]  請祭司以斯拉用摩西五經
[00:01:41.520 --> 00:01:45.360]  向神的指紋重新再去教導祂們
[00:01:45.360 --> 00:01:48.240]  祂們聽了之後非常責心
[00:01:48.240 --> 00:01:50.640]  然後過了贖罪日
[00:01:50.640 --> 00:01:53.920]  在駐棚節那七天裡面
[00:01:53.920 --> 00:01:59.040]  祂們這幫以色列人什麼都沒做
[00:01:59.040 --> 00:02:01.040]  只做一件事
[00:02:01.040 --> 00:02:02.880]  就像經文所說
[00:02:02.880 --> 00:02:05.280]  從頭一天直到末一天
