
[00:00:00.000 --> 00:00:03.600]  大姐妹早安 很開心來到大家當中
[00:00:03.600 --> 00:00:06.400]  我自己中學和大學時期
[00:00:06.400 --> 00:00:09.400]  就在西區這邊 自己的家在九龍
[00:00:09.400 --> 00:00:14.800]  這兩天就在金鐘搭23號 小時候的日子
[00:00:14.800 --> 00:00:16.400]  以前在京師讀書的時候
[00:00:16.400 --> 00:00:20.900]  經常搭23號 我找3號好像沒有了
[00:00:20.900 --> 00:00:23.000]  有一些小時候的感覺
[00:00:23.000 --> 00:00:24.800]  但是發覺自己頭髮都斑白了
[00:00:24.800 --> 00:00:26.600]  有時候有一個問法就是
[00:00:26.600 --> 00:00:29.000]  到某一年紀你還沒有夢想
[00:00:29.000 --> 00:00:31.000]  為主奮鬥的夢想
[00:00:31.000 --> 00:00:33.200]  今天中學主題的時候
[00:00:33.200 --> 00:00:35.800]  我們仍然有沒有一份敬虔
[00:00:35.800 --> 00:00:38.600]  一份相信福音 本是神的大臨
[00:00:38.600 --> 00:00:39.800]  我們雖然卑微
[00:00:39.800 --> 00:00:43.400]  但仍然堅持這份心 這份敬虔
[00:00:43.400 --> 00:00:46.600]  這份侍奉主 祝福國家的心
[00:00:46.600 --> 00:00:49.000]  希望是為中國去服侍
[00:00:49.000 --> 00:00:50.900]  今天選了一個經文
[00:00:50.900 --> 00:00:54.000]  《核心經文》在《師帖記》第6章13節
[00:00:54.000 --> 00:00:57.200]  其中講到今天主人翁沒抵改
[00:00:57.200 --> 00:01:00.400]  他的仇敵是哈曼
[00:01:00.400 --> 00:01:04.800]  哈曼以為很容易能夠殺死沒抵改
[00:01:04.800 --> 00:01:07.400]  殲滅整個猶大的民族
[00:01:07.400 --> 00:01:10.400]  但到後來很奇妙的事發生之後
[00:01:10.400 --> 00:01:13.800]  他的太太和他的家人就發覺
[00:01:13.800 --> 00:01:17.200]  原來不是那麼容易打敗一個神的子民
[00:01:17.200 --> 00:01:19.000]  因為神的子民裏面
[00:01:19.000 --> 00:01:22.200]  有莫大的能力是出於神
[00:01:22.200 --> 00:01:24.200]  我們生在這個世代裏面
[00:01:24.200 --> 00:01:26.600]  都是一個講實力的世代
[00:01:26.600 --> 00:01:29.400]  最近在G20國際會議裏面
[00:01:29.400 --> 00:01:31.600]  其中一幕很特別的事情就是
[00:01:31.600 --> 00:01:33.600]  俄羅斯的發言人說
[00:01:33.600 --> 00:01:36.400]  英國是一個小國 不用理他 沒人理他
[00:01:36.400 --> 00:01:39.200]  後來英國首相很生氣
[00:01:39.200 --> 00:01:41.600]  俄羅斯說我沒講過
[00:01:41.600 --> 00:01:44.800]  有時今天我和國內的人聊天
[00:01:44.800 --> 00:01:47.800]  可能說香港是一個小島 沒人理他
[00:01:47.800 --> 00:01:49.200]  世代改變裏面
[00:01:49.200 --> 00:01:52.400]  其實中國的國力變化很大
[00:01:52.400 --> 00:01:56.400]  我自己第一次回中國是1981年的時候
[00:01:56.400 --> 00:01:59.400]  剛剛入港大 暑假就回中國
[00:01:59.400 --> 00:02:02.400]  記得那時叫飯要糧票
[00:02:02.400 --> 00:02:06.400]  一碗飯要多少兩
[00:02:06.400 --> 00:02:08.400]  吃飯的時候咬下去有沙
[00:02:08.400 --> 00:02:10.600]  小心亂咬 會崩牙
[00:02:10.600 --> 00:02:14.200]  然後國內裏面有很多不同的故事
[00:02:14.200 --> 00:02:17.000]  後來在中國有很大的改變
[00:02:17.000 --> 00:02:20.800]  中國有很多的實力 很多的力量
[00:02:20.800 --> 00:02:22.800]  最近看見中國女排
[00:02:22.800 --> 00:02:25.000]  大家有沒有留意女排
[00:02:25.000 --> 00:02:28.600]  我讀大學的時候是中國女排很高峰的時期
[00:02:28.600 --> 00:02:31.400]  那時有五連冠 郎平的故事
[00:02:31.400 --> 00:02:34.800]  再看見郎平曾經做過美國國家隊的教練
[00:02:34.800 --> 00:02:37.600]  再重操中國女排的時候心裏很開心
[00:02:37.600 --> 00:02:40.800]  看見他連續贏19場球賽 真是厲害
[00:02:40.800 --> 00:02:42.800]  我自己寫篇文章說
[00:02:42.800 --> 00:02:46.400]  郎平作為教練的領袖學很多優點
[00:02:46.400 --> 00:02:48.400]  他又嚴厲又親民
[00:02:48.400 --> 00:02:51.800]  有時我們基督徒的領袖學也未必及他
[00:02:51.800 --> 00:02:54.800]  中國有很多的人才 很多的力量
[00:02:54.800 --> 00:02:57.400]  但中國有很多複雜的故事
[00:02:57.400 --> 00:02:59.000]  隨著中國崛起
[00:02:59.000 --> 00:03:02.400]  全世界都面對如何迎接這個崛起的中國
[00:03:02.400 --> 00:03:05.200]  記得兩年前我看了一篇新聞很有意思
[00:03:05.200 --> 00:03:10.200]  當時說到同一天美國有兩個新聞一起連起來
[00:03:10.200 --> 00:03:13.400]  美國說到美國喬治亞州
[00:03:13.400 --> 00:03:19.600]  每天為中國生產400萬的木筷子給中國
[00:03:19.600 --> 00:03:21.800]  但同一天的新聞就說
[00:03:21.800 --> 00:03:25.000]  三藩市蓋了一個超級大的橋
[00:03:25.000 --> 00:03:27.600]  但這個橋不是美國人自己做
[00:03:27.600 --> 00:03:30.200]  是上海做這個橋墩
[00:03:30.200 --> 00:03:34.400]  由上海遠道重陽運到三藩市
[00:03:34.400 --> 00:03:37.400]  當時美國人酸溜溜地說
[00:03:37.400 --> 00:03:42.000]  今天美國輪到我們為中國做筷子
[00:03:42.000 --> 00:03:44.800]  中國為我們做橋
[00:03:44.800 --> 00:03:47.600]  中國崛起是一個很複雜的題目
[00:03:47.600 --> 00:03:49.000]  很多感受
[00:03:49.000 --> 00:03:53.200]  它有強勢的一面 也有很多複雜敗壞的一面
[00:03:53.200 --> 00:03:57.000]  我記得兩三年前在世博的時候
[00:03:57.000 --> 00:03:59.000]  我們城鎮的時候
[00:03:59.000 --> 00:04:02.400]  有個醫生去世博看會場 很好大
[00:04:02.400 --> 00:04:04.800]  回來崇拜的時候跟我聊天
[00:04:04.800 --> 00:04:07.600]  牧師 我回來跟女兒說不用怕
[00:04:07.600 --> 00:04:09.600]  還有機會 什麼事
[00:04:09.600 --> 00:04:12.200]  我擔心下一代有沒有競爭力
[00:04:12.200 --> 00:04:14.000]  跟上海人怎麼爭
[00:04:14.000 --> 00:04:16.400]  去到的時候發現他們仍然很膽小
[00:04:16.400 --> 00:04:18.400]  小事經常漏
[00:04:18.400 --> 00:04:22.000]  因為這麼膽小我們還可以爭
[00:04:22.000 --> 00:04:24.000]  所以很複雜的感受
[00:04:24.000 --> 00:04:26.800]  很微妙的感覺
[00:04:26.800 --> 00:04:29.600]  中國人對中國國家的題目很複雜
[00:04:29.600 --> 00:04:32.400]  幾年前在國內有個調查叫
[00:04:32.400 --> 00:04:36.200]  來生是否願做中國人
[00:04:36.200 --> 00:04:39.800]  有三分之二說不想做中國人
[00:04:39.800 --> 00:04:41.800]  很複雜的感受
[00:04:41.800 --> 00:04:45.400]  我最近發覺香港面對佔中的題目
[00:04:45.400 --> 00:04:48.000]  在家裏 在教會裏吵架
[00:04:48.000 --> 00:04:51.200]  有些年長的部份想維穩
[00:04:51.200 --> 00:04:53.000]  年青人是佔中的
