
[00:00:00.000 --> 00:00:03.680]  今天和大家講的題目是「愛侶團圓」
[00:00:03.680 --> 00:00:06.200]  在耶穌基督的愛裡
[00:00:06.200 --> 00:00:08.400]  我們的家是可以團圓的
[00:00:08.400 --> 00:00:11.280]  選擇家庭來說
[00:00:11.280 --> 00:00:14.300]  因為家庭是一個最赤裸的地方
[00:00:14.300 --> 00:00:17.760]  你對其他人不會做的事
[00:00:17.760 --> 00:00:19.520]  你對家人會做
[00:00:19.520 --> 00:00:24.540]  所以你們沒有見過何牧師穿短褲,是嗎?
[00:00:24.540 --> 00:00:26.780]  我經常都會見到
[00:00:28.300 --> 00:00:30.600]  但正是因為它這麼赤裸
[00:00:30.600 --> 00:00:33.160]  又是最真面目的地方
[00:00:33.160 --> 00:00:35.640]  就變成最傷害的地方
[00:00:35.640 --> 00:00:38.120]  做了十多年家庭工作
[00:00:38.120 --> 00:00:39.740]  聽了很多故事
[00:00:39.740 --> 00:00:44.420]  有些人因為爸爸或媽媽一句說話
[00:00:44.420 --> 00:00:46.880]  從此不再回家
[00:00:46.880 --> 00:00:49.240]  不再理爸爸媽媽
[00:00:49.240 --> 00:00:51.880]  過年過節都決意不回去
[00:00:51.880 --> 00:00:54.700]  我又聽到有一位太太
[00:00:55.360 --> 00:00:58.820]  因為她丈夫做了一些對不起她的事
[00:00:58.820 --> 00:01:03.300]  她說「方圓三十里之外,不要讓我見到他」
[00:01:03.300 --> 00:01:04.700]  「見到他,他就死」
[00:01:04.700 --> 00:01:07.800]  但我真的不知道她怎樣算「方圓三十里」
[00:01:07.800 --> 00:01:09.960]  難道她要派警察去嗎?
[00:01:09.960 --> 00:01:15.200]  但今天和大家選擇的故事都是很複雜的
[00:01:15.200 --> 00:01:18.180]  她的家庭應該比我們的家庭複雜很多
[00:01:18.180 --> 00:01:19.680]  她的名字叫「若瑟」
[00:01:19.680 --> 00:01:24.120]  她的故事記載在《創世紀》37到50章
[00:01:24.120 --> 00:01:27.480]  是14章的聖經來講述這個複雜的故事
[00:01:27.480 --> 00:01:30.380]  我給大家看看她的家庭有多複雜
[00:01:30.380 --> 00:01:37.280]  首先,她的父親雅各有四個妻子
[00:01:37.280 --> 00:01:40.100]  兩個正,兩個妾侍
[00:01:40.100 --> 00:01:42.240]  生了12個兒子
[00:01:42.240 --> 00:01:44.580]  她還有女兒,不過以色列人算兒子
[00:01:44.580 --> 00:01:45.380]  所以是兒子
[00:01:45.380 --> 00:01:48.820]  簡單來說,七國這麼亂
[00:01:48.820 --> 00:01:50.860]  經常都叫做「六國大封上」
[00:01:50.860 --> 00:01:52.180]  很多郊外
[00:01:52.180 --> 00:01:53.340]  不過它的源起是甚麼呢?
[00:01:53.340 --> 00:01:54.160]  我給大家看看
[00:01:54.160 --> 00:01:56.820]  我們一起用啟認方式讀一下這些源起
[00:01:56.820 --> 00:01:58.220]  《創世紀》37章第二節
[00:01:58.220 --> 00:01:59.620]  「雅各的紀略如下
[00:01:59.620 --> 00:02:02.280]  若瑟十七歲與她哥哥們一同無恙
[00:02:02.280 --> 00:02:04.860]  她是個童子與她父親的妾
[00:02:04.860 --> 00:02:07.540]  披拉色帕的兒子們常在一處
[00:02:07.540 --> 00:02:11.400]  若瑟將她哥哥們的惡行報給她們的父親」
[00:02:22.140 --> 00:02:25.860]  「若瑟的哥哥們見父親愛若瑟過於愛她們
[00:02:25.860 --> 00:02:29.420]  就恨若瑟不與她說和睦的話」
[00:02:29.420 --> 00:02:38.420]  「若瑟生平故事」的劇本
[00:02:38.420 --> 00:02:41.220]  就由她爸爸的偏心開始
[00:02:41.220 --> 00:02:42.260]  每一課我都問
[00:02:42.260 --> 00:02:43.940]  我現在很坦白問大家
[00:02:43.940 --> 00:02:46.220]  爸爸、媽媽會不會偏心?
[00:02:46.220 --> 00:02:49.980]  你們這麼溫和
[00:02:50.820 --> 00:02:52.500]  昨天第一課是「會」
[00:02:52.500 --> 00:02:54.500]  每個人都說「會」
[00:02:54.500 --> 00:02:56.780]  爸爸、媽媽會偏心
[00:02:56.780 --> 00:02:59.740]  若瑟做了三件有問題的事
[00:02:59.740 --> 00:03:01.220]  第一
[00:03:01.220 --> 00:03:04.380]  她與爸爸報傳
[00:03:04.380 --> 00:03:06.380]  將哥哥的不好行為
[00:03:06.380 --> 00:03:09.620]  學是非告訴父親
[00:03:09.620 --> 00:03:10.140]  第二
[00:03:10.140 --> 00:03:11.420]  爸爸偏心
[00:03:11.420 --> 00:03:13.540]  特別做了一件彩衣給她
[00:03:13.540 --> 00:03:15.220]  可能對我們來說我們不太明白
[00:03:15.220 --> 00:03:17.740]  所以用現代的語言告訴你
[00:03:17.740 --> 00:03:19.380]  意思是
[00:03:19.380 --> 00:03:22.180]  她爸爸有十二個兒子
[00:03:22.180 --> 00:03:23.900]  最疼愛的就是若瑟
[00:03:23.900 --> 00:03:25.460]  其他十一個兒子
[00:03:25.460 --> 00:03:29.140]  通常去那間叫「佑丹奴」幫她買衣服
[00:03:29.140 --> 00:03:32.500]  你們知道什麼叫「佑丹奴」吧
[00:03:32.500 --> 00:03:34.420]  若瑟去那裡呢?
[00:03:34.420 --> 00:03:38.700]  若瑟去那間叫「阿媽店」
[00:03:38.700 --> 00:03:42.500]  你們明白了吧?
[00:03:42.500 --> 00:03:45.660]  爸爸就在偏心的地方出面
[00:03:45.660 --> 00:03:47.700]  這個兒子最漂亮的衣服給她穿
[00:03:47.700 --> 00:03:50.180]  那些叫「佑丹奴」
[00:03:50.180 --> 00:03:51.740]  第三
[00:03:51.740 --> 00:03:53.660]  她作了一個夢告訴她哥哥
[00:03:53.660 --> 00:03:56.100]  哥哥們就越發恨她
[00:03:56.100 --> 00:03:57.100]  她做了什麼夢呢?
[00:03:57.100 --> 00:03:58.100]  兩個夢很簡單
[00:03:58.100 --> 00:03:58.740]  第一
[00:03:58.740 --> 00:04:02.940]  哥哥捆的和菌向她捆的下敗
[00:04:02.940 --> 00:04:03.700]  第二
[00:04:03.700 --> 00:04:06.780]  她夢見太陽、月亮和十一個星星
[00:04:06.780 --> 00:04:08.300]  都是向她下敗
[00:04:08.300 --> 00:04:09.140]  說真的
[00:04:09.140 --> 00:04:09.940]  若瑟
[00:04:09.940 --> 00:04:12.260]  你做夢就做夢吧
[00:04:12.260 --> 00:04:13.820]  用不著告訴別人
[00:04:13.820 --> 00:04:15.820]  還要告訴爸爸
[00:04:15.820 --> 00:04:21.260]  還要告訴哥哥這些叫「曬冷」
[00:04:21.260 --> 00:04:22.740]  她又曬冷
[00:04:22.740 --> 00:04:24.180]  她又保存
[00:04:24.180 --> 00:04:28.140]  於是她的生平就有很多起伏
[00:04:28.140 --> 00:04:30.660]  為了讓大家速讀若瑟的生平
[00:04:30.660 --> 00:04:33.260]  我做了一個「若瑟生平事件簿」
[00:04:33.260 --> 00:04:34.500]  就以箭咀
