
[00:00:00.000 --> 00:00:07.000]  李先生姐妹朋友們早安,很高興能夠有機會再跟各位來分享信息。
[00:00:07.000 --> 00:00:19.000]  上個禮拜我們的富慧型姐妹她分享了希望建議的信息,也是用了同樣一篇新聞,撒加利亞書十二章九節。
[00:00:19.000 --> 00:00:31.000]  她是說,你們是prisoner of hope,但是你們轉回,神就要賜福給你們,神就要保守你們,神就要帶領你們,我們。
[00:00:31.000 --> 00:00:53.000]  她的信息我們多人多友領受,為我今天的信息打了個底,所以我就可以繼續的往下,再來申訴神祂的偉大奇妙,申訴祂為我們所準備的祂的讚美神。
[00:00:53.000 --> 00:01:11.000]  當地主打個阿爸破我們,感謝你,我們讚美你。哦,是,我們要做被求而有指望的人,只要我們轉回往上,神說,我今日說給你聽,我必加倍賜福給你。
[00:01:11.000 --> 00:01:31.000]  是的,謝謝你今天與我們同在,願你的聖靈在我們周邊自由運行,讓我們講的聽的都同德照舊,我這樣禱告是奉主耶穌基督的名。
[00:01:31.000 --> 00:01:55.000]  在這裡呢,在保羅的書信裡面,保羅他常常自稱自己是為福音被求的人,保羅傳福音常常被人打被人捉,還被人石頭打,差點把他打死了,還被鞭打,最後他還被抓還受審受判,最後他被砍頭。
[00:01:55.000 --> 00:02:08.000]  但是保羅他就常常在書信上面說,我保羅為傳福音被求,奉主耶穌基督的名勸你們。
[00:02:08.000 --> 00:02:26.000]  所以保羅是一個傳福音被求的人,在撒加利亞書他是說,有指望,被求而有指望的人,我們不要以為說被求就沒指望了,上禮拜傅姐妹講得非常好。
[00:02:26.000 --> 00:02:46.000]  她說你如果被關在一個監牢裡面,你所面對的是勞頭欲卒,你所面對的是許多欲有奸有,許多的犯罪的人關在裡面,或者是許多的苦難等等。
[00:02:46.000 --> 00:03:03.000]  但是她說如果這個監牢是希望的監牢,你天花板也是到處都是,你哪裡都不能去,只能待在那個希望裡面,那將是多麼的美好。
[00:03:03.000 --> 00:03:21.000]  我也就是想說,我們領受了神那麼一點點的恩典,好像他給了我們一顆小鑽石,我們好高興,好像我們口好乾渴,他給了我們一滴水,我們好甘心。
[00:03:21.000 --> 00:03:45.000]  但是您知道嗎?神的本意,他是要帶我們到鑽石礦裡面去,不只是那一顆小鑽石,他要帶我們到鑽石礦裡面去,我們可以隨地的拾取,不只是那一滴水滴到我們舌頭上面讓我們解渴,他要帶我們到恩典的大海裡面去,任意的拋油。
[00:03:45.000 --> 00:04:01.000]  我以前是海軍,所以有的時候會護航運補船到南沙群島、太平島、中葉島等去,到烏丘、東沙、西沙、南沙。
[00:04:01.000 --> 00:04:12.000]  因為我是護衛艦,所以有的時候開船開了一個月,一個早上都不能洗,每天就發一杯水。
[00:04:12.000 --> 00:04:27.000]  所以終於我們到了南沙群島、太平島那附近的時候,下了毛,接上了運補船的時候,淡水也來了,船上的官兵也把他們的好吃的魚蝦蟹拿給我們,請我們吃。
[00:04:27.000 --> 00:04:47.000]  哦,好棒哦,他們跳到海水裡面去游泳,游完了之後再來洗個澡,哎呀,太棒了,我們恩典的大海就像這個樣子,你不會游泳不用怕,你絕對不會淹澡。
[00:04:47.000 --> 00:05:02.000]  哦,戰士炮也是一樣,隨地升起,你說你腰彎不下去,沒有關係,他就在桌面上面,他就在眼睛前面,誰一手就拿,他那個樣子。
