
[00:00:00.000 --> 00:00:02.880]  中國人的農曆新年快要到來
[00:00:02.880 --> 00:00:05.800]  我們說一年快要結束
[00:00:05.800 --> 00:00:07.440]  新的一年又開始
[00:00:07.440 --> 00:00:11.320]  過去一年我們的生活是怎樣的呢?
[00:00:11.320 --> 00:00:13.720]  我們行事為人是怎樣的呢?
[00:00:13.720 --> 00:00:17.920]  我相信在這個時候是要檢討了
[00:00:17.920 --> 00:00:21.680]  我們說檢討的時候就是要看成績
[00:00:21.680 --> 00:00:26.600]  看成績我們說就是因為我們面對考驗
[00:00:26.600 --> 00:00:28.600]  面對考試
[00:00:29.800 --> 00:00:31.880]  香港人特別是有經驗的
[00:00:31.880 --> 00:00:34.360]  因為在學齡的階段
[00:00:34.360 --> 00:00:37.040]  我們要考入學試
[00:00:37.040 --> 00:00:38.800]  要考中期試
[00:00:38.800 --> 00:00:40.520]  要考升級試
[00:00:40.520 --> 00:00:42.040]  我們工作的時候
[00:00:42.040 --> 00:00:44.320]  我們就說要考成績
[00:00:44.320 --> 00:00:45.480]  看業績
[00:00:45.480 --> 00:00:47.200]  在那個時候
[00:00:47.200 --> 00:00:50.400]  我們又驚訝地
[00:00:50.400 --> 00:00:54.320]  聽到一個新的詞彙
[00:00:54.320 --> 00:00:55.400]  或者新的形容就是
[00:00:55.400 --> 00:00:57.400]  我們香港人是志無不勝的
[00:00:57.400 --> 00:00:59.200]  是不是這樣
[00:01:00.800 --> 00:01:02.560]  電視機是這樣說的
[00:01:02.560 --> 00:01:04.120]  香港人志無不勝
[00:01:04.120 --> 00:01:06.800]  我們是否認同這個說話
[00:01:06.800 --> 00:01:09.600]  你是不是長勝將軍
[00:01:09.600 --> 00:01:11.600]  一定會通過考驗
[00:01:11.600 --> 00:01:14.280]  還是屢敗屢戰呢
[00:01:14.280 --> 00:01:16.760]  我們不知道
[00:01:16.760 --> 00:01:21.880]  但是在生命裡面我們有不同的考驗
[00:01:21.880 --> 00:01:24.840]  今天和大家分享的主題就是
[00:01:24.840 --> 00:01:28.120]  阿伯拉罕面對新而重大的考驗
[00:01:28.720 --> 00:01:32.120]  阿伯拉罕這個考驗是和他兒子一起經歷的
[00:01:32.120 --> 00:01:33.880]  他兒子以薩
[00:01:33.880 --> 00:01:38.160]  和他一起經歷這個新而重大的考驗
[00:01:38.160 --> 00:01:39.480]  究竟是什麼考驗呢
[00:01:39.480 --> 00:01:41.880]  我們就讀出一段經文
[00:01:41.880 --> 00:01:45.960]  記載在《創世紀》二十二章一至十四節
[00:01:45.960 --> 00:01:48.360]  我們用啟認的方式來讀
[00:01:48.360 --> 00:01:50.280]  請弟兄讀單數
[00:01:50.280 --> 00:01:51.480]  姐妹讀雙數
[00:01:51.480 --> 00:01:52.600]  弟兄請
[00:01:53.120 --> 00:01:58.720]  這時以後神要試驗阿伯拉罕就呼叫他說
[00:01:58.720 --> 00:02:01.960]  阿伯拉罕他說我在這裡
[00:02:01.960 --> 00:02:04.920]  神說你帶著你的兒子
[00:02:04.920 --> 00:02:06.920]  就是你獨身的兒子
[00:02:06.920 --> 00:02:08.920]  你所愛的薩
[00:02:08.920 --> 00:02:10.920]  我愛的阿伯拉罕
[00:02:10.920 --> 00:02:13.560]  在我所有自己的家庭上
[00:02:13.560 --> 00:02:15.720]  阿伯拉罕已經是我的兒子
[00:02:15.720 --> 00:02:18.120]  阿伯拉罕清早起來
[00:02:18.120 --> 00:02:22.560]  被上路帶著兩個僕人和他兒子以薩
[00:02:22.560 --> 00:02:25.040]  也劈好了繁祭的柴
[00:02:25.040 --> 00:02:29.320]  就起身往神所指示他的地方去了
[00:02:29.320 --> 00:02:31.320]  在我所有自己的家庭上
[00:02:31.320 --> 00:02:36.320]  阿伯拉罕對僕人說
[00:02:36.320 --> 00:02:39.320]  阿伯拉罕對他的僕人說
[00:02:39.320 --> 00:02:41.920]  你們無路在此等候
[00:02:41.920 --> 00:02:44.920]  我與童子往那裡去拜一拜
[00:02:44.920 --> 00:02:47.320]  就回到你們這裡來
[00:02:47.320 --> 00:02:49.920]  阿伯拉罕把繁祭的柴
[00:02:49.920 --> 00:02:52.720]  放在他兒子阿伯拉罕身上
[00:02:52.720 --> 00:02:55.320]  自己的兒子拿著火與柴
[00:02:55.320 --> 00:02:57.920]  與自己的人同行
[00:02:57.920 --> 00:03:00.920]  以薩對他父親阿伯拉罕說
[00:03:00.920 --> 00:03:03.120]  父親阿伯拉罕說
[00:03:03.120 --> 00:03:05.320]  我兒我在這裡
[00:03:05.320 --> 00:03:07.120]  以薩說請看
[00:03:07.120 --> 00:03:08.920]  火與柴都有了
[00:03:08.920 --> 00:03:11.920]  但繁祭的羊羔在哪裡呢?
[00:03:11.920 --> 00:03:13.520]  阿伯拉罕說
[00:03:13.520 --> 00:03:15.920]  我兒子把自己的兒子
[00:03:15.920 --> 00:03:17.720]  拿著繁祭的羊羔
[00:03:17.720 --> 00:03:19.720]  與自己的人同行
[00:03:19.720 --> 00:03:22.720]  他們到了神所指示的地方
[00:03:22.720 --> 00:03:25.120]  阿伯拉罕在那裡築壇
[00:03:25.120 --> 00:03:26.920]  把柴擺好
[00:03:26.920 --> 00:03:28.920]  捆綁他的兒子以薩
[00:03:28.920 --> 00:03:31.920]  放在壇的柴上
[00:03:31.920 --> 00:03:34.720]  阿伯拉罕就伸手向僕
[00:03:34.720 --> 00:03:36.720]  以薩他的兒子
[00:03:36.720 --> 00:03:40.120]  耶和華的使者從天上呼叫他說
[00:03:40.120 --> 00:03:42.120]  阿伯拉罕阿伯拉罕
[00:03:42.120 --> 00:03:44.520]  他說我在這裡
[00:03:44.520 --> 00:03:50.720]  以薩我兒子與自己的人同行
[00:03:50.720 --> 00:03:53.720]  以薩我兒子的兒子
[00:03:53.720 --> 00:04:00.720]  與自己的人同行
[00:04:00.720 --> 00:04:02.920]  阿伯拉罕舉目觀看
[00:04:02.920 --> 00:04:04.920]  不料有一隻公羊
[00:04:04.920 --> 00:04:08.120]  兩角扣在稠密的小樹中
[00:04:08.120 --> 00:04:11.120]  阿伯拉罕就取了那隻公羊來
[00:04:11.120 --> 00:04:12.720]  獻為繁祭
[00:04:12.720 --> 00:04:14.720]  代替他的兒子
[00:04:14.720 --> 00:04:26.320]  當我們讀完經文的時候
[00:04:26.320 --> 00:04:28.120]  我們知道一開始
[00:04:28.120 --> 00:04:29.720]  一開始就講明了
[00:04:29.720 --> 00:04:31.720]  這個是一個試驗
[00:04:31.720 --> 00:04:33.520]  是一個試驗
[00:04:33.520 --> 00:04:34.320]  試驗什麼呢?
[00:04:34.320 --> 00:04:37.520]  試驗阿伯拉罕是否敬畏神
[00:04:37.520 --> 00:04:38.920]  最後又怎樣呢?
[00:04:38.920 --> 00:04:40.320]  最後呢
[00:04:40.320 --> 00:04:43.720]  神的使者很清楚的說
[00:04:43.720 --> 00:04:44.720]  的而且確
[00:04:44.720 --> 00:04:47.520]  阿伯拉罕是敬畏神的
[00:04:47.520 --> 00:04:49.120]  換句話說
[00:04:49.120 --> 00:04:50.520]  他拿到多少分呢?
[00:04:50.520 --> 00:04:51.720]  這個考驗
[00:04:51.720 --> 00:04:53.520]  拿到多少分呢?
[00:04:53.520 --> 00:04:55.120]  100分
[00:04:55.120 --> 00:04:56.720]  100分就是滿分了
[00:04:56.720 --> 00:04:57.520]  我們謙虛一點
[00:04:57.520 --> 00:04:59.320]  有些人說99分
[00:04:59.320 --> 00:05:00.720]  95至99分
[00:05:00.720 --> 00:05:02.720]  因為有進步空間
[00:05:02.720 --> 00:05:04.720]  當然我們的判斷
[00:05:04.720 --> 00:05:06.720]  在這一刻我們的判斷
[00:05:06.720 --> 00:05:10.520]  在聖經裡面的判斷是怎樣的呢?
[00:05:10.520 --> 00:05:12.520]  聖經的判斷是這樣的
[00:05:12.520 --> 00:05:16.120]  希伯來書第17章17至19節
[00:05:16.120 --> 00:05:17.320]  經文這樣講
[00:05:37.720 --> 00:05:40.720]  他也彷彿從死中得回他的兒子來
[00:05:40.720 --> 00:05:43.720]  我們看到
[00:05:43.720 --> 00:05:46.120]  實至名歸
[00:05:46.120 --> 00:05:50.120]  阿伯拉罕被稱為多國之父
[00:05:50.120 --> 00:05:53.120]  我們給他的稱號就是信心之父
[00:05:53.120 --> 00:05:56.120]  在聖經裡面也是去判斷
[00:05:56.120 --> 00:05:58.120]  阿伯拉罕因著信
[00:05:58.120 --> 00:06:00.120]  在試驗的時候
[00:06:00.120 --> 00:06:02.120]  他得到成功
[00:06:02.120 --> 00:06:05.120]  他的考驗能夠通過
[00:06:05.120 --> 00:06:08.120]  我們說通過考驗真的好
[00:06:08.120 --> 00:06:12.120]  我們說為什麼要考驗呢?
[00:06:12.120 --> 00:06:14.120]  一再要面對考驗呢?
[00:06:14.120 --> 00:06:16.120]  其實阿伯拉罕的生平
[00:06:16.120 --> 00:06:18.120]  他也遭遇了不同的事情
[00:06:18.120 --> 00:06:19.120]  大大小小
[00:06:19.120 --> 00:06:22.120]  不同的事情
[00:06:22.120 --> 00:06:26.120]  為什麼還要來面對考驗呢?
[00:06:26.120 --> 00:06:28.120]  兩個原因而已
[00:06:28.120 --> 00:06:29.120]  第一個原因就是
[00:06:29.120 --> 00:06:31.120]  不合格就要再考
[00:06:33.120 --> 00:06:35.120]  第二個原因
[00:06:35.120 --> 00:06:37.120]  就是要更上一層樓
[00:06:37.120 --> 00:06:40.120]  面對新而重大的考驗
[00:06:40.120 --> 00:06:42.120]  是更上一層樓
[00:06:42.120 --> 00:06:44.120]  來去試驗
[00:06:44.120 --> 00:06:46.120]  他對神是不是真的敬畏呢?
[00:06:46.120 --> 00:06:52.120]  阿伯拉罕的成績表
[00:06:52.120 --> 00:06:54.120]  剛剛我們讀完經文的成績表
[00:06:54.120 --> 00:06:56.120]  大家都說100分
[00:06:56.120 --> 00:06:59.120]  但我們看回他的成績表的時候
[00:06:59.120 --> 00:07:03.120]  其實不是單單看《創世紀》22章
[00:07:03.120 --> 00:07:06.120]  是在《創世紀》12章開始
[00:07:06.120 --> 00:07:10.120]  直至到22章、23章之後
[00:07:10.120 --> 00:07:13.120]  我們看到阿伯拉罕
[00:07:13.120 --> 00:07:16.120]  在他的生平裡
[00:07:16.120 --> 00:07:18.120]  他蒙神呼召
[00:07:18.120 --> 00:07:22.120]  踏上一個生命成長之旅
[00:07:22.120 --> 00:07:24.120]  這個屬靈生命成長之旅
[00:07:24.120 --> 00:07:27.120]  考驗是少不了的
[00:07:27.120 --> 00:07:29.120]  有什麼呢?
[00:07:29.120 --> 00:07:30.120]  有時很嚴峻的
[00:07:30.120 --> 00:07:32.120]  有時很輕鬆
[00:07:32.120 --> 00:07:34.120]  有時就是前途未卜
[00:07:34.120 --> 00:07:36.120]  有時就是自由選擇
[00:07:36.120 --> 00:07:38.120]  有時就是成功
[00:07:38.120 --> 00:07:41.120]  有時就是慘痛失敗
[00:07:41.120 --> 00:07:44.120]  這就是他的經歷
[00:07:44.120 --> 00:07:47.120]  從《創世紀》12章開始
[00:07:47.120 --> 00:07:53.120]  呼召阿伯拉罕要離開本地
[00:07:53.120 --> 00:07:55.120]  本族父家
[00:07:55.120 --> 00:07:57.120]  要去到神所應去的地方
[00:07:57.120 --> 00:08:03.120]  今天的巴勒斯坦的地方
[00:08:03.120 --> 00:08:05.120]  這是他的歷程
[00:08:05.120 --> 00:08:10.120]  而阿伯拉罕整個人生
[00:08:10.120 --> 00:08:13.120]  就是在這幅地圖裡我們看到的
[00:08:13.120 --> 00:08:16.120]  從昔日的迦勒底的梧椅
[00:08:16.120 --> 00:08:19.120]  直到今天的以色列地
[00:08:19.120 --> 00:08:21.120]  以及埃及地
[00:08:21.120 --> 00:08:24.120]  那條紅線我們很清楚看到
[00:08:25.120 --> 00:08:27.120]  經歷多少年呢?
[00:08:27.120 --> 00:08:31.120]  他75歲離開迦勒底的梧椅
[00:08:31.120 --> 00:08:33.120]  直到他生以色列
[00:08:33.120 --> 00:08:35.120]  是100歲
[00:08:35.120 --> 00:08:38.120]  然後獻以色列的時候
[00:08:38.120 --> 00:08:40.120]  是100多歲
[00:08:40.120 --> 00:08:42.120]  換句話說
[00:08:42.120 --> 00:08:44.120]  就是差不多50年
[00:08:44.120 --> 00:08:46.120]  50多年的時間
[00:08:46.120 --> 00:08:49.120]  跟我們九龍城鎮信會
[00:08:49.120 --> 00:08:52.120]  在這裡建立206號的堂節
[00:08:52.120 --> 00:08:53.120]  差不多時間
[00:08:53.120 --> 00:08:55.120]  但是我們說他的經歷
[00:08:55.120 --> 00:08:57.120]  就是很重大的
[00:08:57.120 --> 00:08:59.120]  因為他要決定
[00:08:59.120 --> 00:09:03.120]  踏上生命成長之旅
[00:09:03.120 --> 00:09:05.120]  面對的是什麼呢?
[00:09:05.120 --> 00:09:06.120]  面對生命的挑戰
[00:09:06.120 --> 00:09:09.120]  他要學習敬拜獨一的真神
[00:09:09.120 --> 00:09:11.120]  他要來到去親近神
[00:09:11.120 --> 00:09:13.120]  來到去告訴別人
[00:09:13.120 --> 00:09:16.120]  他敬拜的是耶和華神
[00:09:16.120 --> 00:09:18.120]  勇氣可嘉的
[00:09:18.120 --> 00:09:20.120]  也是他生命的見證
[00:09:20.120 --> 00:09:23.120]  但有時也是很軟弱的
[00:09:23.120 --> 00:09:25.120]  去到希伯倫的時候
[00:09:25.120 --> 00:09:27.120]  他不知驚不覺
[00:09:27.120 --> 00:09:28.120]  因為那裡糧食少
