
[00:00:00.000 --> 00:00:03.600]  這次我們開始這個新的系列
[00:00:03.600 --> 00:00:07.380]  我們希望讓我們不單去學習一下
[00:00:07.380 --> 00:00:10.920]  如何用聖經的教導去教導我們下一代
[00:00:10.920 --> 00:00:13.440]  更加讓我們看到我們做父母的
[00:00:13.440 --> 00:00:19.080]  或者是我們去幫助下一代去認識上帝的時候
[00:00:19.080 --> 00:00:23.060]  我們應該有些什麼基礎需要去建造呢?
[00:00:23.060 --> 00:00:24.460]  接下來有幾講呢?
[00:00:24.460 --> 00:00:27.040]  包括潘牧師、趙牧師
[00:00:27.040 --> 00:00:29.600]  我們都會去看看一些方法
[00:00:29.600 --> 00:00:31.540]  或者是一些聖經裡面的人物
[00:00:31.540 --> 00:00:33.840]  他們如何教導下一代呢?
[00:00:33.840 --> 00:00:37.280]  但是今天我們來看看基本上的一些原則
[00:00:37.280 --> 00:00:40.880]  去看看我們做父母
[00:00:40.880 --> 00:00:43.640]  我們如何去教養下一代呢?
[00:00:43.640 --> 00:00:46.680]  不過先講這個題目
[00:00:46.680 --> 00:00:48.980]  我們首先看看兩件
[00:00:48.980 --> 00:00:52.860]  都是在近期這幾個禮拜裡面
[00:00:52.860 --> 00:00:58.100]  判了案或者繼續在法庭上
[00:00:58.100 --> 00:01:00.640]  正在辯論的一些案件
[00:01:00.640 --> 00:01:01.740]  第一件案件
[00:01:01.740 --> 00:01:06.780]  都是舉國或者甚至國際上
[00:01:06.780 --> 00:01:12.320]  都是轟動一時的案件
[00:01:12.320 --> 00:01:15.440]  就是上兩個禮拜判刑的
[00:01:15.440 --> 00:01:18.480]  我想大家都聽過這單案件
[00:01:18.480 --> 00:01:19.560]  這兩個人
[00:01:19.560 --> 00:01:20.960]  一個叫David
[00:01:20.960 --> 00:01:24.320]  另一個叫Louis Turpin
[00:01:24.320 --> 00:01:28.060]  一個恐怖的屋的案件
[00:01:28.060 --> 00:01:29.360]  發生在加州
[00:01:29.360 --> 00:01:31.100]  這對夫婦
[00:01:31.100 --> 00:01:38.300]  他們將他12個下一代的孩子
[00:01:38.300 --> 00:01:39.900]  關進了一間屋裡面
[00:01:39.900 --> 00:01:42.280]  基本上不讓他們出街
[00:01:42.280 --> 00:01:47.740]  他們用的方式甚至是打他們
