
[00:00:00.000 --> 00:00:04.000]  今天在復活節裏跟大家思想一個題目
[00:00:04.000 --> 00:00:08.000]  叫做寶貝放在瓦器裏
[00:00:08.000 --> 00:00:14.000]  保羅在侍奉裏面經歷很多不同的挑戰和考驗
[00:00:14.000 --> 00:00:16.000]  在那麼多教會裏面
[00:00:16.000 --> 00:00:20.000]  他見到教會有眾多不同的問題
[00:00:20.000 --> 00:00:23.000]  人很多時候強調知識
[00:00:23.000 --> 00:00:26.000]  強調他們所了解的真理
[00:00:26.000 --> 00:00:29.000]  但他們中間教會裏面很多的紛爭
[00:00:29.000 --> 00:00:33.000]  很多的不道德的事情來出現
[00:00:33.000 --> 00:00:36.000]  所以保羅用了很長的書信
[00:00:36.000 --> 00:00:42.000]  來表達出對那麼多教會的關心和建立
[00:00:42.000 --> 00:00:44.000]  在那麼多前書裏面
[00:00:44.000 --> 00:00:46.000]  用了最長的篇幅
[00:00:46.000 --> 00:00:49.000]  在那麼多前書第十五章
[00:00:49.000 --> 00:00:53.000]  是講到關於耶穌基督復活的真理
[00:00:53.000 --> 00:00:55.000]  如果耶穌沒有復活的時候
[00:00:55.000 --> 00:00:59.000]  保羅的結論就是我們徒然相信
[00:00:59.000 --> 00:01:01.000]  如果耶穌基督復活了的時候
[00:01:01.000 --> 00:01:04.000]  我們就可以堅固不搖動
[00:01:04.000 --> 00:01:08.000]  常常竭力多作主攻
[00:01:08.000 --> 00:01:09.000]  所以每一次
[00:01:09.000 --> 00:01:10.000]  當每年佈置的時候
[00:01:10.000 --> 00:01:17.000]  都做一次來檢視我們對耶穌基督的復活認識有多少
[00:01:17.000 --> 00:01:19.000]  特別在我們侍奉裏面
[00:01:19.000 --> 00:01:24.000]  我們覺得我們有一種很不搖動的感覺
[00:01:24.000 --> 00:01:28.000]  或是我們承擔著很多的重擔
[00:01:28.000 --> 00:01:31.000]  很想放下主的工作
[00:01:31.000 --> 00:01:34.000]  如果這個感覺是真實的話
[00:01:34.000 --> 00:01:38.000]  我相信我們要再一次來認識
[00:01:38.000 --> 00:01:41.000]  復活的意義在哪裡
[00:01:41.000 --> 00:01:45.000]  我們怎樣可以帶著耶穌基督復活的大能
[00:01:45.000 --> 00:01:48.000]  能夠可以去侍奉主
[00:01:48.000 --> 00:01:50.000]  或者我們要再一次來看看
[00:01:50.000 --> 00:01:57.000]  前書第十五章裏面保羅對復活真理的展示
[00:01:57.000 --> 00:02:00.000]  我現在很想和大家用另一個角度來看
[00:02:00.000 --> 00:02:05.000]  一方面我們看見死不能夠將我們核製
[00:02:05.000 --> 00:02:09.000]  死不能夠將我們的生命破壞
[00:02:09.000 --> 00:02:10.000]  耶穌基督告訴我們
[00:02:10.000 --> 00:02:14.000]  他雖然死在十字架上
[00:02:14.000 --> 00:02:18.000]  但是死亡沒有將他驅趕
[00:02:18.000 --> 00:02:25.000]  復活就是提醒我們可以靠著耶穌基督來得勝
[00:02:25.000 --> 00:02:28.000]  所以回到剛才一章的影片裏面
[00:02:28.000 --> 00:02:30.000]  就是耶穌復活了
[00:02:30.000 --> 00:02:38.000]  這個是我們基督徒常常帶著的一種歡欣的真理
[00:02:38.000 --> 00:02:40.000]  耶穌真的復活了
[00:02:40.000 --> 00:02:42.000]  在馬丁路德改革
[00:02:42.000 --> 00:02:44.000]  到了一個很艱鉅的時間
[00:02:44.000 --> 00:02:48.000]  他有一個很大的重擔 心裏面有很多的愁苦
[00:02:48.000 --> 00:02:50.000]  他太太看著他的時候
[00:02:50.000 --> 00:02:53.000]  都覺得不知道用什麼話來幫助他
[00:02:53.000 --> 00:02:56.000]  有一天他太太穿了一件黑色的袍
[00:02:56.000 --> 00:02:59.000]  馬丁路德就問他
[00:02:59.000 --> 00:03:01.000]  誰死了
[00:03:01.000 --> 00:03:05.000]  他太太說 耶穌基督死了
[00:03:05.000 --> 00:03:08.000]  馬丁路德馬上醒過來
[00:03:08.000 --> 00:03:12.000]  我信的耶穌基督是一位死了的耶穌
[00:03:12.000 --> 00:03:15.000]  還是一位復活的耶穌
[00:03:15.000 --> 00:03:18.000]  所以當我們知道耶穌基督復活的時候
[00:03:18.000 --> 00:03:19.000]  就好像保羅提醒我們
[00:03:19.000 --> 00:03:23.000]  可以來到去絕力多作主的功
[00:03:23.000 --> 00:03:26.000]  常常絕力多作主的功
[00:03:26.000 --> 00:03:31.000]  其實就是復活帶來的一種侍奉的動力
[00:03:31.000 --> 00:03:35.000]  所以我們常常要在耶穌基督復活
[00:03:35.000 --> 00:03:38.000]  這個真理上面有反思
[00:03:38.000 --> 00:03:42.000]  怎樣能夠明白到耶穌基督已經復活了
[00:03:42.000 --> 00:03:45.000]  所以我們能夠可以不動搖
[00:03:45.000 --> 00:03:46.000]  得到堅固
[00:03:46.000 --> 00:03:52.000]  上上的決力來做主自己的工作
[00:03:52.000 --> 00:03:54.000]  所以跟著兩章的影片
[00:03:54.000 --> 00:03:59.000]  就是我們提醒保羅在十五章裏面所提的部分
[00:03:59.000 --> 00:04:02.000]  我們怎樣能夠可以靠著主得正死亡
[00:04:02.000 --> 00:04:05.000]  亦都能夠靠著主我們能夠可以多作主功
[00:04:05.000 --> 00:04:09.000]  因為我們的奴婦不是徒然的
[00:04:09.000 --> 00:04:13.000]  今日我想和大家來到去從哥倫多後書裏面
[00:04:13.000 --> 00:04:16.000]  跳到去哥倫多後書當中
[00:04:16.000 --> 00:04:19.000]  保羅原來不單止在哥倫多前書
[00:04:19.000 --> 00:04:24.000]  用了很長的篇幅來講到復活的真理
[00:04:24.000 --> 00:04:28.000]  更加用哥倫多後書裏面再一次去強調
[00:04:28.000 --> 00:04:34.000]  耶穌基督復活帶來給他不一樣的侍奉的動力
[00:04:34.000 --> 00:04:38.000]  保羅自己侍奉的秘訣在哪裏
[00:04:38.000 --> 00:04:41.000]  在哥倫多後書第四章裏面
[00:04:41.000 --> 00:04:47.000]  就是表達出他這份侍奉的動力是來自哪裏
[00:04:47.000 --> 00:04:50.000]  他的秘訣在哪裏
[00:04:50.000 --> 00:04:54.000]  一會兒我會慢慢去看這段經文
[00:04:54.000 --> 00:04:58.000]  保羅在這篇經文裏面
[00:04:58.000 --> 00:05:03.000]  我用了一個字來總結了保羅自己在侍奉裏面的感受
[00:05:03.000 --> 00:05:09.000]  這個感受就是寶貝放在瓦器裏面
[00:05:09.000 --> 00:05:11.000]  問問大家
[00:05:11.000 --> 00:05:13.000]  誰是寶貝
[00:05:13.000 --> 00:05:17.000]  誰是寶貝
[00:05:17.000 --> 00:05:20.000]  你呀
[00:05:20.000 --> 00:05:22.000]  你沒甚麼寶貝
[00:05:22.000 --> 00:05:24.000]  Hello Kitty
[00:05:24.000 --> 00:05:27.000]  Hello Kitty是他的寶貝
[00:05:27.000 --> 00:05:29.000]  有些人說錢是他的寶貝
[00:05:29.000 --> 00:05:32.000]  有些人說牌子是他的寶貝
[00:05:32.000 --> 00:05:34.000]  寶貝是誰
[00:05:34.000 --> 00:05:36.000]  我問些好問題
[00:05:36.000 --> 00:05:38.000]  當然大家覺得
[00:05:38.000 --> 00:05:39.000]  牧師你也問這些
[00:05:39.000 --> 00:05:40.000]  你自己回答吧
[00:05:40.000 --> 00:05:42.000]  這麼蠢的東西
[00:05:42.000 --> 00:05:44.000]  我回答也不要緊
