
[00:00:00.000 --> 00:00:03.760]  我想和你再想想保羅的書信
[00:00:03.760 --> 00:00:09.840]  保羅我剛纔說寫了13封信
[00:00:09.840 --> 00:00:12.080]  加上書六張
[00:00:12.080 --> 00:00:16.760]  《基撒羅里加前後書》加起來是八張
[00:00:16.760 --> 00:00:18.640]  《羅馬書》寫了16張
[00:00:18.640 --> 00:00:21.720]  但《羅馬書》其實羅馬教會不是他建立的
[00:00:21.720 --> 00:00:22.600]  記不記得
[00:00:22.600 --> 00:00:25.360]  羅馬教會是他認識了Aquila Priscilla
[00:00:25.360 --> 00:00:28.680]  然後想借羅馬去西班牙
[00:00:28.680 --> 00:00:30.480]  寫了16張
[00:00:30.480 --> 00:00:32.880]  《已不鎖教會》是他建立的
[00:00:32.880 --> 00:00:34.360]  寫了6張
[00:00:34.360 --> 00:00:36.440]  《費拉比教會》比較乖的
[00:00:36.440 --> 00:00:37.280]  也是他建立的
[00:00:37.280 --> 00:00:38.160]  寫了4張
[00:00:38.160 --> 00:00:42.440]  《哥羅西書》的教會其實不是他直接的建立
[00:00:42.440 --> 00:00:47.080]  但是相信是通過他傳福音給一個哥羅西里面的人
[00:00:47.080 --> 00:00:49.880]  這個人再將他的福音帶到哥羅西
[00:00:49.880 --> 00:00:52.160]  所以哥羅西教會不是他的兒子
[00:00:52.160 --> 00:00:53.320]  是他的孫子
[00:00:53.320 --> 00:00:54.480]  明白嗎
[00:00:54.480 --> 00:00:57.240]  他又是寫了4張給哥羅西
[00:00:57.240 --> 00:00:59.160]  《費利門》寫了1張
[00:00:59.160 --> 00:01:01.720]  《提摩太》前後寫了10張
[00:01:01.720 --> 00:01:03.440]  《提多》寫了3張
[00:01:03.440 --> 00:01:04.960]  這些是保羅的書信
[00:01:04.960 --> 00:01:06.800]  保羅所愛的教會
[00:01:06.800 --> 00:01:08.120]  所建立的教會
[00:01:08.120 --> 00:01:11.720]  那《哥羅多》其實是多少
[00:01:11.720 --> 00:01:15.240]  前後書加起來多少張
[00:01:15.240 --> 00:01:16.520]  29
[00:01:16.520 --> 00:01:17.840]  應該說起碼29
[00:01:17.840 --> 00:01:20.200]  因爲我們只有第2和第4
[00:01:20.200 --> 00:01:21.360]  第1、3我們沒有了
[00:01:21.360 --> 00:01:22.640]  我都不知道第1、3寫了多少
[00:01:22.640 --> 00:01:24.960]  加起來就30多張
[00:01:24.960 --> 00:01:28.600]  你有沒有覺得如果保羅做老豆他很偏心
[00:01:28.600 --> 00:01:31.560]  其他的都是兒子孫孫
[00:01:31.560 --> 00:01:32.400]  頂籠
[00:01:32.400 --> 00:01:33.240]  頂籠是多少
[00:01:33.240 --> 00:01:34.440]  羅馬不算了
[00:01:34.440 --> 00:01:36.200]  羅馬他都沒去過
[00:01:36.200 --> 00:01:36.680]  是吧
[00:01:36.680 --> 00:01:38.720]  頂籠其實羅尼加
[00:01:38.720 --> 00:01:40.560]  《提摩太》自己有
[00:01:40.560 --> 00:01:43.200]  就是寫了8張
[00:01:43.200 --> 00:01:49.200]  竟然在《哥羅多》前後書寫了起碼29張聖經
[00:01:49.200 --> 00:01:51.520]  30張聖經
[00:01:51.520 --> 00:01:53.120]  就是告訴你什麼
[00:01:53.120 --> 00:01:54.480]  就是告訴你
[00:01:54.480 --> 00:01:57.280]  一是保羅很愛《哥羅多教會》
[00:01:57.280 --> 00:01:58.440]  當然都是真的
[00:01:58.440 --> 00:01:59.720]  他每一間都愛
[00:01:59.720 --> 00:02:02.120]  第二就是《哥羅多教會》很不濟
[00:02:02.120 --> 00:02:03.840]  很不濟
[00:02:03.840 --> 00:02:05.760]  你想想如果你有很多個子女
[00:02:05.760 --> 00:02:07.760]  然後有個兒子是
[00:02:07.760 --> 00:02:09.440]  terminal illness那些
[00:02:09.440 --> 00:02:11.000]  就是生cancer
[00:02:11.000 --> 00:02:12.960]  那你可能其他的孩子會投訴
[00:02:12.960 --> 00:02:16.960]  爸媽爲什麼經常花那麼多時間給哥哥
[00:02:16.960 --> 00:02:19.120]  你知道哥哥病
[00:02:19.120 --> 00:02:21.000]  哥哥病都快死了
[00:02:21.000 --> 00:02:24.880]  所以爸爸媽媽當然要給他多點注意力
[00:02:24.880 --> 00:02:28.000]  所以當我們去看《哥羅多》前後書的時候
[00:02:28.000 --> 00:02:30.360]  我想你心裏有一種感覺
[00:02:30.360 --> 00:02:32.280]  就是這間教會很不濟
[00:02:32.280 --> 00:02:33.320]  很不濟
[00:02:33.320 --> 00:02:34.880]  但是因爲保羅很愛他
[00:02:34.880 --> 00:02:36.240]  保羅想救他
[00:02:36.240 --> 00:02:38.920]  所以保羅不停地狂寫
[00:02:38.920 --> 00:02:39.800]  寫了29張
[00:02:39.800 --> 00:02:41.960]  還有其他的
[00:02:41.960 --> 00:02:43.400]  我們讀《哥羅多》前後書裏面
[00:02:43.400 --> 00:02:45.760]  最大的困難是什麼呢
[00:02:45.760 --> 00:02:48.000]  好像隔牆偷聽人
