
[00:00:00.000 --> 00:00:03.480]  領姊妹平安
[00:00:03.480 --> 00:00:09.640]  如果說我們個個都身經百戰
[00:00:09.640 --> 00:00:12.160]  你會想起什麼呢?
[00:00:12.160 --> 00:00:16.000]  又說人生充滿了戰爭
[00:00:16.000 --> 00:00:18.640]  所謂人生如戰場
[00:00:18.640 --> 00:00:21.840]  無論是生活還是職場
[00:00:21.840 --> 00:00:25.040]  回到家裡好像打仗一樣
[00:00:25.040 --> 00:00:27.480]  家人的關係很緊張
[00:00:27.480 --> 00:00:30.440]  為了子女 兩夫婦可能吵架
[00:00:30.440 --> 00:00:33.000]  為了子女不讀書 不做功課
[00:00:33.000 --> 00:00:36.600]  跟子女吵架
[00:00:36.600 --> 00:00:39.960]  我們未必會動手動腳
[00:00:39.960 --> 00:00:44.920]  但那種罵戰 那種冷戰
[00:00:44.920 --> 00:00:49.280]  是經常發生在我們和家人的當中
[00:00:49.280 --> 00:00:56.640]  多年前 我和媽媽冷戰了三天
[00:00:56.640 --> 00:01:00.880]  當對方透明 最主要是我
[00:01:00.880 --> 00:01:06.640]  但最後我降服 我認輸
[00:01:06.640 --> 00:01:12.600]  媽媽永遠在我心中是我放不下的母親
[00:01:12.600 --> 00:01:17.360]  無論如何冷戰 最後我們都會妥協
[00:01:17.360 --> 00:01:20.040]  但其中一個戰 不知道你有沒有想過
[00:01:20.040 --> 00:01:22.040]  我們經常有內戰
[00:01:22.040 --> 00:01:27.440]  什麼內戰 是你和自己的爭戰
[00:01:27.440 --> 00:01:31.440]  你昨晚有沒有打過 今早有沒有打過
[00:01:31.440 --> 00:01:35.480]  我不知道今早有沒有世界盃的比賽
[00:01:35.480 --> 00:01:37.640]  可能有一把聲音告訴你
[00:01:37.640 --> 00:01:40.360]  看過去吧 這麼好看
[00:01:40.360 --> 00:01:43.560]  當然看現場 為什麼看錄影帶
[00:01:43.560 --> 00:01:47.280]  崇拜 上網可以看
[00:01:47.280 --> 00:01:49.880]  但你那把聲音告訴你
[00:01:49.880 --> 00:01:53.600]  你選擇我 還是選世界盃
[00:01:53.600 --> 00:01:57.320]  老我和新的我在爭戰
[00:01:57.320 --> 00:02:02.720]  所以弟兄姊妹 其實我們經常打內戰
[00:02:02.720 --> 00:02:06.920]  究竟你是代表上帝的那邊性
[00:02:06.920 --> 00:02:10.840]  還是代表魔鬼的老我性
[00:02:10.840 --> 00:02:14.720]  信耶穌 你以為天下太平
[00:02:14.720 --> 00:02:17.040]  什麼都好了 天下太平沒事
[00:02:17.040 --> 00:02:18.920]  不是的 弟兄姊妹
[00:02:18.920 --> 00:02:22.280]  信耶穌戰爭不但沒有減
[00:02:22.280 --> 00:02:25.800]  反而更加激烈
[00:02:25.800 --> 00:02:29.880]  因為撒旦最喜歡打仗
[00:02:29.880 --> 00:02:35.960]  他挑起他和上帝 和上帝子民的爭戰
[00:02:35.960 --> 00:02:39.280]  他一個最勁的敵人
[00:02:39.280 --> 00:02:44.440]  地上的敵人可能只不過是我們的家人
[00:02:44.440 --> 00:02:45.840]  是我身邊的弟兄姊妹
[00:02:45.840 --> 00:02:49.560]  是我們認識的人 是血氣之爭
[00:02:49.560 --> 00:02:51.800]  但魔鬼是屬靈的
[00:02:51.800 --> 00:02:59.680]  他的靈魂是由地上帶到天上爭戰
[00:02:59.680 --> 00:03:02.200]  今年到現在
[00:03:02.200 --> 00:03:06.200]  我們一直由本堂的教務同工思想
[00:03:06.200 --> 00:03:09.440]  和大家一起去研讀 已忽所書
[00:03:09.440 --> 00:03:11.840]  今天是最後了
[00:03:11.840 --> 00:03:12.760]  在過去的日子裏面
[00:03:12.760 --> 00:03:18.440]  我們會看到第一章至五章二十節裏面
[00:03:18.440 --> 00:03:19.800]  保羅告訴我們
[00:03:19.800 --> 00:03:21.240]  我們在基督裏面
[00:03:21.240 --> 00:03:24.960]  我們領受了上帝很多很多恩典
[00:03:24.960 --> 00:03:27.160]  我們是蒙恩的人
[00:03:27.160 --> 00:03:29.560]  我們蒙愛的兒女
[00:03:29.560 --> 00:03:33.480]  我們在基督裏面已經成為新造的人
[00:03:33.480 --> 00:03:36.400]  所以我們應該活在光明的日子
[00:03:36.400 --> 00:03:38.360]  我們要捨棄那些污穢
[00:03:38.360 --> 00:03:40.560]  穿上新人
[00:03:40.560 --> 00:03:43.800]  這是在經文裏面不斷地告訴我們
[00:03:43.800 --> 00:03:46.120]  而彭恩教師在上個主日
[00:03:46.120 --> 00:03:49.400]  來到了五章二十一節至六章九節
[00:03:49.400 --> 00:03:50.520]  告訴我們
[00:03:50.520 --> 00:03:53.000]  我們人是活在不同的關係裏面
[00:03:53.000 --> 00:03:57.320]  夫婦、父母子女、主人、僕人
[00:03:57.320 --> 00:03:58.640]  在不同的關係當中
[00:03:58.640 --> 00:04:01.680]  我們都要活出這個福音的大能
[00:04:01.680 --> 00:04:07.800]  而這一切都是建基在我們和主的關係上
[00:04:07.800 --> 00:04:11.920]  如果我們和主沒有一個緊密的關係
[00:04:11.920 --> 00:04:17.800]  任憑我們如何努力建立我們夫婦、父子、父女、主人、僕人的關係
[00:04:17.800 --> 00:04:21.080]  我們都會出現很多問題
[00:04:21.080 --> 00:04:25.080]  所以有關係就沒有關係
[00:04:25.080 --> 00:04:28.200]  只要我們和耶穌有一個緊密的關係
[00:04:28.200 --> 00:04:29.680]  人際的關係
[00:04:29.680 --> 00:04:31.600]  就算有些磨擦
[00:04:31.600 --> 00:04:33.440]  都是很少的問題
[00:04:33.440 --> 00:04:36.680]  是很容易的解決
[00:04:36.680 --> 00:04:38.320]  如果大家有留意
[00:04:38.320 --> 00:04:40.640]  在二弗所書前面不斷講到在基督裏面
[00:04:40.640 --> 00:04:41.600]  或者相繼字
[00:04:41.600 --> 00:04:43.000]  在基督裏面等等
[00:04:43.000 --> 00:04:45.600]  或者在基督裏面互著這些字眼
[00:04:45.600 --> 00:04:46.280]  是呀
[00:04:46.280 --> 00:04:49.280]  是保羅在二弗所書告訴我們
[00:04:49.280 --> 00:04:52.440]  我們在基督裏面互相為肢體
[00:04:52.440 --> 00:04:53.800]  建立基督的身體
[00:04:53.800 --> 00:04:55.920]  耶穌基督是頭
[00:04:55.920 --> 00:04:57.680]  我們作為主的門徒
[00:04:57.680 --> 00:04:59.280]  然後信了耶穌
