
[00:00:00.000 --> 00:00:05.800]  我和大家一起來讀獵王記下的故事
[00:00:05.800 --> 00:00:09.700]  我們一直在研讀獵王記下的故事
[00:00:09.700 --> 00:00:15.500]  我想大家有一個正確的觀念
[00:00:15.500 --> 00:00:21.500]  在聖經記載的上帝所用的人
[00:00:21.500 --> 00:00:27.800]  不是個個都這麼美麗可愛的
[00:00:27.800 --> 00:00:29.900]  聽清楚這句話嗎?
[00:00:29.900 --> 00:00:33.700]  就算阿巴拉罕大衛
[00:00:33.700 --> 00:00:36.900]  和上帝有約的人
[00:00:36.900 --> 00:00:39.900]  美麗可愛嗎?
[00:00:39.900 --> 00:00:42.500]  他有可愛的一面
[00:00:42.500 --> 00:00:47.400]  但不是100%美麗可愛
[00:00:47.400 --> 00:00:50.300]  阿巴拉罕大家知道了
[00:00:50.300 --> 00:00:53.300]  他說謊 當老婆是妹
[00:00:53.300 --> 00:01:03.200]  大衛在撒慕爾記下講了
[00:01:03.200 --> 00:01:09.500]  所以我們讀聖經要有這樣的意識
[00:01:09.500 --> 00:01:15.700]  上帝揀的人為上帝工作是好事
[00:01:15.700 --> 00:01:21.300]  但這個人不是100%是好人
[00:01:21.300 --> 00:01:28.700]  你就會問 上帝用 還不好嗎?
[00:01:28.700 --> 00:01:32.500]  我想從這段聖經歷史
[00:01:32.500 --> 00:01:34.100]  獵王記下的最後一段歷史
[00:01:34.100 --> 00:01:38.300]  上帝用了亞述國
[00:01:38.300 --> 00:01:40.100]  滅了北國
[00:01:40.100 --> 00:01:42.700]  又用了巴比倫
[00:01:42.700 --> 00:01:44.500]  滅了南國
[00:01:44.500 --> 00:01:47.600]  這兩個是外邦國
[00:01:47.600 --> 00:01:51.300]  對上帝的子民國度
[00:01:51.300 --> 00:01:54.000]  殺人放火
[00:01:54.000 --> 00:01:57.800]  是不是好人?
[00:01:57.800 --> 00:01:59.300]  如果殺人放火是好人
[00:01:59.300 --> 00:02:03.800]  那今天的監倉應該放人了
[00:02:03.800 --> 00:02:06.300]  但上帝用他
[00:02:06.300 --> 00:02:10.200]  大家聽清楚 希望學到一個原則
[00:02:10.200 --> 00:02:12.400]  上帝用的人
[00:02:12.400 --> 00:02:16.000]  不是全部都是可愛
[00:02:16.000 --> 00:02:20.000]  上帝可以用一些很頑皮的人
[00:02:20.000 --> 00:02:26.500]  當是一個棍
[00:02:26.500 --> 00:02:29.000]  棍是用來做什麼的?
[00:02:29.000 --> 00:02:32.600]  香港人用雞毛掃
[00:02:32.600 --> 00:02:35.200]  雞毛掃是用來做什麼的?
[00:02:35.200 --> 00:02:38.400]  打 為什麼要打你?
[00:02:38.400 --> 00:02:40.900]  你頑皮 媽媽是不是用雞毛掃打你?
[00:02:40.900 --> 00:02:46.600]  對不對?沒試過 你媽媽好人
[00:02:46.600 --> 00:02:48.300]  但這是我們中國的文化 是不是?
[00:02:48.300 --> 00:02:50.600]  這是一個中國的文化
[00:02:50.600 --> 00:02:54.600]  上帝可以用外邦民族
[00:02:54.600 --> 00:02:57.400]  作為他懲罰的帳
[00:02:57.400 --> 00:03:02.800]  去懲罰不聽話的子民
[00:03:02.800 --> 00:03:05.000]  所以不聽話不是今天的事
[00:03:05.000 --> 00:03:09.900]  你可以看到上帝很恩愛他的子民
[00:03:09.900 --> 00:03:12.500]  可以看到上帝很恩愛他的子民
[00:03:12.500 --> 00:03:13.900]  他的子民是不聽話
