
[00:00:00.000 --> 00:00:03.960]  今天我們的題目叫《完美的終結》
[00:00:03.960 --> 00:00:07.160]  珍惜每個人
[00:00:07.160 --> 00:00:09.000]  聖金口約翰這麼說
[00:00:09.000 --> 00:00:10.800]  是我們早期的教父
[00:00:10.800 --> 00:00:13.440]  他說面對這個《羅馬書》最後一章
[00:00:13.440 --> 00:00:14.960]  他說他見到很多好的人
[00:00:14.960 --> 00:00:20.080]  但是他也匆匆掠過了《羅馬書》這部份
[00:00:20.080 --> 00:00:22.280]  他們以爲這部份無關重要
[00:00:22.280 --> 00:00:25.360]  即使吳家修詩的名字中
[00:00:25.360 --> 00:00:28.240]  原來可以找到極大的什麼?
[00:00:28.240 --> 00:00:31.280]  保障 等下我們找保障
[00:00:31.280 --> 00:00:32.400]  新約的教授
[00:00:32.400 --> 00:00:35.120]  也是近代非常有名的教授
[00:00:35.120 --> 00:00:37.360]  他說《羅馬書》第十六章
[00:00:37.360 --> 00:00:38.800]  即是我們立刻進入的
[00:00:38.800 --> 00:00:39.800]  是新約
[00:00:39.800 --> 00:00:40.920]  不僅是《羅馬書》
[00:00:40.920 --> 00:00:41.840]  整個新約
[00:00:41.840 --> 00:00:43.840]  最具啓發性
[00:00:43.840 --> 00:00:45.240]  幾章至一
[00:00:45.240 --> 00:00:46.960]  幾章至一
[00:00:46.960 --> 00:00:48.240]  不得了
[00:00:48.240 --> 00:00:50.000]  所以我們和教練說
[00:00:50.000 --> 00:00:51.880]  不得了
[00:00:51.880 --> 00:00:52.640]  好 立刻看
[00:00:52.640 --> 00:00:53.880]  今天看三點
[00:00:53.880 --> 00:00:56.800]  究竟我們找到什麼保障
[00:00:56.800 --> 00:00:59.440]  第一 我們先看頭兩節的經文
[00:00:59.440 --> 00:01:01.280]  我們一起慢慢讀 好不好
[00:01:01.280 --> 00:01:02.440]  一 二 三
[00:01:02.440 --> 00:01:07.520]  我對你們舉薦我們的姊妹菲薇
[00:01:07.520 --> 00:01:11.800]  下次以家庭教會組織舉責事
[00:01:11.800 --> 00:01:14.400]  請你們對此節在下
[00:01:14.400 --> 00:01:16.840]  合乎正常的體統
[00:01:16.840 --> 00:01:19.920]  下載學士上次要你們幫助
[00:01:19.920 --> 00:01:21.920]  你們受幫助吧
[00:01:21.920 --> 00:01:27.040]  因下素質 幫助很多人 也幫助了我
[00:01:27.040 --> 00:01:28.400]  是的 一開始很有趣
[00:01:28.400 --> 00:01:32.840]  我們相信這本書卷是借一個女性
[00:01:32.840 --> 00:01:34.360]  女德士
[00:01:34.360 --> 00:01:35.560]  叫做什麼名字
[00:01:35.560 --> 00:01:37.360]  菲薇 英文即是什麼
[00:01:37.360 --> 00:01:37.800]  菲薇
[00:01:37.800 --> 00:01:41.400]  很棒 有沒有人叫菲薇在這裏
[00:01:41.400 --> 00:01:42.240]  沒有
[00:01:42.240 --> 00:01:43.720]  那麼好的名字
[00:01:43.720 --> 00:01:44.560]  對不對
[00:01:44.560 --> 00:01:46.360]  下次改名叫菲薇
[00:01:46.360 --> 00:01:48.320]  第一個很有趣的
[00:01:48.320 --> 00:01:50.720]  當時是男系的社會知不知道
[00:01:50.720 --> 00:01:55.240]  很快保羅指出一個女士叫菲薇
[00:01:55.240 --> 00:01:57.080]  很重要 她是女德士
[00:01:57.080 --> 00:01:59.800]  並且素來幫助很多人
[00:01:59.800 --> 00:02:03.360]  她推薦給羅馬教會
[00:02:03.360 --> 00:02:04.480]  伸出這封信
[00:02:04.480 --> 00:02:07.200]  是幫助保羅帶去羅馬教會
[00:02:07.200 --> 00:02:09.000]  她也幫助不起
[00:02:09.000 --> 00:02:12.400]  幫助了保羅自己
[00:02:12.400 --> 00:02:15.560]  她素來幫助很多人
[00:02:15.560 --> 00:02:19.480]  原文是素來很多人的贊助人
[00:02:19.480 --> 00:02:20.280]  不單止幫助人
[00:02:20.280 --> 00:02:21.920]  並且用金錢
[00:02:21.920 --> 00:02:23.240]  用時間
[00:02:23.240 --> 00:02:23.920]  用精力
[00:02:23.920 --> 00:02:25.280]  女施與者
[00:02:25.280 --> 00:02:27.800]  這個是比較富裕的女性
[00:02:27.800 --> 00:02:29.680]  有什麼特別 很特別的
[00:02:29.680 --> 00:02:31.080]  一開始已經剛纔說
[00:02:31.080 --> 00:02:34.960]  男系社會推薦一個女性
[00:02:34.960 --> 00:02:37.440]  比今天是一個
[00:02:37.440 --> 00:02:41.680]  不是很喜歡讚賞的社會和世界
[00:02:41.680 --> 00:02:43.120]  我們常說今天的社會
[00:02:43.120 --> 00:02:45.880]  我們是一個投什麼數的社會
[00:02:45.880 --> 00:02:46.800]  很喜歡投什麼
[00:02:46.800 --> 00:02:48.120]  投數的 是不是
[00:02:48.120 --> 00:02:49.520]  很少贊人的
[00:02:49.520 --> 00:02:50.240]  人們做得很好
[00:02:50.240 --> 00:02:51.080]  十樣 二十樣
[00:02:51.080 --> 00:02:52.840]  一樣東西就投數了
[00:02:52.840 --> 00:02:54.000]  很不同
[00:02:54.000 --> 00:02:56.800]  當然我們今天也有很多推薦的
[00:02:56.800 --> 00:02:58.440]  例如我們轉工
[00:02:58.440 --> 00:02:59.680]  如果你做得好的
[00:02:59.680 --> 00:03:02.720]  你本來老闆也會有推薦信
[00:03:02.720 --> 00:03:04.080]  又例如我寫書的時候
[00:03:04.080 --> 00:03:05.840]  當然我不打算寫書
