
[00:00:00.000 --> 00:00:04.880]  各位電影姐妹,我們今天一起來分享一段經文
[00:00:04.880 --> 00:00:10.360]  是《馬太福音》第九章三十五至三十八節
[00:00:10.360 --> 00:00:13.640]  只有四節,我們一起來讀一讀
[00:00:13.640 --> 00:00:16.640]  好,預備起
[00:00:16.640 --> 00:00:19.360]  耶穌走遍各城各鄉
[00:00:19.360 --> 00:00:22.480]  在他們的會堂裡教導人
[00:00:22.480 --> 00:00:24.680]  宣講天國的福音
[00:00:24.680 --> 00:00:27.400]  又醫治各樣的病徵
[00:00:27.400 --> 00:00:31.160]  他看見一大群人就憐憫他們
[00:00:31.160 --> 00:00:33.600]  因為他們困苦無助
[00:00:33.600 --> 00:00:36.240]  如同羊沒有牧人一樣
[00:00:36.240 --> 00:00:38.480]  於是他對門徒說
[00:00:38.480 --> 00:00:42.080]  要收的莊稼多,做工的人少
[00:00:42.080 --> 00:00:45.520]  所以你們要求莊稼的主
[00:00:45.520 --> 00:00:49.600]  差遣做工的人出去收他的莊稼
[00:00:49.600 --> 00:00:56.880]  首先問大家一個問題
[00:00:57.440 --> 00:01:02.000]  你覺得每一天你的時間夠不夠用?
[00:01:02.000 --> 00:01:05.720]  覺得很夠用的請舉手
[00:01:05.720 --> 00:01:09.840]  覺得剛剛夠用的舉手
[00:01:09.840 --> 00:01:13.840]  覺得不是很夠用的舉手
[00:01:13.840 --> 00:01:18.600]  覺得最好每天有多二十四小時的舉手
[00:01:18.600 --> 00:01:20.800]  好了,多謝
[00:01:20.800 --> 00:01:22.240]  (笑聲)
[00:01:22.240 --> 00:01:23.840]  你的老闆很不想
[00:01:25.480 --> 00:01:31.360]  我相信大部份的人都覺得不夠時間
[00:01:31.360 --> 00:01:36.720]  尤其是今天你的智能手機有WhatsApp之類的
[00:01:36.720 --> 00:01:39.600]  就更加不夠,是嗎?
[00:01:39.600 --> 00:01:43.680]  以前我們約開會
[00:01:43.680 --> 00:01:46.360]  可能兩個小時開完會就可以了
[00:01:46.360 --> 00:01:49.440]  但現在就是在開會之前和開會之後
[00:01:49.440 --> 00:01:51.360]  那些在WhatsApp裡面聊的東西
[00:01:51.360 --> 00:01:53.320]  比在會議裡面聊的更多
[00:01:53.320 --> 00:01:55.120]  還要可能聊到很晚
[00:01:55.120 --> 00:01:57.920]  有時候還要聊聊大家心情不太好
[00:01:57.920 --> 00:02:00.760]  由開會變成開伙
[00:02:00.760 --> 00:02:03.560]  那就很不夠時間,是嗎?
[00:02:03.560 --> 00:02:08.240]  因為我們不單單是親身去接觸人
[00:02:08.240 --> 00:02:11.040]  更加透過這些電子媒介
[00:02:11.040 --> 00:02:14.120]  我們有機會接觸、溝通
[00:02:14.120 --> 00:02:16.040]  要處理這麼多的事
[00:02:16.040 --> 00:02:18.920]  又要去接觸不同的人
[00:02:18.920 --> 00:02:22.200]  不夠時間是非常明顯的
[00:02:22.760 --> 00:02:27.120]  但近來當我坐下來的時候想想
[00:02:27.120 --> 00:02:30.600]  每一天我們需要處理這麼多的事
[00:02:30.600 --> 00:02:32.880]  無論是事還是人
[00:02:32.880 --> 00:02:36.560]  我自己突然間有一種很不安的感覺
[00:02:36.560 --> 00:02:38.960]  那不安的感覺是怎樣的呢?
[00:02:38.960 --> 00:02:43.480]  就是每一天既然有這麼多不同的人
[00:02:43.480 --> 00:02:45.960]  在自己的生命裡面出現
[00:02:45.960 --> 00:02:50.520]  或多或少其實是要回應他們的一些請求
