
[00:00:00.000 --> 00:00:03.000]  在開始之前我們同心來祈禱
[00:00:03.000 --> 00:00:07.000]  神的獨生兒子耶穌基督
[00:00:07.000 --> 00:00:09.000]  求祢施恩可憐這個罪人
[00:00:09.000 --> 00:00:11.000]  站在我們面前來宣講的時候
[00:00:11.000 --> 00:00:14.000]  還讓神祢的說話來打開
[00:00:14.000 --> 00:00:16.000]  能夠宣講主的恩賢
[00:00:16.000 --> 00:00:19.000]  還讓我們全處受教的心
[00:00:19.000 --> 00:00:20.000]  一同來等候
[00:00:20.000 --> 00:00:23.000]  願神祢的說話打開的時候
[00:00:23.000 --> 00:00:25.000]  不會徒然返回
[00:00:25.000 --> 00:00:27.000]  恭敬將以下時間交託
[00:00:27.000 --> 00:00:30.000]  奉教救主基督耶穌聖名祈求
[00:00:30.000 --> 00:00:31.000]  阿門
[00:00:31.000 --> 00:00:34.000]  我們說出埃及記
[00:00:34.000 --> 00:00:37.000]  主要是寄述以色列人
[00:00:37.000 --> 00:00:39.000]  去出埃及的經國
[00:00:39.000 --> 00:00:43.000]  有一位偉大的領袖摩西
[00:00:43.000 --> 00:00:45.000]  帶同他的同胞
[00:00:45.000 --> 00:00:48.000]  離開埃及圍爐之地
[00:00:48.000 --> 00:00:52.000]  我們打開出埃及記的時候
[00:00:52.000 --> 00:00:55.000]  發覺這四十章的聖經
[00:00:55.000 --> 00:00:58.000]  過程一點都不順利
[00:00:58.000 --> 00:01:01.000]  可謂曲折離奇
[00:01:01.000 --> 00:01:03.000]  一波三折
[00:01:03.000 --> 00:01:06.000]  為什麼偉大的神
[00:01:06.000 --> 00:01:11.000]  去拯救祂的子民這麼艱難呢?
[00:01:11.000 --> 00:01:16.000]  是不是神的能力縮減了呢?
[00:01:16.000 --> 00:01:22.000]  我們說不是神力有不逮
[00:01:22.000 --> 00:01:27.000]  而是人未能配合神的工作
[00:01:27.000 --> 00:01:29.000]  窒礙了神的工作
[00:01:29.000 --> 00:01:31.000]  在神的眼中
[00:01:31.000 --> 00:01:35.000]  人永遠比工作重要
[00:01:35.000 --> 00:01:40.000]  神加衣等待
[00:01:40.000 --> 00:01:43.000]  吾加衣擔言
[00:01:43.000 --> 00:01:46.000]  出埃及記一和二章
[00:01:46.000 --> 00:01:50.000]  交代了以色列人出埃及的背景
[00:01:50.000 --> 00:01:54.000]  以色列人在埃及裏面成為奴隸
[00:01:54.000 --> 00:01:58.000]  過著艱苦的生活
[00:01:58.000 --> 00:02:00.000]  加重的工作
[00:02:00.000 --> 00:02:04.000]  並沒有人口減少
[00:02:04.000 --> 00:02:09.000]  法老來到很懼怕以色列人數不斷的增多
[00:02:09.000 --> 00:02:16.000]  於是來到出了殺害嬰孩的計謀
[00:02:17.000 --> 00:02:23.000]  首先是男嬰出世時要將他扼殺
[00:02:23.000 --> 00:02:26.000]  這件計策不能夠得逞
[00:02:26.000 --> 00:02:29.000]  然後再出一個計策
[00:02:29.000 --> 00:02:34.000]  就是要將以色列人的男嬰
[00:02:34.000 --> 00:02:40.000]  將他扔到尼羅河裏面浸死
[00:02:40.000 --> 00:02:44.000]  在這件事上神來到保守了
[00:02:47.000 --> 00:02:53.000]  在這件事上一個俊美的男嬰出現了
[00:02:53.000 --> 00:02:57.000]  被法老的女兒尼羅河所救
[00:02:57.000 --> 00:03:01.000]  在姐姐米莉暗穿針引線下
[00:03:01.000 --> 00:03:06.000]  親生母親擔任了奶媽一職
[00:03:06.000 --> 00:03:09.000]  後來這個男嬰長大了
[00:03:09.000 --> 00:03:13.000]  被送回法老的女兒那裏
[00:03:13.000 --> 00:03:19.000]  作了她的兒子,成為了埃及的王子
[00:03:19.000 --> 00:03:25.000]  於是摩西就能夠離一個女嬰外合
[00:03:25.000 --> 00:03:29.000]  帶同同胞昂首闊步
[00:03:29.000 --> 00:03:32.000]  浩浩蕩蕩地離開埃及
[00:03:32.000 --> 00:03:39.000]  是不是這個亂世出英雄呢?
[00:03:39.000 --> 00:03:42.000]  我從剛才主席所讀的經文裏面
[00:03:42.000 --> 00:03:45.000]  看到一個不同的情景
[00:03:45.000 --> 00:03:52.000]  摩西在米甸裏面作這個牧羊人
[00:03:52.000 --> 00:03:55.000]  已經在這裏四十年
[00:03:55.000 --> 00:03:58.000]  然後在第三章這個時間
[00:03:58.000 --> 00:04:03.000]  神再次來到枯潮摩西
[00:04:03.000 --> 00:04:09.000]  去承擔帶領以色列人出埃及的工作
[00:04:09.000 --> 00:04:12.000]  在第二章的時間
[00:04:12.000 --> 00:04:16.000]  摩西自己知道自己不是埃及人
[00:04:16.000 --> 00:04:22.000]  繼續享受著王子的待遇
[00:04:22.000 --> 00:04:24.000]  心裏面覺得不舒服
[00:04:24.000 --> 00:04:29.000]  眼見自己的同胞被欺凌被壓迫
[00:04:29.000 --> 00:04:33.000]  摩西已經儲藏了很多不滿的情緒
[00:04:33.000 --> 00:04:36.000]  在一次近距離的接觸
[00:04:36.000 --> 00:04:38.000]  親眼目睹同胞被欺凌
[00:04:38.000 --> 00:04:42.000]  壓抑的情緒一下子爆發出來
[00:04:42.000 --> 00:04:47.000]  他眼見左右無人在情緒主導之下
