
[00:00:00.000 --> 00:00:01.440]  一起讀一段聖經
[00:00:01.440 --> 00:00:04.560]  在詩篇第29篇第10節
[00:00:04.560 --> 00:00:05.840]  我們一同來唸
[00:00:05.840 --> 00:00:07.600]  只有一節的聖經來
[00:00:07.600 --> 00:00:09.520]  洪水泛濫之時
[00:00:09.520 --> 00:00:11.480]  耶和華坐著為王
[00:00:11.480 --> 00:00:14.120]  耶和華坐著為王直到永遠
[00:00:14.120 --> 00:00:15.440]  我們再讀一遍來
[00:00:15.440 --> 00:00:17.280]  洪水泛濫之時
[00:00:17.280 --> 00:00:19.200]  耶和華坐著為王
[00:00:19.200 --> 00:00:23.200]  耶和華坐著為王直到永遠
[00:00:23.200 --> 00:00:27.640]  今天我們所面對的世界跟環境
[00:00:27.640 --> 00:00:31.600]  都面對一個極大的轉變
[00:00:31.600 --> 00:00:35.120]  不但世界的局勢快速在改變
[00:00:35.120 --> 00:00:40.080]  恐怖份子的暴力攻擊越來越加頻繁
[00:00:40.080 --> 00:00:42.120]  甚至連美國本土
[00:00:42.120 --> 00:00:45.880]  我們也面對一股改變的浪潮
[00:00:45.880 --> 00:00:48.240]  今年的美國大選
[00:00:48.240 --> 00:00:51.520]  表面上好像是一片混亂
[00:00:51.520 --> 00:00:54.120]  但事實上我越來越看見
[00:00:54.120 --> 00:00:59.280]  美國正在經歷一個非常真實的
[00:00:59.280 --> 00:01:01.760]  沉默的革命
[00:01:01.760 --> 00:01:03.800]  因為美國人心中
[00:01:03.800 --> 00:01:08.000]  有一種深深的不滿跟憤怒
[00:01:08.000 --> 00:01:10.920]  而這個不滿與憤怒
[00:01:10.920 --> 00:01:13.640]  好像一股洪流一樣
[00:01:13.640 --> 00:01:18.400]  已經衝擊到生活的每一個領域當中
[00:01:18.400 --> 00:01:20.200]  而這股洪流
[00:01:20.200 --> 00:01:22.800]  好像是既擋不住
[00:01:22.800 --> 00:01:25.200]  也控制不了
[00:01:25.200 --> 00:01:29.320]  所以難怪很多人在面對現今的世代的時候
[00:01:29.320 --> 00:01:31.800]  心中充滿了驚恐
[00:01:31.800 --> 00:01:35.920]  因為不知道將來是何去何從
[00:01:35.920 --> 00:01:37.280]  但作為一個基督徒
[00:01:37.280 --> 00:01:39.840]  我們需要明白一件事情
[00:01:39.840 --> 00:01:44.160]  每一次大環境在改變的時候
[00:01:44.160 --> 00:01:46.200]  無論是政治上
[00:01:46.200 --> 00:01:48.120]  無論是經濟上
[00:01:48.120 --> 00:01:50.920]  無論是在屬靈上
[00:01:50.920 --> 00:01:54.000]  當整個大環境在轉換的時候
[00:01:54.000 --> 00:02:00.640]  其實也都是神工作季節的一個轉換
[00:02:00.640 --> 00:02:04.560]  而在這個季節轉換的時刻
[00:02:04.560 --> 00:02:08.320]  若我們的眼目只是憑眼見
[00:02:08.320 --> 00:02:10.280]  看環境
[00:02:10.280 --> 00:02:15.200]  那我們很容易就落入驚恐跟不安當中
[00:02:15.200 --> 00:02:19.080]  但如果在這樣一個季節轉換的時刻
[00:02:19.080 --> 00:02:21.000]  我們能夠憑信心
[00:02:21.000 --> 00:02:23.600]  舉目來仰望神
[00:02:23.600 --> 00:02:25.480]  我們就能夠再一次
[00:02:25.480 --> 00:02:28.240]  從神的工作當中
[00:02:28.240 --> 00:02:32.160]  我們重新心中能夠得到安慰
[00:02:32.160 --> 00:02:34.480]  力量與盼望
[00:02:34.480 --> 00:02:35.320]  你們
[00:02:35.320 --> 00:02:37.880]  所以今天早上我們從三方面我們來講
[00:02:37.880 --> 00:02:42.160]  怎麼樣面對這樣一個新的季節的轉換
[00:02:42.160 --> 00:02:43.640]  第一件事情
