
[00:00:00.000 --> 00:00:03.400]  今天要和大家分享的訊息
[00:00:03.400 --> 00:00:05.520]  叫做永不孤單前行
[00:00:05.520 --> 00:00:07.800]  經文仍然是羅馬書
[00:00:07.800 --> 00:00:09.400]  不過我們已經去了一半
[00:00:09.400 --> 00:00:11.040]  到了第八章的中間
[00:00:11.040 --> 00:00:12.880]  在講道的時候
[00:00:12.880 --> 00:00:14.720]  每一次我們在講羅馬書
[00:00:14.720 --> 00:00:16.000]  我也有個習慣
[00:00:16.000 --> 00:00:16.680]  我忍不住了
[00:00:16.680 --> 00:00:19.200]  我也要和大家講一下前面的七章說什麼
[00:00:19.200 --> 00:00:20.120]  不用怕
[00:00:20.120 --> 00:00:21.480]  很快而已
[00:00:21.480 --> 00:00:23.240]  大致上可以這樣分
[00:00:23.240 --> 00:00:26.200]  由羅馬書一章至三章頭
[00:00:26.200 --> 00:00:27.640]  它要講一個訊息
[00:00:27.640 --> 00:00:30.040]  就是所有人都犯罪
[00:00:30.040 --> 00:00:33.280]  無論你是猶太人或者外邦人
[00:00:33.280 --> 00:00:35.240]  你受了割禮有沒有律法
[00:00:35.240 --> 00:00:37.640]  我們都在罪中之下
[00:00:37.640 --> 00:00:40.480]  在走一條必死的路
[00:00:40.480 --> 00:00:42.440]  但是否就這樣就完結呢?
[00:00:42.440 --> 00:00:43.960]  到了第三章下半部
[00:00:43.960 --> 00:00:45.360]  你看到黃色那堆
[00:00:45.360 --> 00:00:47.040]  到了第七章上
[00:00:47.040 --> 00:00:48.480]  其實在講一個訊息
[00:00:48.480 --> 00:00:50.760]  我們的出路是什麼?
[00:00:50.760 --> 00:00:52.600]  大聲一點
[00:00:52.600 --> 00:00:54.800]  回來了這麼久
[00:00:54.800 --> 00:00:56.880]  聽了很多堂恩順清義
[00:00:56.880 --> 00:00:59.320]  今天我們不是講恩順清義
[00:00:59.320 --> 00:01:01.760]  但是我想你留意一下
[00:01:01.760 --> 00:01:05.000]  整個羅馬書頭六章半
[00:01:05.000 --> 00:01:08.360]  其實好像保羅在講一個神學的辯論
[00:01:08.360 --> 00:01:10.000]  在寫一篇論文
[00:01:10.000 --> 00:01:13.440]  看下去你會覺得感覺很離身
[00:01:13.440 --> 00:01:17.160]  他在講一些他正在研究的課題
[00:01:17.160 --> 00:01:18.920]  保羅自己怎麼想呢?
[00:01:18.920 --> 00:01:20.080]  他有沒有情緒呢?
[00:01:20.080 --> 00:01:23.000]  他自己的生命是怎麼樣呢?
[00:01:23.000 --> 00:01:25.520]  到了第七章的下半部
[00:01:25.520 --> 00:01:26.920]  開始有轉變了
[00:01:26.920 --> 00:01:29.160]  多了很多保羅的個人反省
[00:01:29.160 --> 00:01:30.160]  七章下的時候
[00:01:30.160 --> 00:01:32.040]  他講他內心有兩個律
[00:01:32.040 --> 00:01:35.240]  一個善一個惡在打架
[00:01:35.240 --> 00:01:36.840]  他還要講得很清楚
[00:01:36.840 --> 00:01:39.840]  他說惡的律將他擄去
[00:01:39.840 --> 00:01:41.800]  叫他犯罪
[00:01:41.800 --> 00:01:43.800]  第七章二十四節這麼說
[00:01:43.800 --> 00:01:46.600]  他說我真是苦
[00:01:46.600 --> 00:01:50.600]  誰能救我脫離者取死的身體呢?
