
[00:00:00.000 --> 00:00:03.020]  在這兩個月份
[00:00:03.020 --> 00:00:08.600]  我們一同繼續領受使人得福的訊息
[00:00:08.600 --> 00:00:15.220]  使人得福 可以說我們追溯阿伯拉罕的故事
[00:00:15.220 --> 00:00:20.060]  阿伯拉罕他從神那裡得到召命
[00:00:20.060 --> 00:00:23.020]  說要去到新的地方
[00:00:23.020 --> 00:00:25.920]  是成為別人的祝福
[00:00:25.920 --> 00:00:29.920]  使人得福 自己都蒙福
[00:00:29.920 --> 00:00:33.840]  同樣初期教會的十一位使徒
[00:00:33.840 --> 00:00:36.800]  他們揀選了第十二位使徒
[00:00:36.800 --> 00:00:40.540]  瑪提亞來取代猶大的空缺之後
[00:00:40.540 --> 00:00:43.300]  他們都被聖靈充滿
[00:00:43.300 --> 00:00:46.640]  很勇敢的跑到街頭上
[00:00:46.640 --> 00:00:49.280]  傳揚神國道的福音
[00:00:49.280 --> 00:00:52.220]  講述神奇妙的作為
[00:00:52.220 --> 00:00:54.520]  使人得福
[00:00:54.520 --> 00:00:58.380]  這個都是我們一直互相勉勵
[00:00:58.380 --> 00:01:01.560]  一同繼續的去領受
[00:01:01.560 --> 00:01:03.800]  但大家有沒有想過
[00:01:03.800 --> 00:01:08.060]  我們常常都說使人得福 使人得福
[00:01:08.060 --> 00:01:12.200]  有沒有想過自己都要得福呢?
[00:01:12.200 --> 00:01:16.580]  假如一個人自己沒有得到福氣
[00:01:16.580 --> 00:01:18.440]  怎麼會有能力
[00:01:18.440 --> 00:01:22.480]  怎麼會有動力去使人得福呢?
[00:01:22.480 --> 00:01:26.020]  在今午我們就一同去領受
[00:01:26.020 --> 00:01:30.060]  從登山補訓的八福我們去領受 反省一下
[00:01:30.060 --> 00:01:35.220]  想想我們本人 我們的得福
[00:01:35.220 --> 00:01:39.160]  我們同心禱告
[00:01:39.160 --> 00:01:42.040]  親愛的主 我們一同去仰望祢
[00:01:42.040 --> 00:01:47.000]  禮拜一是我們分別開來的日子
[00:01:47.000 --> 00:01:48.540]  是聖日
[00:01:48.540 --> 00:01:50.880]  我們在祢面前休息
[00:01:50.880 --> 00:01:53.380]  在祢面前去聽道
[00:01:53.380 --> 00:01:56.640]  在祢面前讚美去感恩
[00:01:56.640 --> 00:01:59.020]  我們都跪在祢的面前
[00:01:59.020 --> 00:02:00.880]  舉起我們的手
[00:02:00.880 --> 00:02:03.280]  我們讚美祢的信實
[00:02:03.280 --> 00:02:05.320]  我們都會在祢面前
[00:02:05.320 --> 00:02:06.860]  我們繼續的立志
[00:02:06.860 --> 00:02:11.060]  我們會遵守祢給我們的律法
[00:02:11.060 --> 00:02:13.960]  我們遵行祢的話語
[00:02:13.960 --> 00:02:16.800]  祢的話語是何等的重要
[00:02:16.800 --> 00:02:19.040]  是我們生命的糧
[00:02:19.040 --> 00:02:20.100]  主啊
[00:02:20.100 --> 00:02:24.380]  我們一同去仰望祢 求祢賜下天上的馬拿
[00:02:24.380 --> 00:02:26.540]  讓我們吃得飽足
[00:02:26.540 --> 00:02:28.640]  讓我們生命有力
[00:02:28.640 --> 00:02:30.720]  讓我們使人得福
[00:02:30.720 --> 00:02:32.680]  自己也得福
[00:02:32.680 --> 00:02:33.620]  主啊
[00:02:33.620 --> 00:02:35.580]  我們一同去仰望祢
[00:02:35.580 --> 00:02:36.820]  我們的禱告
[00:02:36.820 --> 00:02:39.420]  是奉主耶穌基督的名字求
[00:02:39.420 --> 00:02:42.060]  Amen
[00:02:42.060 --> 00:02:43.360]  在這些年間
[00:02:43.360 --> 00:02:44.660]  我們看見
[00:02:44.660 --> 00:02:48.700]  越來越多的年輕的一代
[00:02:48.700 --> 00:02:51.660]  他們拒絕基督教
[00:02:51.660 --> 00:02:55.000]  拒絕教會
[00:02:55.000 --> 00:02:58.880]  當我們和一些年輕人聊天的時候
[00:02:58.880 --> 00:03:03.420]  他們表示他們不信任教會
[00:03:03.420 --> 00:03:04.380]  很明顯的
[00:03:04.380 --> 00:03:06.880]  他們只是不信任教會
[00:03:06.880 --> 00:03:08.920]  他們沒有說不信神
[00:03:08.920 --> 00:03:11.580]  他們也沒有說要拒絕神
[00:03:11.580 --> 00:03:14.420]  他們只是感覺到沒有興趣
[00:03:14.420 --> 00:03:16.960]  真的沒有興趣去教會裡面
[00:03:16.960 --> 00:03:20.100]  去追尋信仰
[00:03:20.100 --> 00:03:22.500]  為甚麼會這樣呢?
[00:03:22.500 --> 00:03:24.160]  當我們問他們的時候
[00:03:24.160 --> 00:03:31.440]  他們說教會成為了社會當中負面的力量
[00:03:31.440 --> 00:03:35.080]  教會被看為偽善
[00:03:35.080 --> 00:03:39.280]  和不關心人的一些機構
[00:03:39.280 --> 00:03:42.080]  是一個establishment
[00:03:42.080 --> 00:03:47.060]  最後一個形容詞是不關心人
[00:03:47.060 --> 00:03:51.960]  這是一個最具指控性的說法
[00:03:51.960 --> 00:03:54.600]  他們都認為
[00:03:54.600 --> 00:03:56.060]  社會
[00:03:56.060 --> 00:03:58.460]  教會沒有去理會社會
[00:03:58.460 --> 00:04:01.740]  也沒有去理會他們這一代人
[00:04:01.740 --> 00:04:04.540]  面對社會當中眾多的挑戰
[00:04:04.540 --> 00:04:07.280]  教會是漠不關心
[00:04:07.280 --> 00:04:11.540]  教會只是集中處理內裡的問題
[00:04:11.540 --> 00:04:15.780]  只是集中自己生存的問題
[00:04:15.780 --> 00:04:17.360]  換言之
[00:04:17.360 --> 00:04:19.860]  我們似乎是不關心人
[00:04:19.860 --> 00:04:22.920]  不關心年輕的一代
[00:04:22.920 --> 00:04:25.000]  沒有使人得福
[00:04:25.000 --> 00:04:29.360]  沒有使年輕的一代得福
[00:04:29.360 --> 00:04:31.060]  在不少的層面
[00:04:31.060 --> 00:04:33.540]  不少的方面
[00:04:33.540 --> 00:04:37.140]  這些二十多歲的年輕人
[00:04:37.140 --> 00:04:42.580]  或者他們說的評語都有道理
[00:04:42.580 --> 00:04:46.520]  或者我們似乎都可能要聽聽他們的批評
[00:04:46.520 --> 00:04:49.420]  要接受他們的批評
[00:04:49.420 --> 00:04:52.720]  我們不是越來越少關心
[00:04:52.720 --> 00:04:56.120]  在街外的人的需要嗎?
[00:04:56.120 --> 00:04:58.920]  我們是不是越來越沒興趣
[00:04:58.920 --> 00:05:03.500]  向周圍的人去傳福音?
[00:05:03.500 --> 00:05:07.400]  我們不關心他們,所以我們不傳福音?
[00:05:07.400 --> 00:05:10.360]  我們聽聽我們的報道會
[00:05:10.360 --> 00:05:11.940]  我們報道會人數
[00:05:11.940 --> 00:05:13.740]  如果是目者提醒一下的時候
[00:05:13.740 --> 00:05:15.040]  就會多些
[00:05:15.040 --> 00:05:16.400]  邀請多些新人
[00:05:16.400 --> 00:05:18.980]  如果不提醒一下
[00:05:18.980 --> 00:05:21.840]  我們都沒什麼興趣,沒什麼心力
[00:05:21.840 --> 00:05:23.980]  去邀請街外的人
[00:05:23.980 --> 00:05:25.480]  我們周圍的朋友
[00:05:25.480 --> 00:05:28.120]  來去聽福音
[00:05:28.120 --> 00:05:33.560]  這個似乎是教會的現況
[00:05:33.560 --> 00:05:34.720]  但是
[00:05:34.720 --> 00:05:39.560]  其實這個不是一直以來的情況
[00:05:39.560 --> 00:05:41.360]  在耶穌基督開始的時候
[00:05:41.360 --> 00:05:44.000]  耶穌基督是叫他的門徒
[00:05:44.000 --> 00:05:46.440]  叫跟隨他的人要愛倫捨
[00:05:46.440 --> 00:05:48.700]  關心那些有需要的人
[00:05:48.700 --> 00:05:50.280]  在幾百年前
[00:05:50.280 --> 00:05:52.940]  醫院是基督徒的修道院
[00:05:52.940 --> 00:05:55.640]  所首先開始的
[00:05:55.640 --> 00:05:58.340]  在修道院的修士
[00:05:58.340 --> 00:06:00.120]  他們打開他們自己的家
[00:06:00.120 --> 00:06:01.920]  成為醫院
[00:06:01.920 --> 00:06:04.420]  他們打開他們家門口
[00:06:04.420 --> 00:06:06.560]  接待那些陌生的人
[00:06:06.560 --> 00:06:07.920]  接待有需要的人
[00:06:07.920 --> 00:06:09.060]  給他們愛心
[00:06:09.060 --> 00:06:10.160]  給他們食物
[00:06:10.160 --> 00:06:12.160]  給他們有住宿的地方
[00:06:12.160 --> 00:06:15.600]  給他們有醫治、有照顧
[00:06:15.600 --> 00:06:17.140]  在很多的世紀
[00:06:17.140 --> 00:06:22.240]  教會是建立醫院、學校和大學
[00:06:22.240 --> 00:06:25.740]  所以一見到這些醫院、學校、大學
[00:06:25.740 --> 00:06:29.920]  大家就會聯想到這些是基督教的工作
[00:06:29.920 --> 00:06:35.220]  這個是斷定了我們基督徒的身份
[00:06:35.220 --> 00:06:36.680]  這個其實
