
[00:00:00.000 --> 00:00:04.500]  現在想帶你回去看剛才我們看過的兩張聖經
[00:00:04.500 --> 00:00:07.480]  剛才那兩張聖經真的很難弄
[00:00:07.480 --> 00:00:11.200]  難弄因為很多很多仔細的東西
[00:00:11.200 --> 00:00:16.500]  你怎可以不明白究竟層次是怎樣做的呢
[00:00:16.500 --> 00:00:18.700]  我用了一個方法
[00:00:18.700 --> 00:00:24.020]  當然我坐下來看了很久才弄成這樣
[00:00:24.020 --> 00:00:26.360]  這是我自己創造出來的
[00:00:26.360 --> 00:00:27.680]  希望可行
[00:00:27.680 --> 00:00:34.280]  就是將剛才那兩張聖經看成一個舞台劇
[00:00:34.280 --> 00:00:36.460]  當你將它變成舞台劇的時候
[00:00:36.460 --> 00:00:40.600]  你會發覺它每一件事都有一個共同的背景
[00:00:40.600 --> 00:00:45.900]  背景就是在米家的屋裏面
[00:00:45.900 --> 00:00:49.480]  即是每一場戲都是在米家的屋裏面
[00:00:49.480 --> 00:00:55.180]  於是我們用這個題目叫做在米家的屋子裏
[00:00:55.180 --> 00:00:58.240]  有五個五幕戲
[00:00:58.240 --> 00:01:01.860]  而在五幕戲裏面所有的東西都是急轉直下的
[00:01:01.860 --> 00:01:04.500]  越來越差
[00:01:04.500 --> 00:01:06.160]  只不過這次我們不是在講史詩
[00:01:06.160 --> 00:01:08.840]  我們是在講祭司
[00:01:08.840 --> 00:01:11.280]  那哪五幕戲呢
[00:01:11.280 --> 00:01:12.980]  第一幕
[00:01:12.980 --> 00:01:17.120]  家庭偶像雕刻著城
[00:01:17.120 --> 00:01:20.460]  即是在家裏面自己做了一些偶像出來
[00:01:20.460 --> 00:01:21.320]  第二
[00:01:21.320 --> 00:01:22.920]  建立神殿
[00:01:22.920 --> 00:01:24.200]  安納兒子
[00:01:24.200 --> 00:01:26.580]  而且他不單是在家裏自己做了一些偶像
[00:01:26.580 --> 00:01:29.960]  將家裏變成了一個神殿
[00:01:29.960 --> 00:01:31.940]  在城裏面
[00:01:31.940 --> 00:01:36.120]  他還安納了自己的兒子做祭司
[00:01:36.120 --> 00:01:37.320]  第三
[00:01:37.320 --> 00:01:40.640]  利美少年承接祭司
[00:01:40.640 --> 00:01:44.460]  其實他的兒子可不可以做祭司呢
[00:01:44.460 --> 00:01:45.160]  不可以的
[00:01:45.160 --> 00:01:47.320]  因為你一定要利美
[00:01:47.320 --> 00:01:48.420]  於是找到利美
[00:01:48.420 --> 00:01:50.520]  上帝幫他帶領
[00:01:50.520 --> 00:01:52.520]  找了一個忠臣畢業的
[00:01:52.520 --> 00:01:54.520]  於是就可以做牧師
[00:01:54.520 --> 00:01:57.460]  就叫他承接了祭司
[00:01:57.460 --> 00:01:59.460]  然後
[00:01:59.460 --> 00:02:03.960]  這個小子被誕發而身價急升
[00:02:03.960 --> 00:02:05.960]  你看不看到
[00:02:05.960 --> 00:02:07.960]  你看到整個事情的發展
[00:02:07.960 --> 00:02:09.960]  最後神殿搬遷
[00:02:09.960 --> 00:02:11.960]  叛亂擴大
[00:02:11.960 --> 00:02:13.960]  我想你開始get到這個idea
[00:02:13.960 --> 00:02:15.960]  開始的時候當然衰了
[00:02:15.960 --> 00:02:17.960]  怎麼可以做偶像呢
[00:02:17.960 --> 00:02:19.960]  但之後這個偶像變成了神殿
[00:02:19.960 --> 00:02:21.960]  然後安納了自己的兒子做祭司
[00:02:21.960 --> 00:02:23.960]  然後找了利美來
[00:02:23.960 --> 00:02:25.960]  搞大它
[00:02:25.960 --> 00:02:29.960]  利美被誕一個支派發現了
[00:02:29.960 --> 00:02:31.960]  於是搞得更大
[00:02:31.960 --> 00:02:33.960]  不如你做我們整個支派的
[00:02:33.960 --> 00:02:35.960]  祭司
[00:02:35.960 --> 00:02:37.960]  然後誕找到一個新的地方
[00:02:37.960 --> 00:02:39.960]  在這個新的地方
[00:02:39.960 --> 00:02:41.960]  建了一個神殿
[00:02:41.960 --> 00:02:43.960]  整個事情
[00:02:43.960 --> 00:02:45.960]  不斷急轉直下
[00:02:45.960 --> 00:02:47.960]  中間
[00:02:47.960 --> 00:02:49.960]  加了兩個呼喊
[00:02:49.960 --> 00:02:51.960]  There is no king in Israel
[00:02:51.960 --> 00:02:53.960]  在以色列人當中
[00:02:53.960 --> 00:02:55.960]  沒有王
[00:02:55.960 --> 00:02:57.960]  我現在想和你
[00:02:57.960 --> 00:02:59.960]  很快地看每一幕
