
[00:00:00.000 --> 00:00:02.000]  今天信徒服辱崇拜
[00:00:02.000 --> 00:00:04.000]  我想透過兩位聖經人物
[00:00:04.000 --> 00:00:08.000]  被耶穌尋找而尋見的經歷
[00:00:08.000 --> 00:00:10.000]  跟大家體會一下
[00:00:10.000 --> 00:00:12.000]  上帝在我們的生命當中
[00:00:12.000 --> 00:00:15.000]  可以做出翻天覆地的改變
[00:00:15.000 --> 00:00:19.000]  不知道大家再重溫自己的信主
[00:00:19.000 --> 00:00:22.000]  到現在有沒有一些翻天覆地
[00:00:22.000 --> 00:00:26.000]  或者怎樣為之翻天覆地的改變
[00:00:26.000 --> 00:00:29.000]  這兩個人身體各有限制
[00:00:29.000 --> 00:00:31.000]  一個就是盲人
[00:00:31.000 --> 00:00:32.000]  他看不到東西
[00:00:32.000 --> 00:00:40.000]  所以他的生活只可以靠做黑衣生活
[00:00:40.000 --> 00:00:42.000]  另外一位就是財主
[00:00:42.000 --> 00:00:44.000]  他的身形很矮小
[00:00:44.000 --> 00:00:46.000]  所以人多的時候
[00:00:46.000 --> 00:00:51.000]  他會被群眾阻擋著他的視線
[00:00:51.000 --> 00:00:53.000]  看不到前方
[00:00:53.000 --> 00:00:58.000]  這兩個人遇見耶穌的時候
[00:00:58.000 --> 00:01:01.000]  耶穌準備進入耶路撒冷
[00:01:01.000 --> 00:01:03.000]  他所選的路程就是
[00:01:03.000 --> 00:01:07.000]  經過耶利哥再到達目的地
[00:01:07.000 --> 00:01:09.000]  靠近耶利哥的時候
[00:01:09.000 --> 00:01:11.000]  已經有很多人圍著耶穌
[00:01:11.000 --> 00:01:15.000]  當地一位盲人的黑衣
[00:01:15.000 --> 00:01:16.000]  他雖然看不到
[00:01:16.000 --> 00:01:19.000]  但他聽覺很靈敏
[00:01:19.000 --> 00:01:23.000]  他聽得出有很多人經過
[00:01:23.000 --> 00:01:24.000]  他問什麼事
[00:01:24.000 --> 00:01:28.000]  群眾告訴他是拿撒勒人耶穌經過
[00:01:28.000 --> 00:01:31.000]  那有什麼辦法可以去到耶穌面前呢
[00:01:31.000 --> 00:01:32.000]  我又看不到
[00:01:32.000 --> 00:01:34.000]  於是這位盲人的黑衣
[00:01:34.000 --> 00:01:37.000]  就用呼喊的方式
[00:01:37.000 --> 00:01:40.000]  希望引起耶穌的注意
[00:01:40.000 --> 00:01:43.000]  盲人就是第一個人物
