
[00:00:00.000 --> 00:00:03.800]  今日和大家分享的一個題目是警醒
[00:00:03.800 --> 00:00:06.300]  今天和大家分享的題目是警醒
[00:00:06.300 --> 00:00:08.500]  好像這個題目一樣 聰明一點
[00:00:08.500 --> 00:00:13.300]  好像這個題目一樣 我們要聰明一點
[00:00:13.300 --> 00:00:16.800]  剛才我們看到主席他讀了一段經文
[00:00:16.800 --> 00:00:20.600]  剛才我們看到主席所頒領我們所念的那一段經文
[00:00:20.600 --> 00:00:23.600]  是在彼得前書那裡來的
[00:00:23.600 --> 00:00:25.300]  是在彼得前書
[00:00:25.300 --> 00:00:28.800]  那彼得前書的背景究竟是講什麼的呢
[00:00:28.800 --> 00:00:31.600]  彼得前書的背景究竟是講什麼的呢
[00:00:31.600 --> 00:00:34.800]  彼得前書是講的 講的那樣東西就是說
[00:00:34.800 --> 00:00:39.400]  那些基督徒在羅馬帝國的一個逼迫的時代裡面
[00:00:39.400 --> 00:00:41.500]  彼得前書所說的背景就是
[00:00:41.500 --> 00:00:47.200]  基督徒在被逼迫 羅馬帝國時代被逼迫的環境
[00:00:47.200 --> 00:00:50.000]  在這個逼迫的困境裡面
[00:00:50.000 --> 00:00:52.900]  在這個被逼迫的困境裡
[00:00:52.900 --> 00:00:55.400]  使徒彼得就要去鼓勵他們
[00:00:55.400 --> 00:00:58.900]  使徒彼得就要去鼓勵他們
[00:00:58.900 --> 00:01:00.500]  鼓勵他們什麼呢
[00:01:00.500 --> 00:01:02.200]  鼓勵他們什麼呢
[00:01:02.200 --> 00:01:05.300]  鼓勵他們縱使在這個困境裡面
[00:01:05.300 --> 00:01:07.900]  鼓勵他們縱使在這個困境裡面
[00:01:07.900 --> 00:01:11.100]  他們仍然有一個很活潑的盼望
[00:01:11.100 --> 00:01:13.300]  他們仍然有一個很活潑的盼望
[00:01:13.300 --> 00:01:16.100]  活潑就是一種有生命的盼望
[00:01:16.100 --> 00:01:20.100]  活潑就是一種有生命的盼望
[00:01:20.100 --> 00:01:24.600]  在這種困境裡面仍然有一種受苦的心志
[00:01:24.600 --> 00:01:28.200]  在這種困境裡面仍然有一個受苦的心志
[00:01:28.200 --> 00:01:32.300]  你縱使受苦
[00:01:32.300 --> 00:01:37.300]  還要效法主耶穌基督的榜樣
