
[00:00:00.000 --> 00:00:03.760]  在一個一號風球的早上
[00:00:03.760 --> 00:00:08.680]  有一個人叫做Kelly小子
[00:00:08.680 --> 00:00:11.240]  這個Kelly小子
[00:00:11.240 --> 00:00:14.520]  他在一個一號風球的早上
[00:00:14.520 --> 00:00:17.920]  他膽子粗粗的帶著女朋友
[00:00:17.920 --> 00:00:21.840]  去赤柱租一輛風帆
[00:00:21.840 --> 00:00:23.640]  他只有理論
[00:00:23.640 --> 00:00:25.280]  就沒有實際的
[00:00:25.280 --> 00:00:27.440]  麻煩一個powerpoint
[00:00:27.440 --> 00:00:31.440]  李麗珊那些是滑浪風帆
[00:00:31.440 --> 00:00:33.240]  這些是風帆
[00:00:33.240 --> 00:00:36.320]  這個Kelly小子就帶著女朋友租左舷船
[00:00:36.320 --> 00:00:39.040]  就好像左上角的船那樣
[00:00:39.040 --> 00:00:40.560]  照理論懂得駕駛
[00:00:40.560 --> 00:00:42.160]  就駕駛得很好
[00:00:42.160 --> 00:00:43.520]  因為風帆
[00:00:43.520 --> 00:00:45.360]  說真的它的速度
[00:00:45.360 --> 00:00:47.040]  是用大自然去帶動
[00:00:47.040 --> 00:00:48.440]  如果玩過的
[00:00:48.440 --> 00:00:49.360]  吃到風
[00:00:49.360 --> 00:00:51.960]  它比快艇更快
[00:00:51.960 --> 00:00:53.600]  好了 因為有理論
[00:00:53.600 --> 00:00:55.160]  就租一船出
[00:00:55.160 --> 00:00:56.880]  由於那天是甚麼
[00:00:56.880 --> 00:00:58.480]  一號風球
[00:00:58.480 --> 00:01:00.920]  所以Kelly小子就以他的理論
[00:01:00.920 --> 00:01:02.040]  為甚麼有當時的理論
[00:01:02.040 --> 00:01:03.440]  講一些背景
[00:01:03.440 --> 00:01:05.520]  因為他的弟弟經常玩
[00:01:05.520 --> 00:01:07.000]  他經常看聽
[00:01:07.000 --> 00:01:07.800]  以為很容易
[00:01:07.800 --> 00:01:09.080]  他就去了
[00:01:09.080 --> 00:01:10.720]  所以他那天帶著女朋友
[00:01:10.720 --> 00:01:13.040]  跟他分享這些好東西下去
[00:01:13.040 --> 00:01:14.080]  由於他沒有經驗
[00:01:14.080 --> 00:01:14.920]  一號風球
[00:01:14.920 --> 00:01:18.120]  風都頗大
[00:01:18.120 --> 00:01:19.640]  浪都有點急
[00:01:19.640 --> 00:01:20.600]  所以他很容易
[00:01:20.600 --> 00:01:21.640]  揸一揸
[00:01:21.640 --> 00:01:23.880]  就好像由左上角去到右上角
[00:01:23.880 --> 00:01:25.640]  嘩 聲聲下
[00:01:25.640 --> 00:01:26.720]  砰一聲
[00:01:26.720 --> 00:01:28.080]  船就反了
[00:01:28.080 --> 00:01:29.400]  就好像反了點
[00:01:29.400 --> 00:01:31.040]  就好像左下角那樣
[00:01:31.040 --> 00:01:32.600]  就要將在船底
[00:01:32.600 --> 00:01:33.680]  又未翻水
[00:01:33.680 --> 00:01:35.000]  找一塊板
[00:01:35.000 --> 00:01:36.080]  搖一搖
[00:01:36.080 --> 00:01:38.600]  船就會搖上來
[00:01:38.600 --> 00:01:39.440]  很神奇
[00:01:39.440 --> 00:01:40.600]  玩過的人很精彩
[00:01:40.600 --> 00:01:41.240]  未玩
[00:01:41.240 --> 00:01:43.440]  我鼓勵大家去玩一下
[00:01:43.440 --> 00:01:44.600]  那麼
[00:01:44.600 --> 00:01:46.320]  Kelly小子就
[00:01:46.320 --> 00:01:47.640]  用他自己的己力
[00:01:47.640 --> 00:01:48.560]  就去
[00:01:48.560 --> 00:01:49.640]  翻上來
[00:01:49.640 --> 00:01:50.960]  接著又再拖著
[00:01:50.960 --> 00:01:52.800]  他的女朋友再上船
[00:01:52.800 --> 00:01:54.560]  玩不夠十五秒之後
[00:01:54.560 --> 00:01:55.760]  砰一聲
[00:01:55.760 --> 00:01:57.760]  又翻一次
[00:01:57.760 --> 00:01:59.040]  那麼如是者
[00:01:59.040 --> 00:02:00.680]  下了一點點雨
[00:02:00.680 --> 00:02:01.640]  大風
[00:02:01.640 --> 00:02:02.320]  翻了
[00:02:02.320 --> 00:02:03.600]  是不是翻一次
[00:02:03.600 --> 00:02:04.360]  三四次
[00:02:04.360 --> 00:02:04.800]  五六次
[00:02:04.800 --> 00:02:05.920]  七八次
[00:02:05.920 --> 00:02:06.480]  嘩
[00:02:06.480 --> 00:02:07.640]  他當時
[00:02:07.640 --> 00:02:09.360]  每一次翻
[00:02:09.360 --> 00:02:10.920]  他都用很多他的己力
[00:02:10.920 --> 00:02:12.960]  就硬扶著船
[00:02:12.960 --> 00:02:14.600]  但是壓得多
[00:02:14.600 --> 00:02:15.400]  都沒有力
[00:02:15.400 --> 00:02:16.560]  累了
[00:02:16.560 --> 00:02:18.720]  又有自己風高浪急
[00:02:18.720 --> 00:02:20.360]  當時
[00:02:20.360 --> 00:02:22.640]  他就開始抖了
