
[00:00:00.000 --> 00:00:04.500]  《人生旅途的祝福》詩篇一百三十四篇。
[00:00:04.500 --> 00:00:07.500]  我一齊先讀呢一篇嘅詩篇先。
[00:00:07.500 --> 00:00:12.500]  我一齊讀,係打出嚟嘅,就係呢個嘅華本嘅修訂本。
[00:00:12.500 --> 00:00:17.500]  同大家嘅揭開嘅聖經呢,多咗句字,「來」呢個字。
[00:00:17.500 --> 00:00:29.000]  「來,稱頌耶和華,夜間侍納在耶和華殿中,耶和華的僕人,當向聖所舉手,稱頌耶和華,
[00:00:29.000 --> 00:00:34.000]  願造天地的耶和華,扶錫安賜福給你們。」
[00:00:34.000 --> 00:00:36.500]  三節咁短嘅經文。
[00:00:36.500 --> 00:00:39.500]  但係亦都係一個好寶貴嘅經文。
[00:00:39.500 --> 00:00:42.500]  係一首祝福嘅詩篇。
[00:00:42.500 --> 00:00:45.500]  我哋已經讀完咗上行嘅詩集呀。
[00:00:45.500 --> 00:00:55.500]  詩篇有一段,有一部分嘅詩,十五首嘅詩篇。
[00:00:55.500 --> 00:01:02.000]  從一百二十到一百三十四首,合稱為「上行詩集」。
[00:01:02.000 --> 00:01:11.500]  咁就,第一個部分呢,就係第一,第一二零一二一一二二嘅三首啦。
[00:01:11.500 --> 00:01:19.500]  喺一個嘅朝聖者呀,出發之前,上路之前呢,就向前,向上石窿望。
[00:01:19.500 --> 00:01:24.500]  但係佢又不禁回頭望一望佢嘅家園,一二零一二一一二二。
[00:01:24.500 --> 00:01:28.500]  大家記得一二零一二一一二,記唔記得,我講過啲乜嘢嘢。
[00:01:28.500 --> 00:01:35.500]  離開之前,佢諗到呀,屋企裏面有啲人呀,有宿怨嘅。
[00:01:35.500 --> 00:01:39.500]  佢想佢有和平,佢又唔願佢和解,等等。
[00:01:39.500 --> 00:01:42.500]  呢個嘅宿怨,其實佢係想消除嘅。
[00:01:42.500 --> 00:01:45.500]  有啲嘅糾紛,佢想擺平嘅。
[00:01:45.500 --> 00:01:48.500]  但係佢知道前程,在神嘅手裏面。
[00:01:48.500 --> 00:01:55.500]  因為佢嘅幫助從耶和華而來,於是佢向山舉目,向住石安嘅群山嗰度進發啦。
[00:01:55.500 --> 00:01:58.500]  一二零一二一一二二三篇。
[00:01:58.500 --> 00:02:04.500]  跟住呢,就向上看喎,佢已經嚟到石安啦,進入嚟到撒冷啦。
[00:02:04.500 --> 00:02:08.500]  行入咗個城門,向住聖殿嗰度進發啦。
[00:02:08.500 --> 00:02:17.500]  同行當中,有好多一齊同路嘅神經兒女,兄弟姊妹,就一齊向住呢個聖殿嗰度進發。
[00:02:17.500 --> 00:02:19.500]  佢敬拜上帝。
[00:02:19.500 --> 00:02:22.500]  佢去到聖殿,佢要舉目仰望。
[00:02:22.500 --> 00:02:28.500]  但佢舉目仰望嘅時候,佢回顧到喺路途上面,經歷咗好多嘅風險呀,係咪呀?
[00:02:28.500 --> 00:02:39.500]  嘩!又山洪暴發,又要過河遇溺,又要跌落山崖,又要有強盜喺路中打劫,又有野獸。
[00:02:39.500 --> 00:02:47.500]  好危險嘅,就經歷咗好多嘅風險,但係佢知道呢,佢喺呢度,佢要知道呢,神對佢嘅保守。
[00:02:47.500 --> 00:02:57.500]  好似石安屏山環同石安一樣,耶和華照樣嘅咁圍捧我哋,環捧住我哋,一百二十五篇。
[00:02:57.500 --> 00:03:10.500]  神佢記唔記得?然後,就向周圍看喎,向呢個嘅家國,向社會,向家庭,兒女,向佢嘅工作,向佢嘅敵人咁樣睇。
[00:03:10.500 --> 00:03:14.500]  佢祝福家國,知道神會保守。
