
[00:00:00.000 --> 00:00:03.680]  - 姐妹平安! - 弟兄姐妹平安!
[00:00:03.680 --> 00:00:08.080]  - 今天已經是年初六了 - 今天是年初六
[00:00:08.080 --> 00:00:12.760]  不知道大家在這個農曆新年假期裏面做了些什麼呢?
[00:00:12.760 --> 00:00:16.560]  不知道大家在農曆新年假期裏面做了什麼呢?
[00:00:16.560 --> 00:00:18.680]  經歷了些什麼開心事呢?
[00:00:18.680 --> 00:00:20.960]  經歷了什麼開心的事呢?
[00:00:20.960 --> 00:00:26.760]  那大家覺得過這個農曆新年令你最開心的是些什麼呢?
[00:00:26.760 --> 00:00:30.920]  那大家覺得過這個農曆新年令你最開心的是些什麼呢?
[00:00:30.920 --> 00:00:33.800]  小朋友或者年輕人可能會說
[00:00:33.800 --> 00:00:35.160]  當然是逗利是
[00:00:35.160 --> 00:00:39.680]  小孩或者是年輕人可能會說拿紅包
[00:00:39.680 --> 00:00:44.120]  成年人就可能說有幾天假期可以休息一下或者去旅行
[00:00:44.120 --> 00:00:49.120]  成年人可能是有幾天假期可以去旅行或者休息一下
[00:00:49.120 --> 00:00:53.800]  或者有些人就會說可以吃到很多美食
[00:00:53.800 --> 00:00:56.720]  或者有人說可以吃到很多美食
[00:00:56.720 --> 00:00:59.480]  我因為幾年都不在香港
[00:00:59.480 --> 00:01:01.440]  我幾年也不在香港
[00:01:01.440 --> 00:01:07.240]  今年是第一年跟家人和親戚一起過農曆年
[00:01:07.240 --> 00:01:12.680]  今年是第一年跟親戚或者家人在香港過農曆年
[00:01:12.680 --> 00:01:14.600]  所以出席了不少的飯局
[00:01:14.600 --> 00:01:17.400]  所以出席了不少的飯局
[00:01:17.400 --> 00:01:22.560]  開始的時候吃到好吃的菜都會有些幸福的感覺
[00:01:22.560 --> 00:01:27.080]  開始的時候吃到好吃的菜都會有些幸福的感覺
[00:01:27.080 --> 00:01:30.080]  因為畢竟我都吃了五年的韓國菜
[00:01:30.080 --> 00:01:32.320]  畢竟我也吃了五年的韓國菜
[00:01:32.320 --> 00:01:34.240]  終於可以吃到香港的菜了
[00:01:34.240 --> 00:01:36.480]  終於可以吃到香港的菜了
[00:01:36.480 --> 00:01:39.040]  連續幾天出席飯局之後
[00:01:39.040 --> 00:01:41.600]  連續幾天出席飯局之後
[00:01:41.600 --> 00:01:44.360]  每一餐都吃到飽到不得了
[00:01:44.360 --> 00:01:46.440]  每一頓飯也吃到非常飽
[00:01:46.440 --> 00:01:49.720]  感覺每次都吃到快想吐
[00:01:49.720 --> 00:01:52.760]  感覺每次都吃到快想吐
