
[00:00:00.000 --> 00:00:01.660]  頂姐妹 大家好
[00:00:01.660 --> 00:00:03.900]  願我們一起在上帝的面前
[00:00:03.900 --> 00:00:06.400]  預備我們的心去聆聽祂的說話
[00:00:06.400 --> 00:00:07.600]  去敬拜祂
[00:00:07.600 --> 00:00:08.560]  我們一起禱告吧
[00:00:08.560 --> 00:00:11.900]  天父我們感謝祢賜賀祢的華語
[00:00:11.900 --> 00:00:14.000]  也讓我們能夠在這個地方
[00:00:14.000 --> 00:00:15.800]  有一起聚集
[00:00:15.800 --> 00:00:17.200]  敬拜祢的時間
[00:00:17.200 --> 00:00:18.900]  求天父上帝
[00:00:18.900 --> 00:00:21.200]  讓我們能夠謙卑在祢面前
[00:00:21.200 --> 00:00:23.100]  放下我們自己
[00:00:23.100 --> 00:00:25.000]  對所有事物的成見
[00:00:25.000 --> 00:00:26.300]  對人的成見
[00:00:26.300 --> 00:00:28.300]  在祢面前
[00:00:28.600 --> 00:00:30.500]  去聆聽上帝
[00:00:30.500 --> 00:00:32.400]  去交出自己
[00:00:32.400 --> 00:00:33.700]  多謝祢
[00:00:33.700 --> 00:00:35.600]  我們祈禱奉耶穌的聖名
[00:00:35.600 --> 00:00:36.700]  阿門
[00:00:36.700 --> 00:00:38.800]  在疫情之前
[00:00:38.800 --> 00:00:40.400]  教會有一個音樂茶座聚會
[00:00:40.400 --> 00:00:41.100]  有沒有人知道?
[00:00:41.100 --> 00:00:42.400]  OK
[00:00:42.400 --> 00:00:45.600]  我們都是透過欣賞懷舊歌曲
[00:00:45.600 --> 00:00:47.500]  引導一些未信主的朋友
[00:00:47.500 --> 00:00:49.100]  去思考人生
[00:00:49.100 --> 00:00:50.000]  認識福音
[00:00:50.000 --> 00:00:53.400]  茶座曾經分享過一首舊歌
[00:00:53.400 --> 00:00:56.500]  叫《難為正邪定婚嫁》
[00:00:56.500 --> 00:00:57.600]  有沒有人聽過這首歌?
[00:00:58.600 --> 00:00:59.100]  哦
[00:00:59.100 --> 00:00:59.600]  OK
[00:00:59.600 --> 00:01:00.900]  大家暴露了自己的年齡
[00:01:00.900 --> 00:01:03.600]  是鄭國剛填詞的
[00:01:03.600 --> 00:01:04.300]  很有意思
[00:01:04.300 --> 00:01:06.500]  這首歌
[00:01:06.500 --> 00:01:09.100]  特別在於正邪在對唱
[00:01:09.100 --> 00:01:10.600]  唱法也很特別
[00:01:10.600 --> 00:01:11.400]  有沒有印象呢?
[00:01:11.400 --> 00:01:14.900]  演繹邪惡的那一方唱
