
[00:00:00.000 --> 00:00:02.440]  今天的題目是應節的
[00:00:02.440 --> 00:00:04.880]  沒理由過年年初二不說也不應節
[00:00:04.880 --> 00:00:07.360]  農年無福 田主人
[00:00:07.360 --> 00:00:13.880]  這七個字的重點在哪裡呢
[00:00:13.880 --> 00:00:16.920]  重點當然不是農年
[00:00:16.920 --> 00:00:23.720]  農年我們經常覺得每一年有個生肖
[00:00:23.720 --> 00:00:26.880]  不知為何農是特別厲害的
[00:00:26.880 --> 00:00:28.640]  可能因為我熟農
[00:00:28.640 --> 00:00:35.120]  糟糕 出賣了我年紀
[00:00:35.120 --> 00:00:37.760]  因為可能農十二生肖之中
[00:00:37.760 --> 00:00:43.000]  農可以說是天上的動物
[00:00:43.000 --> 00:00:46.160]  其他的全部你都見過
[00:00:46.160 --> 00:00:48.000]  農真的沒見過
[00:00:48.000 --> 00:00:53.800]  可能人們覺得農是很厲害
[00:00:53.800 --> 00:00:55.560]  但這個重點不在這裡
[00:00:55.560 --> 00:00:58.400]  重點是福字
[00:00:58.400 --> 00:01:00.000]  還有「因」字
[00:01:00.000 --> 00:01:01.960]  福和因
[00:01:01.960 --> 00:01:05.440]  這就是我們今天講到的重點
[00:01:05.440 --> 00:01:10.720]  「因」和「福」這兩個字是一個名詞
[00:01:10.720 --> 00:01:13.080]  英文來說有很多名詞
[00:01:13.080 --> 00:01:15.680]  這叫抽象的名詞
[00:01:15.680 --> 00:01:16.400]  教你英文
[00:01:16.400 --> 00:01:17.560]  Abstract Nouns
[00:01:17.560 --> 00:01:18.840]  為何叫抽象
[00:01:18.840 --> 00:01:20.880]  你數不出來
[00:01:20.880 --> 00:01:24.480]  我不可以說一個福 兩個福 三個福
[00:01:24.480 --> 00:01:27.960]  不可以用計數機計出來
[00:01:27.960 --> 00:01:29.560]  「我給你一個福」
[00:01:29.560 --> 00:01:31.880]  就是剛才詩詩在門口
[00:01:31.880 --> 00:01:34.920]  派一個福字那張紙給你的
[00:01:34.920 --> 00:01:42.160]  真正的福氣不是可以計算的
[00:01:42.160 --> 00:01:43.000]  「因」也是
[00:01:43.000 --> 00:01:45.120]  上帝的「因典」
[00:01:45.120 --> 00:01:45.960]  很厲害
[00:01:45.960 --> 00:01:47.120]  又長又闊又高
[00:01:47.120 --> 00:01:48.560]  又甚丹犀
[00:01:48.560 --> 00:01:50.360]  有多少「因典」
[00:01:50.360 --> 00:01:51.400]  有多少「量」
[00:01:51.400 --> 00:01:52.640]  有多少「斤」
[00:01:52.640 --> 00:01:54.640]  不可以衡量到
[00:01:54.640 --> 00:01:57.120]  是抽象的名詞
[00:01:57.120 --> 00:01:58.440]  但因為這麼抽象
[00:01:58.440 --> 00:02:00.400]  我們有時很難明白
[00:02:00.400 --> 00:02:01.240]  我們先講「因」
[00:02:01.240 --> 00:02:02.360]  「因」字是簡單的
[00:02:02.360 --> 00:02:04.360]  「因」是
[00:02:04.360 --> 00:02:05.680]  英文是GRACE
[00:02:05.680 --> 00:02:08.240]  「因」是FAVOUR
[00:02:08.240 --> 00:02:10.560]  即是有些事我幫你做些事
[00:02:10.560 --> 00:02:12.960]  英文有些人會問你
[00:02:12.960 --> 00:02:14.360]  Can you do me a favour
[00:02:14.360 --> 00:02:15.240]  聽過嗎
[00:02:15.240 --> 00:02:17.760]  即是你可不可以幫我做些事
[00:02:17.760 --> 00:02:19.520]  即是沒有酬勞的
[00:02:19.520 --> 00:02:20.680]  我沒有回報的
[00:02:20.680 --> 00:02:23.120]  不過就是你可不可以幫我做些事
[00:02:23.120 --> 00:02:24.000]  是囉是囉
[00:02:24.000 --> 00:02:25.000]  就是我的車壞了
[00:02:25.000 --> 00:02:26.080]  你幫我修 沒電了
[00:02:26.080 --> 00:02:27.280]  我修好它就停止了
[00:02:27.280 --> 00:02:29.040]  Do me a favour
[00:02:29.040 --> 00:02:30.120]  即是你明白
[00:02:30.120 --> 00:02:31.520]  我沒打算付錢給你
[00:02:31.520 --> 00:02:32.520]  不過你幫我做
[00:02:32.520 --> 00:02:35.680]  是一個無條件
[00:02:35.680 --> 00:02:37.520]  就是上帝的愛
[00:02:37.520 --> 00:02:39.800]  一個無條件的愛的「因典」
[00:02:39.800 --> 00:02:40.960]  這個就是「因」
[00:02:40.960 --> 00:02:42.000]  如果要計算的
[00:02:42.000 --> 00:02:43.440]  要回報的
[00:02:43.440 --> 00:02:44.640]  要跟你斤斤計較
[00:02:44.640 --> 00:02:46.040]  那些就不是「因」
[00:02:46.040 --> 00:02:47.320]  一定不是
[00:02:47.320 --> 00:02:51.680]  「因」原文的字就是CHARIS
[00:02:51.680 --> 00:02:53.240]  即是希臘文
[00:02:53.240 --> 00:02:54.360]  CHARIS
[00:02:54.360 --> 00:02:56.760]  C-H-A-R-I-S
[00:02:56.760 --> 00:02:58.400]  這個名字好像很熟悉
[00:02:58.400 --> 00:02:59.200]  為甚麼
[00:02:59.200 --> 00:03:02.160]  在哪裏聽過呢
[00:03:02.160 --> 00:03:03.880]  就是Sweeney那麼多的牧師之中
[00:03:03.880 --> 00:03:06.760]  最厲害的香港牧師的名字
[00:03:06.760 --> 00:03:07.760]  就是CHARIS
[00:03:07.760 --> 00:03:09.080]  其實是讀CHARIS的
[00:03:09.080 --> 00:03:11.280]  如果希臘文就讀CHARIS
[00:03:11.280 --> 00:03:12.680]  計算CHI-SQUARE
[00:03:12.680 --> 00:03:13.240]  記不記得
[00:03:13.240 --> 00:03:14.720]  記得計算過數
[00:03:14.720 --> 00:03:16.680]  CHI-SQUARE CH是計算的
[00:03:16.680 --> 00:03:19.760]  即是CHARITY那個字
[00:03:19.760 --> 00:03:20.920]  即是慈善
[00:03:20.920 --> 00:03:25.160]  都是那個字出來的
[00:03:25.160 --> 00:03:27.280]  即是你捐錢給慈善
[00:03:27.280 --> 00:03:28.800]  即是慈善穿錢給
[00:03:28.800 --> 00:03:29.960]  你是不計較
[00:03:29.960 --> 00:03:31.960]  不打算回報
[00:03:31.960 --> 00:03:34.320]  所以那些人都說三院籌款
[00:03:34.320 --> 00:03:35.880]  又說好心得好報
[00:03:35.880 --> 00:03:36.840]  福有悠歸那些
[00:03:36.840 --> 00:03:38.240]  其實只是騙你的
[00:03:38.240 --> 00:03:39.280]  你給了出去
[00:03:39.280 --> 00:03:40.920]  沒有打算要回報
[00:03:40.920 --> 00:03:43.720]  而且又沒有人用把槍指著你拿出來
[00:03:43.720 --> 00:03:47.000]  是你自願出於愛
[00:03:47.000 --> 00:03:49.480]  上帝的「因典」就是這樣
[00:03:49.480 --> 00:03:53.000]  是一個無條件的愛
[00:03:53.000 --> 00:03:55.880]  就是以法所書二章八節說得很清楚
[00:03:55.880 --> 00:03:57.880]  今天為甚麼我們得救
[00:03:57.880 --> 00:03:58.920]  大家很熟悉
[00:03:58.920 --> 00:04:03.600]  我們得救不是因為我們做了甚麼好事
[00:04:03.600 --> 00:04:04.800]  我們得救是本乎「因」
[00:04:04.800 --> 00:04:05.840]  「因著信」
[00:04:05.840 --> 00:04:07.960]  本乎上帝的「因典」
