
[00:00:00.000 --> 00:00:03.440]  看回學明她的生命的改變
[00:00:03.440 --> 00:00:04.800]  其實源於甚麼呢?
[00:00:04.800 --> 00:00:08.640]  源於有弟兄姊妹肯給她機會
[00:00:08.640 --> 00:00:10.960]  源於有目者肯來關心她
[00:00:10.960 --> 00:00:14.480]  有一班基督徒願意進入她的監獄裏面
[00:00:14.480 --> 00:00:15.920]  去向她傳福音
[00:00:15.920 --> 00:00:18.960]  去讓她感受到神的愛是多麼真實
[00:00:18.960 --> 00:00:21.720]  這個正正就是為福音的精神
[00:00:21.720 --> 00:00:23.800]  寬恕和接納
[00:00:23.800 --> 00:00:25.680]  今天跟大家分享這段經文
[00:00:25.680 --> 00:00:27.360]  其實是一封信
[00:00:27.360 --> 00:00:30.640]  寶羅寫給了一個人叫做肥利門
[00:00:30.640 --> 00:00:34.680]  這個肥利門他本身相信是一個挺有錢的人
[00:00:34.680 --> 00:00:38.360]  因為他擁有一個奴隸叫做阿尼西謀
[00:00:38.360 --> 00:00:43.160]  這個阿尼西謀的名字有個意思
[00:00:43.160 --> 00:00:45.080]  就是有益的意思
[00:00:45.080 --> 00:00:49.160]  但是這個有益偏偏對著肥利門
[00:00:49.160 --> 00:00:51.080]  做了一些沒有益的事情
[00:00:51.080 --> 00:00:56.240]  就是他似乎偷了他主人的一些財產
[00:00:56.240 --> 00:00:58.080]  然後逃走了
[00:00:58.080 --> 00:00:59.680]  當他逃走的時候
[00:00:59.680 --> 00:01:02.200]  他輾轉逃亡的時候
[00:01:02.200 --> 00:01:03.600]  就遇到寶羅
[00:01:03.600 --> 00:01:06.680]  寶羅知道他是屬於肥利門的時候
[00:01:06.680 --> 00:01:08.400]  就寫了這封信
[00:01:08.400 --> 00:01:12.760]  希望肥利門重新接納阿尼西謀
[00:01:12.760 --> 00:01:13.720]  簡單地說
[00:01:13.720 --> 00:01:16.920]  這封信是一封求情信
[00:01:16.920 --> 00:01:22.320]  求情信希望肥利門網開一面
[00:01:22.320 --> 00:01:25.120]  為什麼要寫這封求情信呢?
