
[00:00:00.000 --> 00:00:04.580]  各位弟兄姊妹平安,我是劉少康牧師
[00:00:04.580 --> 00:00:12.120]  非常高興能夠透過網上和各位一同來討論信仰的問題
[00:00:12.120 --> 00:00:17.720]  禱告,好像我們每一個人都會
[00:00:17.720 --> 00:00:22.220]  但是當仔細去想一想的時候
[00:00:22.220 --> 00:00:27.320]  有時我們又覺得,哎,我不會禱告
[00:00:27.320 --> 00:00:32.200]  禱告好像又可以,又好像很難
[00:00:32.200 --> 00:00:36.200]  到底怎麼樣來學禱告呢?
[00:00:36.200 --> 00:00:39.200]  禱告可以學習的嘛
[00:00:39.200 --> 00:00:44.200]  那就讓我們去翻開聖經來看
[00:00:44.200 --> 00:00:48.700]  耶穌當祂在地上的時候
[00:00:48.700 --> 00:00:54.200]  祂就教導祂的門徒去禱告
[00:00:54.200 --> 00:01:00.200]  耶穌也自己立了一個非常好的榜樣
[00:01:00.200 --> 00:01:04.200]  通常都是清早的時候,一大早的時候
[00:01:04.200 --> 00:01:08.200]  祂就跑到曠野去禱告
[00:01:08.200 --> 00:01:13.200]  禱告以後祂回來就見到祂的學生
[00:01:13.200 --> 00:01:16.200]  那些學生都對祂說了
[00:01:16.200 --> 00:01:21.200]  求禰教導我們禱告
[00:01:21.200 --> 00:01:30.200]  這個是記載在《路加福音》第十一章第一到第二這兩節聖經裏面
[00:01:30.200 --> 00:01:38.200]  因爲那個施洗約翰,他也教導他的學生去禱告
[00:01:38.200 --> 00:01:46.200]  所以耶穌的學生很自然的就要求耶穌也教導他們禱告
[00:01:46.200 --> 00:01:51.200]  結果耶穌就把一個禱告的模範
[00:01:51.200 --> 00:01:57.200]  一個禱告的榜樣跟他的學生來講
[00:01:57.200 --> 00:02:03.200]  一般來說我們就叫這個是主禱文
[00:02:03.200 --> 00:02:08.200]  其實這個名詞好像有點誤導我們
[00:02:08.200 --> 00:02:12.200]  因爲那就是主的禱告嘛
[00:02:12.200 --> 00:02:17.200]  其實有人說這個應該叫做門徒的禱告
[00:02:17.200 --> 00:02:24.200]  是主耶穌祂教導我們該怎麼樣去禱告
[00:02:24.200 --> 00:02:31.200]  這段的主禱文分別記載在兩轉的福音書裏面
[00:02:31.200 --> 00:02:40.200]  第一個是記載在《馬太福音》第六章第九到十五節裏面
[00:02:40.200 --> 00:02:44.200]  另外一段就是剛纔我提過的
[00:02:44.200 --> 00:02:50.200]  在《路加福音》第十一章開頭那幾節聖經裏面
[00:02:50.200 --> 00:02:54.200]  就記載了主禱文
[00:02:54.200 --> 00:02:59.200]  所以今天我很想跟各位來分享的就是
