
[00:00:00.000 --> 00:00:04.100]  能夠見到大家是一件很開心的事情
[00:00:04.100 --> 00:00:08.900]  希望以後可以時時相聚
[00:00:08.900 --> 00:00:12.100]  我們都相信復活
[00:00:12.100 --> 00:00:13.900]  但復活之後
[00:00:13.900 --> 00:00:17.900]  我們會有一個怎樣的外貌呢?
[00:00:17.900 --> 00:00:21.600]  不同的人有不同的想像
[00:00:21.600 --> 00:00:23.900]  譬如頭髮不多的人
[00:00:23.900 --> 00:00:25.300]  他可能會想
[00:00:25.300 --> 00:00:31.700]  復活之後應該有一頭蓬勃的頭髮
[00:00:31.700 --> 00:00:35.000]  身體很瘦弱的人可能會想
[00:00:35.000 --> 00:00:42.400]  復活之後應該有體操運動員的身形
[00:00:42.400 --> 00:00:44.600]  至於我其貌不揚
[00:00:44.600 --> 00:00:45.700]  我就在想
[00:00:45.700 --> 00:00:49.600]  復活之後最好應該像高牧師
[00:00:49.600 --> 00:00:50.900]  氣宇軒昂
[00:00:50.900 --> 00:00:53.400]  不過他今天不在
[00:00:53.400 --> 00:00:56.400]  我們很難想像復活之後
[00:00:56.400 --> 00:00:58.700]  禿頭的仍然禿頭
[00:00:58.700 --> 00:01:00.800]  殘缺的仍然殘缺
[00:01:00.800 --> 00:01:05.600]  其貌不揚的仍然其貌不揚
[00:01:05.600 --> 00:01:10.300]  曾經在以色列特拉維夫的海邊
[00:01:10.300 --> 00:01:12.700]  我遇到一個老伯伯
[00:01:12.700 --> 00:01:15.900]  他在看海
[00:01:15.900 --> 00:01:18.000]  我在看他
[00:01:18.000 --> 00:01:23.500]  因為他的手臂上刻著一系列的數字
[00:01:23.500 --> 00:01:25.000]  很明顯
[00:01:25.000 --> 00:01:33.100]  這是二戰時期德國納粹刻在他身上的一個標記
[00:01:33.100 --> 00:01:35.800]  他應該入過集中營
[00:01:35.800 --> 00:01:39.700]  他有過不尋常的苦難的經驗
[00:01:39.700 --> 00:01:42.100]  在天堂
[00:01:42.100 --> 00:01:44.000]  我想
[00:01:44.000 --> 00:01:45.600]  我只是在想
[00:01:45.600 --> 00:01:47.500]  復活的他
[00:01:47.500 --> 00:01:49.900]  最想移除的
[00:01:49.900 --> 00:01:54.200]  應該就是手上的這個苦難的標記
[00:01:54.200 --> 00:01:57.200]  這是一個苦難的標記
[00:01:57.200 --> 00:01:59.200]  不過又或者
[00:01:59.200 --> 00:02:01.700]  他最不想移除的
[00:02:01.700 --> 00:02:04.300]  正正就是這個標記
[00:02:04.300 --> 00:02:05.800]  他的苦難
[00:02:05.800 --> 00:02:08.400]  刻著著他的記憶
[00:02:08.400 --> 00:02:11.200]  琢磨了他的一生
[00:02:11.200 --> 00:02:12.400]  他的這個記號
[00:02:12.400 --> 00:02:16.600]  包藏著他的存在裏面最神聖的奧秘
[00:02:16.600 --> 00:02:17.900]  或者
[00:02:17.900 --> 00:02:20.700]  這就是他生命裏面向世人展示的
[00:02:20.700 --> 00:02:24.400]  最寶貴的歷史的痕跡
[00:02:24.400 --> 00:02:26.100]  耶穌呢?
[00:02:26.100 --> 00:02:30.300]  當耶穌復活的時候會是怎樣的呢?
[00:02:30.300 --> 00:02:32.600]  聖經是有記載的
[00:02:32.600 --> 00:02:34.700]  我們今日福音書的經課
[00:02:34.700 --> 00:02:40.000]  《路加福音》第24章第36至第43節
[00:02:40.000 --> 00:02:41.800]  經文這樣記載
[00:02:41.800 --> 00:02:43.500]  「正說者話的時候
[00:02:43.500 --> 00:02:46.200]  耶穌親自站在他們當中說
[00:02:46.200 --> 00:02:48.200]  願你們平安
[00:02:48.200 --> 00:02:50.500]  他們卻是驚慌害怕
