
[00:00:00.000 --> 00:00:03.240]  對於當時的貼薩諾利加信徒來說
[00:00:03.240 --> 00:00:07.760]  當時他們面對的問題是有三個很重要的問題
[00:00:07.760 --> 00:00:13.280]  過去幾個星期我們一起和大家看過他們面對的兩個問題
[00:00:13.280 --> 00:00:14.800]  這兩個問題是什麼問題呢?
[00:00:14.800 --> 00:00:21.520]  就是從迫害者和假教師而帶給他們的困難和挑戰
[00:00:21.520 --> 00:00:26.360]  今天我們通過今天的經文和大家看看
[00:00:26.360 --> 00:00:29.000]  當時教會面對的第三個問題
[00:00:29.000 --> 00:00:30.000]  這是什麼問題呢?
[00:00:30.000 --> 00:00:33.800]  這個問題就是有一班不按規矩而行
[00:00:33.800 --> 00:00:37.600]  也不聽從教訓的信徒
[00:00:37.600 --> 00:00:43.760]  今天在第六節
[00:00:43.760 --> 00:00:46.640]  保羅要求貼薩諾利加的信徒
[00:00:46.640 --> 00:00:49.760]  不要和一些不按規矩而行
[00:00:49.760 --> 00:00:54.400]  和不遵守教訓的人有密切的交往
[00:00:54.400 --> 00:00:56.520]  我們會覺得很奇怪
[00:00:56.520 --> 00:00:58.400]  保羅不是一直在說愛嗎?
[00:00:58.400 --> 00:01:01.600]  經常鼓勵弟兄姊妹彼此相愛嗎?
[00:01:01.600 --> 00:01:04.160]  為什麼他在這裡要發出一個命令
[00:01:04.160 --> 00:01:08.560]  似乎和愛的教導有很衝突
[00:01:08.560 --> 00:01:11.680]  很不一致的命令呢?
[00:01:11.680 --> 00:01:14.080]  我們看第十到第十二節
[00:01:14.080 --> 00:01:15.400]  這裡說到一個原因
[00:01:15.400 --> 00:01:17.960]  原因就是因為當時教會裡面
[00:01:17.960 --> 00:01:19.840]  有一些不肯做事
[00:01:19.840 --> 00:01:26.360]  反倒要其他教會裡面的弟兄姊妹來供養他們
[00:01:26.360 --> 00:01:28.440]  大家留意不僅如此
[00:01:28.440 --> 00:01:32.960]  他們閒著沒有事做的時候
[00:01:32.960 --> 00:01:34.000]  怎樣呢?
[00:01:34.000 --> 00:01:36.960]  專管閒事
[00:01:36.960 --> 00:01:38.760]  大家要留意
[00:01:38.760 --> 00:01:42.600]  保羅不是第一次提出這個問題
[00:01:42.600 --> 00:01:44.320]  如果我們看第十節的話
[00:01:44.320 --> 00:01:47.800]  其實之前保羅已經很嚴厲地吩咐他們
[00:01:47.800 --> 00:01:50.960]  如果有人不肯做事
[00:01:50.960 --> 00:01:52.440]  就不要吃飯
[00:01:52.440 --> 00:01:54.200]  請大家留意這裡
[00:01:54.200 --> 00:01:57.720]  保羅並不是說那些因為健康
[00:01:57.720 --> 00:02:00.400]  或者其他合理的原因
[00:02:00.400 --> 00:02:02.560]  而不能做事的人
[00:02:02.560 --> 00:02:04.120]  保羅這裡所指的人
[00:02:04.120 --> 00:02:06.080]  是一些他們本身有能力
[00:02:06.080 --> 00:02:09.280]  但是卻拒絕不肯做事的人
[00:02:09.280 --> 00:02:12.280]  你會說為什麼教會裡面
[00:02:12.280 --> 00:02:14.720]  竟然會有一些不肯做事的人呢?
[00:02:14.720 --> 00:02:17.080]  是不是這班人懶呢?
[00:02:17.080 --> 00:02:20.760]  或者是這班人受了當時的欺凌文化
[00:02:20.760 --> 00:02:26.400]  他們是看不起體力勞動的觀念所影響呢?
[00:02:26.400 --> 00:02:29.360]  這兩個可能性都有的
[00:02:29.360 --> 00:02:34.000]  不過更加被人廣泛接納的原因
[00:02:34.000 --> 00:02:37.000]  是因為當時的信徒相信主耶穌
[00:02:37.000 --> 00:02:40.080]  保羅不是說過主耶穌就快回來了嗎?
[00:02:40.080 --> 00:02:41.120]  所以他們認為
[00:02:41.120 --> 00:02:44.160]  既然如果主耶穌將要回來的時候
[00:02:44.160 --> 00:02:48.160]  為什麼還要這麼辛苦今天來做事呢?
[00:02:48.160 --> 00:02:48.760]  為什麼呢?
[00:02:48.760 --> 00:02:51.560]  因為他們覺得無論今天怎麼努力
[00:02:51.560 --> 00:02:54.960]  他們在地上所積聚的財富
[00:02:54.960 --> 00:02:57.080]  當主耶穌回來的時候
[00:02:57.080 --> 00:02:59.080]  就變得沒有意義了
[00:02:59.080 --> 00:03:01.240]  這是一個大家都很明白
[00:03:01.240 --> 00:03:03.680]  很簡單的邏輯推論
[00:03:03.680 --> 00:03:07.160]  不過聖經怎麼說的呢?
[00:03:07.160 --> 00:03:09.480]  在我們上個星期的講道內容
[00:03:09.480 --> 00:03:11.080]  如果大家記得的話
[00:03:11.080 --> 00:03:12.600]  我們上個星期講到什麼?
[00:03:12.600 --> 00:03:15.400]  我們講到教會其中一個很重要的責任
[00:03:15.400 --> 00:03:18.400]  就是將神的話語傳揚開去
[00:03:18.400 --> 00:03:20.400]  而今天的經文告訴我們
[00:03:20.400 --> 00:03:24.400]  信徒的責任不單止是要將神的話語傳揚開去
[00:03:24.400 --> 00:03:29.760]  更加重要的是要遵守、遵行神的話語
[00:03:29.760 --> 00:03:33.560]  關於主耶穌基督回來之前
[00:03:33.560 --> 00:03:36.880]  我們在這個地上需要做些什麼呢?
[00:03:36.880 --> 00:03:40.360]  聖經的教導其實相當的清晰
[00:03:40.360 --> 00:03:45.120]  在希伯來書的作者提醒信徒
[00:03:45.120 --> 00:03:48.880]  他叫信徒要彼此相顧
[00:03:48.880 --> 00:03:51.680]  激發愛心、勉勵行善
[00:03:51.680 --> 00:03:54.720]  如果我們既然知道主耶穌就要回來的時候
[00:03:54.720 --> 00:03:58.040]  我們就更當如此
[00:03:58.040 --> 00:04:01.400]  而保羅在哥倫多前書也提醒我們
[00:04:01.400 --> 00:04:03.400]  一定要堅固、不要動搖
[00:04:03.400 --> 00:04:07.480]  我們要常常竭力、多做主公
[00:04:07.480 --> 00:04:12.640]  因為知道我們的奴婦在主裡面並不徒然
[00:04:12.640 --> 00:04:19.640]  說到在主裡面要多做主公
[00:04:19.640 --> 00:04:22.520]  我不知道大家怎麼看工作
[00:04:22.520 --> 00:04:25.240]  你們對工作有什麼看法呢?
[00:04:25.240 --> 00:04:28.240]  有一次一群男人在聊天
[00:04:28.240 --> 00:04:30.560]  那群男人裡面有牧師
[00:04:30.560 --> 00:04:33.920]  聊著聊著就說到退休的事情
[00:04:33.920 --> 00:04:35.080]  其中一個就說
[00:04:35.080 --> 00:04:37.360]  我一輩子都這樣做
[00:04:37.360 --> 00:04:38.640]  我已經跟我老婆說了
[00:04:38.640 --> 00:04:40.200]  當我一退休的時候
[00:04:40.200 --> 00:04:45.560]  我要每天所有時間都坐在沙發上看電視
[00:04:45.560 --> 00:04:47.160]  不要搞我
[00:04:47.160 --> 00:04:50.520]  那些男人見到這個偉論之後
[00:04:50.520 --> 00:04:52.520]  個個都安靜了,沒有出聲
[00:04:52.520 --> 00:04:54.520]  牧師最後出聲
[00:04:54.520 --> 00:04:57.280]  如果你這樣做的時候
[00:04:57.280 --> 00:04:58.720]  大概一年之後
[00:04:58.720 --> 00:05:00.720]  你連命都沒有
[00:05:00.720 --> 00:05:02.080]  這個人就瞪大眼睛
[00:05:02.080 --> 00:05:03.120]  牧師怎樣怎樣
[00:05:03.120 --> 00:05:04.280]  為什麼你這樣說
[00:05:04.280 --> 00:05:05.240]  牧師就說
[00:05:05.240 --> 00:05:08.480]  如果你這個沒有目標的生活
[00:05:08.480 --> 00:05:10.920]  不首先殺了你的話
[00:05:10.920 --> 00:05:14.240]  你的老婆也會殺了你
[00:05:14.240 --> 00:05:16.880]  沒錯有些人是會不喜歡工作的
[00:05:16.880 --> 00:05:19.360]  但是我可以告訴大家
[00:05:19.360 --> 00:05:23.160]  健康的生活必須要有工作
[00:05:23.160 --> 00:05:25.960]  我的輔導經驗告訴我們
[00:05:25.960 --> 00:05:29.200]  一個沒有好好心理準備的退休生活
[00:05:29.200 --> 00:05:33.760]  其實是每一個人的一個很大的危機
[00:05:33.760 --> 00:05:35.000]  為什麼
[00:05:35.000 --> 00:05:39.040]  很多時候不單是身體會出現某些問題
[00:05:39.040 --> 00:05:43.280]  或者你精神、心理都會出現不同的毛病
