
[00:00:00.000 --> 00:00:04.160]  上星期我們看到誓堂傳第二章教會的開始
[00:00:04.160 --> 00:00:07.040]  教會的見證的開始
[00:00:07.040 --> 00:00:08.360]  那怎樣見證呢?
[00:00:08.360 --> 00:00:13.400]  其實不是馬上到處很多地方傳道
[00:00:13.400 --> 00:00:15.400]  固然這個是的
[00:00:15.400 --> 00:00:18.400]  後來我們看見福音就從耶路撒冷
[00:00:18.400 --> 00:00:21.680]  猶太傳遞 撒瑪利亞直到地極
[00:00:21.680 --> 00:00:25.960]  一路誓堂傳記載福音一直的推廣
[00:00:25.960 --> 00:00:28.200]  但一開始教會的見證是透過什麼呢?
[00:00:28.200 --> 00:00:30.360]  是透過教會的生活
[00:00:30.360 --> 00:00:33.600]  所以當教會的生活撥出來的時候
[00:00:33.600 --> 00:00:36.720]  就有很多人認識到
[00:00:36.720 --> 00:00:39.000]  原來真是有一位救主
[00:00:39.000 --> 00:00:40.680]  有一位真神
[00:00:40.680 --> 00:00:43.640]  聖經裡面記載在第二章結束的時候
[00:00:43.640 --> 00:00:49.840]  祂說神就將得救的人天天交給教會
[00:00:49.840 --> 00:00:55.080]  所以這是一個很美滿的信徒生活的開始
[00:00:55.080 --> 00:00:57.320]  成為一種見證
[00:00:57.320 --> 00:01:02.040]  讓我們都能夠在這段短短經文記載
[00:01:02.040 --> 00:01:05.720]  第二章形容初期教會的生活
[00:01:05.720 --> 00:01:08.960]  這種美滿的教會生活裡面
[00:01:08.960 --> 00:01:11.600]  我們努力去實踐活出來
[00:01:11.600 --> 00:01:15.920]  以致我們都能夠好像初期的教會一樣
[00:01:15.920 --> 00:01:19.240]  見證到神的信實和奇妙
[00:01:19.240 --> 00:01:25.160]  也都享受其中這種美好的教會的生活
[00:01:25.160 --> 00:01:28.160]  在第二章的四十二到四十七節
[00:01:28.160 --> 00:01:29.800]  我們應該不會陌生的經文
[00:01:29.800 --> 00:01:34.400]  我們今天再重新來溫習、學習
[00:01:34.400 --> 00:01:36.880]  以及繼續努力追求
[00:01:36.880 --> 00:01:39.640]  四十一節是上次說到的
[00:01:39.640 --> 00:01:42.800]  於是領受他話的人就受了洗
[00:01:42.800 --> 00:01:47.280]  那一天門徒約添了多少?
[00:01:47.280 --> 00:01:48.800]  三千人
[00:01:48.800 --> 00:01:53.280]  你記得最初從十幾個人開始
[00:01:53.280 --> 00:01:57.480]  記得嗎?耶穌和門徒和瑪利亞
[00:01:57.480 --> 00:02:00.040]  一些初期開始的門徒十幾個人
[00:02:00.040 --> 00:02:05.640]  後來到了多少人?記不記得?
[00:02:05.640 --> 00:02:07.000]  不是七十
[00:02:07.000 --> 00:02:07.880]  事後的第一章
[00:02:07.880 --> 00:02:10.480]  我們的記憶力好像一般般
[00:02:10.480 --> 00:02:13.000]  上個星期說完了
[00:02:13.000 --> 00:02:19.040]  一百二十人聚集在萬安樓祈禱
[00:02:19.040 --> 00:02:23.080]  所以十幾個人在蚊蟻教會
[00:02:23.080 --> 00:02:26.920]  然後一百二十人就開始聚集在蚊蟻教會
[00:02:26.920 --> 00:02:29.880]  然後忽然間門徒大增
[00:02:29.880 --> 00:02:32.880]  因為彼得全講末世的信息
