
[00:00:00.000 --> 00:00:03.640]  七位天父!我們一羣熟悉禰的子孫女女
[00:00:03.640 --> 00:00:06.380]  聚集在禰的殿當中
[00:00:06.380 --> 00:00:11.280]  神下請禰引導我們的心
[00:00:11.280 --> 00:00:17.000]  在禰的話語裏得着慰讓、得着飽足
[00:00:17.000 --> 00:00:18.760]  也都得着提升
[00:00:18.760 --> 00:00:23.280]  我們再一次將我們自己的恭敬擺在禰的面前
[00:00:23.280 --> 00:00:27.000]  主,求禰的靈親自引導
[00:00:27.000 --> 00:00:29.960]  感謝禰!祈禱奉耶穌基督的聖名
[00:00:29.960 --> 00:00:30.840]  阿們!
[00:00:30.840 --> 00:00:31.920]  多介紹我一點
[00:00:31.920 --> 00:00:34.240]  我是一個很多興趣的人
[00:00:34.240 --> 00:00:37.080]  其中有一個興趣就是看YouTube
[00:00:37.080 --> 00:00:39.480]  大家有興趣看YouTube嗎?
[00:00:39.480 --> 00:00:44.000]  YouTube裏面其中有些是才藝比賽
[00:00:44.000 --> 00:00:45.640]  就是鬥唱歌那些
[00:00:45.640 --> 00:00:47.320]  大家有沒有看過?
[00:00:47.320 --> 00:00:48.800]  我很喜歡看
[00:00:48.800 --> 00:00:50.400]  有一次偶然發現
[00:00:50.400 --> 00:00:54.320]  原來韓國也有這類的比賽
[00:00:54.320 --> 00:00:59.240]  有個年輕人的樣子
[00:00:59.240 --> 00:01:02.600]  看起來像個包包一樣
[00:01:02.600 --> 00:01:04.680]  怎麼看都沒有什麼特色
[00:01:04.680 --> 00:01:07.320]  評判問他你做什麼工作
[00:01:07.320 --> 00:01:09.120]  他說打散工
[00:01:09.120 --> 00:01:12.200]  請問什麼叫打散工?
[00:01:12.200 --> 00:01:14.520]  就是沒有固定工作
[00:01:14.520 --> 00:01:17.080]  其中一個評判看到他的報名表上
[00:01:17.080 --> 00:01:19.560]  填家人的那一欄是空白的
[00:01:19.560 --> 00:01:22.280]  評判就問他爲什麼你那裏是空白的
[00:01:22.280 --> 00:01:25.240]  這個男子就回應說他3歲的時候
[00:01:25.240 --> 00:01:27.600]  就被人送進了孤兒院
[00:01:27.600 --> 00:01:30.920]  5歲的時候在孤兒院裏被欺凌
[00:01:30.920 --> 00:01:33.280]  所以他就偷走了出去
[00:01:33.280 --> 00:01:38.000]  從此10年他就自己一個人過日子
[00:01:38.000 --> 00:01:40.720]  哇!容易嗎?
[00:01:40.720 --> 00:01:42.120]  很不容易啊
[00:01:42.120 --> 00:01:43.400]  那他怎麼生活?
[00:01:43.400 --> 00:01:46.920]  他就是靠賣香口膠或者一些飲品
[00:01:46.920 --> 00:01:48.640]  去生活的
[00:01:48.640 --> 00:01:55.960]  5歲開始就自己想辦法生活
[00:01:55.960 --> 00:01:59.120]  大家看到他睡的地方是什麼地方?
[00:01:59.120 --> 00:02:01.440]  樓梯底或者是公廁
[00:02:01.440 --> 00:02:03.240]  那他有沒有讀過書呢?
[00:02:03.240 --> 00:02:06.160]  他有的,但是沒有進過學校
[00:02:06.160 --> 00:02:09.960]  他小學和中學都是靠自己去學
[00:02:09.960 --> 00:02:13.120]  然後投報那些叫做公開考試
[00:02:13.120 --> 00:02:16.720]  去得到認可的
[00:02:16.720 --> 00:02:21.480]  去到高中才是他第一間入學的學校
[00:02:21.480 --> 00:02:24.240]  哇!很不簡單啊
[00:02:24.240 --> 00:02:28.120]  於是其中的評判問你今天來表演什麼?
[00:02:28.120 --> 00:02:29.640]  他說表演唱歌
[00:02:29.640 --> 00:02:31.240]  接着回答多一句
[00:02:31.240 --> 00:02:32.400]  我沒有學過的
[00:02:32.400 --> 00:02:34.600]  我說沒有學過就敢表演唱歌
[00:02:34.600 --> 00:02:35.880]  你是可以的
[00:02:35.880 --> 00:02:36.680]  OK
[00:02:36.680 --> 00:02:39.240]  接着他說
[00:02:39.240 --> 00:02:41.360]  他以前是賣香口膠的時候
[00:02:41.360 --> 00:02:45.240]  曾經去過夜店那裏賣香口膠
[00:02:45.240 --> 00:02:47.320]  他看到臺上有些歌手
[00:02:47.320 --> 00:02:49.880]  好像剛纔說的Janet
[00:02:49.880 --> 00:02:51.360]  他去表演的時候
[00:02:51.360 --> 00:02:53.360]  他覺得很着迷
[00:02:53.360 --> 00:02:55.240]  他很希望他自己有一天
[00:02:55.240 --> 00:02:58.600]  都可以成爲一個歌手
