
[00:00:00.000 --> 00:00:04.260]  保羅在他人生的晚年
[00:00:04.260 --> 00:00:06.840]  接近終局的時候
[00:00:06.840 --> 00:00:12.740]  在監獄裡寫這個菲律賓書
[00:00:12.740 --> 00:00:17.180]  深信他真的有很重要的說話
[00:00:17.180 --> 00:00:23.340]  是跟這個菲律賓教會的弟兄姊妹分享
[00:00:23.340 --> 00:00:26.200]  今天要看的經文
[00:00:26.200 --> 00:00:36.840]  這個主題實在是一個很重要的提醒
[00:00:36.840 --> 00:00:40.800]  作為基督徒 作為浸信會的信徒
[00:00:40.800 --> 00:00:45.040]  我們必須要學這個曉電的功課
[00:00:45.040 --> 00:00:48.240]  如何可以將自己的生命
[00:00:48.240 --> 00:00:51.840]  在神的恩典裡面
[00:00:51.840 --> 00:00:56.940]  我們去曉電在其他弟兄姊妹的生命的際遇上
[00:00:56.940 --> 00:00:59.840]  是一個必須要學習的功課
[00:00:59.840 --> 00:01:04.280]  因為浸信會相信信徒皆為濟世
[00:01:04.280 --> 00:01:06.880]  我們每個弟兄姊妹都在橋樑
[00:01:06.880 --> 00:01:09.040]  在人和神之間
[00:01:09.040 --> 00:01:12.940]  去提供一個讓人去同行 去經歷
[00:01:12.940 --> 00:01:16.880]  去進入到親近神的那個境況當中
[00:01:16.880 --> 00:01:18.880]  可以這麼說 每個浸信會的弟兄姊妹
[00:01:18.880 --> 00:01:23.040]  你們都要預備自己做濟世的時候
[00:01:23.040 --> 00:01:28.740]  也同時要預備自己做現在我們說的領袖
[00:01:28.740 --> 00:01:30.740]  可能你是一個很小的領袖
[00:01:30.740 --> 00:01:32.740]  只是帶領一個人
[00:01:32.740 --> 00:01:34.940]  可能你是一個很大的領袖
[00:01:34.940 --> 00:01:37.740]  帶領幾百人 幾千人 幾萬人
[00:01:37.740 --> 00:01:40.640]  無論你是大還是小
[00:01:40.640 --> 00:01:43.240]  我們必須要建立一個很健康
[00:01:43.240 --> 00:01:45.140]  很合乎神心意的
[00:01:45.140 --> 00:01:48.940]  一個做主的工人的態度 生命的態度
[00:01:48.940 --> 00:01:50.640]  一個價值
[00:01:50.640 --> 00:01:53.040]  以至我們能夠被神使用
[00:01:53.040 --> 00:01:56.240]  真的能夠榮神益人
[00:01:56.240 --> 00:01:59.740]  真的能夠讓神得著那份的喜悅
[00:01:59.740 --> 00:02:04.540]  得著那份榮耀
[00:02:04.540 --> 00:02:08.340]  人必須要活在一個群體當中
