
[00:00:00.000 --> 00:00:02.000]  各位聽眾智慧 新年蒙福
[00:00:02.000 --> 00:00:06.000]  今天和大家分享的一個講題就是
[00:00:06.000 --> 00:00:08.000]  不帶疑惑的禱告
[00:00:08.000 --> 00:00:11.000]  當我知道要講這個內容的時候
[00:00:11.000 --> 00:00:13.000]  其實對我自己來說也是一個挑戰
[00:00:13.000 --> 00:00:14.000]  因為為什麼呢
[00:00:14.000 --> 00:00:15.000]  我就去想一下
[00:00:15.000 --> 00:00:19.000]  其實不帶疑惑的禱告是什麼一回事呢
[00:00:19.000 --> 00:00:22.000]  自己的成長裡面有沒有曾經經歷過
[00:00:22.000 --> 00:00:24.000]  實踐過呢
[00:00:24.000 --> 00:00:25.000]  我發覺呢
[00:00:25.000 --> 00:00:26.000]  其實都試過
[00:00:26.000 --> 00:00:28.000]  有時候初信主報多久呢
[00:00:28.000 --> 00:00:31.000]  有些好像祈禱的句子
[00:00:31.000 --> 00:00:34.000]  就好像一個妙法那樣在影響著我
[00:00:34.000 --> 00:00:36.000]  不知道大家有沒有試過
[00:00:36.000 --> 00:00:37.000]  有沒有經歷過
[00:00:37.000 --> 00:00:39.000]  其中一個的妙法就是
[00:00:39.000 --> 00:00:43.000]  有一些頂智慧去祈禱的時候就說
[00:00:43.000 --> 00:00:45.000]  神你說過
[00:00:45.000 --> 00:00:48.000]  兩三個人一起去祈禱的時候
[00:00:48.000 --> 00:00:49.000]  你必定會聆聽的
[00:00:49.000 --> 00:00:52.000]  如果兩三個人一起聚會的時候
[00:00:52.000 --> 00:00:54.000]  你就會在我們中間的
[00:00:54.000 --> 00:00:56.000]  我自己聽到的時候
[00:00:56.000 --> 00:00:57.000]  我看到聖經有這樣講
[00:00:57.000 --> 00:00:59.000]  我自己也是這樣學習的
[00:00:59.000 --> 00:01:00.000]  早期的時候
[00:01:00.000 --> 00:01:01.000]  我們一起祈禱的時候
[00:01:01.000 --> 00:01:02.000]  有時候突然間很感動
[00:01:02.000 --> 00:01:04.000]  我都會講這句話的
[00:01:04.000 --> 00:01:06.000]  這句話也沒有錯的
[00:01:06.000 --> 00:01:09.000]  不過後來當我慢慢去認識的時候
[00:01:09.000 --> 00:01:12.000]  我發覺原來這段經文
[00:01:12.000 --> 00:01:14.000]  又不是真的說
[00:01:14.000 --> 00:01:18.000]  兩三個人在一起會靈一點
[00:01:18.000 --> 00:01:20.000]  不會靈一點的
[00:01:20.000 --> 00:01:22.000]  也都一個人祈禱
[00:01:22.000 --> 00:01:24.000]  難道不聽嗎
[00:01:24.000 --> 00:01:26.000]  難道一個人神不在我們裡面嗎
[00:01:26.000 --> 00:01:28.000]  不是這樣的
[00:01:28.000 --> 00:01:30.000]  所以我就明白了
[00:01:30.000 --> 00:01:35.000]  原來聖經裡面不是這樣講的
[00:01:35.000 --> 00:01:37.000]  但我在當中又發覺
