
[00:00:00.000 --> 00:00:02.420]  今天講到的題目是
[00:00:02.420 --> 00:00:04.060]  "鬼知你是誰"
[00:00:04.060 --> 00:00:10.560]  剛纔Fanny爲我們讀出了今天講到的經文
[00:00:10.560 --> 00:00:13.560]  我們一起看看第21節
[00:00:13.560 --> 00:00:23.120]  第21節講到他們到了加伯隆
[00:00:23.120 --> 00:00:26.580]  耶穌和一幫門徒來到加伯隆之後
[00:00:26.580 --> 00:00:30.900]  耶穌就在安息日進入會堂來教導人
[00:00:30.900 --> 00:00:33.160]  我們這裏出現了兩個地方
[00:00:33.160 --> 00:00:34.640]  一個是加伯隆
[00:00:34.640 --> 00:00:36.440]  另一個是會堂
[00:00:36.440 --> 00:00:38.180]  加伯隆是一個什麼地方呢?
[00:00:38.180 --> 00:00:41.720]  加伯隆是在加里歷海的北岸
[00:00:41.720 --> 00:00:44.220]  有個地圖
[00:00:44.220 --> 00:00:47.740]  加里歷海的北岸
[00:00:47.740 --> 00:00:49.780]  其實加伯隆是一個大鎮
[00:00:49.780 --> 00:00:54.420]  也算是一個繁盛的中心
[00:00:54.420 --> 00:00:58.060]  因爲它很靠近海或者湖
[00:00:58.060 --> 00:00:59.220]  很靠近加里歷湖
[00:00:59.220 --> 00:01:04.260]  所以當地的居民多數都是以捕魚爲生
[00:01:04.260 --> 00:01:07.020]  而耶穌早期傳到的時候
[00:01:07.020 --> 00:01:09.260]  正正就在加伯隆這個地方
[00:01:09.260 --> 00:01:11.580]  所以《馬太福音》九章第一節
[00:01:11.580 --> 00:01:16.640]  說加伯隆是耶穌自己的城
[00:01:16.640 --> 00:01:20.020]  說耶穌自己的城就是加伯隆
[00:01:20.020 --> 00:01:23.940]  反而不是說拿撒勒這個地方
[00:01:23.940 --> 00:01:25.480]  除了加伯隆之外
[00:01:25.480 --> 00:01:28.060]  另外一個就是會堂
[00:01:28.060 --> 00:01:29.780]  會堂的意思是什麼呢?
[00:01:29.780 --> 00:01:37.060]  就是聚集在一起
[00:01:37.060 --> 00:01:40.400]  原來當時在公元前六世紀
[00:01:40.400 --> 00:01:43.260]  那幫猶太人被捕到巴比倫
[00:01:43.260 --> 00:01:45.180]  巴比倫那裏沒有聖殿
[00:01:45.180 --> 00:01:46.940]  但是這幫猶太人
[00:01:46.940 --> 00:01:49.860]  他們依然想堅持着自己的信仰
[00:01:49.860 --> 00:01:51.780]  他們聚在一起
[00:01:51.780 --> 00:01:55.820]  希望一起去敬拜神,一起聆聽上帝的聲音
[00:01:55.820 --> 00:02:01.500]  所以會堂這個聚集的地方就應運而生
[00:02:01.500 --> 00:02:06.740]  成爲了猶太人聚會、敬拜、文化交流的官方場所
