
[00:00:00.000 --> 00:00:02.000]  她的女王,耶西別
[00:00:02.000 --> 00:00:08.000]  (經文告訴我們,是因為那個位高權重的君王耶西別)
[00:00:08.000 --> 00:00:10.000]  派人警告她
[00:00:10.000 --> 00:00:12.000]  (派人去警告她)
[00:00:12.000 --> 00:00:13.000]  說要拿她的命
[00:00:13.000 --> 00:00:15.000]  (要拿她的命)
[00:00:15.000 --> 00:00:19.000]  所以她很怕,就走走走走走走
[00:00:19.000 --> 00:00:21.000]  (所以她就很怕,就跑跑跑跑)
[00:00:21.000 --> 00:00:23.000]  由北邊的走到南邊
[00:00:23.000 --> 00:00:25.000]  (從北邊跑到南邊)
[00:00:25.000 --> 00:00:29.000]  由南邊的再走遠些,走入曠野
[00:00:29.000 --> 00:00:32.000]  (從南邊又再跑遠一點,走到曠野去)
[00:00:32.000 --> 00:00:35.000]  去到曠野,先知想怎樣呢?
[00:00:35.000 --> 00:00:38.000]  (去到曠野,先知想怎樣呢?)
[00:00:38.000 --> 00:00:40.000]  聖經告訴我們
[00:00:40.000 --> 00:00:43.000]  先知去到一棵羅藤樹下
[00:00:43.000 --> 00:00:46.000]  (先知到了一棵羅藤樹下)
[00:00:46.000 --> 00:00:48.000]  在那裡求死
[00:00:48.000 --> 00:00:50.000]  (在那邊求死)
[00:00:50.000 --> 00:00:56.000]  她似乎連自己都不想見
[00:00:56.000 --> 00:00:58.000]  (她似乎連自己也不想見了)
[00:00:58.000 --> 00:01:00.000]  她想死
[00:01:00.000 --> 00:01:05.000]  但是你要留意她想死的方式
[00:01:05.000 --> 00:01:08.000]  (但是你們有注意到她想死的方法嗎?)
[00:01:08.000 --> 00:01:10.000]  先知對神說
[00:01:10.000 --> 00:01:12.000]  (先知對神說)
[00:01:12.000 --> 00:01:14.000]  耶和華
[00:01:14.000 --> 00:01:15.000]  (耶和華)
[00:01:15.000 --> 00:01:16.000]  現在夠了
[00:01:16.000 --> 00:01:19.000]  (現在夠了)
[00:01:19.000 --> 00:01:21.000]  求你取我的性命
[00:01:21.000 --> 00:01:23.000]  (求你取我的性命吧)
[00:01:23.000 --> 00:01:25.000]  因為我不比我的祖先好
