
[00:00:00.000 --> 00:00:05.000]  那麼今天我希望跟大家在這個長的週末裏面思想一個很困難的問題
[00:00:05.000 --> 00:00:08.000]  這個問題叫做苦難的問題
[00:00:08.000 --> 00:00:11.000]  我相信你有兩種的不消化
[00:00:11.000 --> 00:00:14.000]  一個就是7月4號喫得太多的不消化
[00:00:14.000 --> 00:00:16.000]  今天給大家一個難題
[00:00:16.000 --> 00:00:18.000]  跟大家來看一下苦難
[00:00:18.000 --> 00:00:20.000]  在節目單的裏面那個題目是
[00:00:20.000 --> 00:00:23.000]  「突破苦難之謎」當中有一個錯的字
[00:00:23.000 --> 00:00:24.000]  請大家要描述
[00:00:24.000 --> 00:00:27.000]  在假期期間大家都忙碌
[00:00:27.000 --> 00:00:30.000]  那我希望跟大家先看主的話語
[00:00:30.000 --> 00:00:32.000]  在約伯記的第二章
[00:00:32.000 --> 00:00:35.000]  非常短的一段的經文
[00:00:35.000 --> 00:00:37.000]  卻在裏面顯露出
[00:00:37.000 --> 00:00:44.000]  約伯在兩次受到這個苦難的考驗中的反應
[00:00:44.000 --> 00:00:47.000]  第一個大家曉得就是
[00:00:47.000 --> 00:00:51.000]  撒旦開始做出這個攻擊
[00:00:51.000 --> 00:00:58.000]  讓在約伯的身上的一切外在所擁有的
[00:00:58.000 --> 00:01:02.000]  一下子就完全的沒有
[00:01:02.000 --> 00:01:04.000]  包括他的兒子
[00:01:04.000 --> 00:01:06.000]  包括他的財物
[00:01:06.000 --> 00:01:09.000]  甚至讓他在那個時候
[00:01:09.000 --> 00:01:13.000]  沒有別的只可以在神的裏面
[00:01:13.000 --> 00:01:18.000]  無言不語的來到接受這些的考驗
[00:01:18.000 --> 00:01:22.000]  第二章講到更深入的一次的考驗
[00:01:22.000 --> 00:01:25.000]  第二章的第一節到十三節
[00:01:25.000 --> 00:01:28.000]  因爲經文不長我們一起來唸
[00:01:28.000 --> 00:01:29.000]  請大家一起來
[00:01:29.000 --> 00:01:34.000]  我們要用一起閱讀神的話語的心
[00:01:34.000 --> 00:01:36.000]  領受神的祝福的心
[00:01:36.000 --> 00:01:39.000]  我們一起來唸第二章的第一節
[00:01:39.000 --> 00:01:44.000]  又有一天神的糉子來到勢利在耶華面前
[00:01:44.000 --> 00:01:47.000]  撒旦也來在其中
[00:01:47.000 --> 00:01:49.000]  耶華問撒旦說
[00:01:49.000 --> 00:01:51.000]  你從哪裏來
[00:01:51.000 --> 00:01:53.000]  撒旦回答說
[00:01:53.000 --> 00:01:57.000]  我從天上走來走去往返而來
[00:01:57.000 --> 00:01:59.000]  耶華問撒旦說
[00:01:59.000 --> 00:02:03.000]  你曾用心察看我的僕人約伯沒有
[00:02:03.000 --> 00:02:06.000]  地上再也沒有人像他完全正解
[00:02:06.000 --> 00:02:09.000]  敬畏神遠離惡事
[00:02:09.000 --> 00:02:12.000]  你雖激動我攻擊他
[00:02:12.000 --> 00:02:14.000]  無故的毀滅他
[00:02:14.000 --> 00:02:17.000]  他仍然持守他的純正
[00:02:17.000 --> 00:02:19.000]  撒旦回答耶華說
[00:02:19.000 --> 00:02:21.000]  人以皮代皮
[00:02:21.000 --> 00:02:26.000]  情願捨去一切所有的保存生命
[00:02:26.000 --> 00:02:29.000]  你卻伸手向他的骨頭和他的肉
[00:02:29.000 --> 00:02:32.000]  他必當面棄掉你
[00:02:32.000 --> 00:02:34.000]  耶華對撒旦說
[00:02:34.000 --> 00:02:38.000]  他在你手中只要傳授他的性命
[00:02:38.000 --> 00:02:41.000]  於是撒旦從耶華面前退去
[00:02:41.000 --> 00:02:47.000]  擊打約伯使他從腳腳到頭頂長毒瘡
[00:02:47.000 --> 00:02:52.000]  約伯就坐在牢灰中拿掌棍刮身體
[00:02:52.000 --> 00:02:54.000]  他的妻子對他說
[00:02:54.000 --> 00:02:57.000]  你仍然持守你的純正嗎
[00:02:57.000 --> 00:02:59.000]  你祈禱神喜樂吧
[00:02:59.000 --> 00:03:01.000]  約伯卻對他說
[00:03:01.000 --> 00:03:05.000]  你說話像愚寰的婦人一樣愛
[00:03:05.000 --> 00:03:10.000]  難道我們從神手裏得福也不受禍嗎
[00:03:10.000 --> 00:03:12.000]  在這一切的世上
[00:03:12.000 --> 00:03:15.000]  約伯並不以口犯罪
[00:03:15.000 --> 00:03:17.000]  約伯的三個朋友
[00:03:17.000 --> 00:03:19.000]  提曼人以力伐
[00:03:19.000 --> 00:03:21.000]  蘇瓦炎比拉達
[00:03:21.000 --> 00:03:23.000]  拿馬人蜀伐
[00:03:23.000 --> 00:03:25.000]  聽說有這一切的禍患
[00:03:25.000 --> 00:03:27.000]  臨到他身上
[00:03:27.000 --> 00:03:30.000]  各人就從本處約會同來
[00:03:30.000 --> 00:03:33.000]  爲他悲傷安慰他
[00:03:33.000 --> 00:03:35.000]  他們遠遠地舉目呼看
[00:03:35.000 --> 00:03:37.000]  認不出他來
[00:03:37.000 --> 00:03:39.000]  就放聲大哭
[00:03:39.000 --> 00:03:41.000]  各人撕裂外袍
[00:03:41.000 --> 00:03:44.000]  從城頭上天仰起來
[00:03:44.000 --> 00:03:46.000]  落在自己的頭上
[00:03:46.000 --> 00:03:50.000]  他們就同他七天七夜坐在地上
[00:03:50.000 --> 00:03:53.000]  一個人也不向他說句話
[00:03:53.000 --> 00:03:56.000]  因爲他極其痛苦
