
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹,平安,我們先一起祈禱
[00:00:04.000 --> 00:00:06.000]  首先我們感謝你的恩典
[00:00:06.000 --> 00:00:10.000]  使我們有這個機會可以一同聚集,敬拜你
[00:00:10.000 --> 00:00:12.000]  我們求聖靈在我們當中
[00:00:12.000 --> 00:00:16.000]  幫助我們明白經文的訊息
[00:00:16.000 --> 00:00:20.000]  幫助我們學習如何在這個世上過活
[00:00:20.000 --> 00:00:22.000]  奉耶穌基督的名祈禱
[00:00:22.000 --> 00:00:24.000]  阿們
[00:00:24.000 --> 00:00:29.000]  今天我們繼續「主必再來」系列
[00:00:29.000 --> 00:00:35.000]  使徒保羅寫了「貼薩羅尼迦前書」
[00:00:35.000 --> 00:00:39.000]  即是第一封信給「貼薩羅尼迦教會」之後
[00:00:39.000 --> 00:00:45.000]  就未曾解決到「貼薩羅尼迦」弟兄姊妹的困惑
[00:00:45.000 --> 00:00:51.000]  相反,他們繼續遇到了迫害
[00:00:51.000 --> 00:00:56.000]  以及有關「主再來」的錯誤教導
[00:00:56.000 --> 00:01:00.000]  因而產生了更多的困惑
[00:01:00.000 --> 00:01:02.000]  困惑上加困惑
[00:01:02.000 --> 00:01:09.000]  所以保羅很快就要再寫第二封信去解釋清楚了
[00:01:09.000 --> 00:01:15.000]  「貼薩羅尼迦後書」第一章就鼓勵教會
[00:01:15.000 --> 00:01:18.000]  要為天國受苦
[00:01:18.000 --> 00:01:23.000]  並且在受苦的時候要記得他們是被上主揀選
[00:01:23.000 --> 00:01:26.000]  是配得上帝角度的
[00:01:26.000 --> 00:01:32.000]  並且要記得上帝是公義的審判者
[00:01:32.000 --> 00:01:39.000]  迫害他們的人將來一定是會受到應得的懲罰
[00:01:39.000 --> 00:01:45.000]  而屬天國的人就一定是會得到平反的
[00:01:45.000 --> 00:01:49.000]  第二章,今天我們的經文
[00:01:49.000 --> 00:01:54.000]  保羅就是要處理有人在教會裏面傳揚說
[00:01:54.000 --> 00:01:57.000]  「主耶穌已經來了」
[00:01:57.000 --> 00:02:02.000]  甚至竟然有人冒了保羅的名字
[00:02:02.000 --> 00:02:04.000]  寫信給教會
[00:02:04.000 --> 00:02:09.000]  說「主的日子已經到了」
[00:02:09.000 --> 00:02:12.000]  教會裏面有些人很害怕
[00:02:12.000 --> 00:02:14.000]  「主的日子已經到了」
[00:02:14.000 --> 00:02:15.000]  他們很害怕
[00:02:15.000 --> 00:02:18.000]  所以保羅在二章二節就提醒教會說
[00:02:18.000 --> 00:02:21.000]  「無論藉著靈,藉著言語」
[00:02:21.000 --> 00:02:24.000]  「藉著冒我的名,寫的書信」
[00:02:24.000 --> 00:02:26.000]  「處主的日子已經到了」
[00:02:26.000 --> 00:02:29.000]  「不要輕而動心」
[00:02:29.000 --> 00:02:31.000]  「也不要驚慌」
[00:02:31.000 --> 00:02:34.000]  不用害怕
[00:02:34.000 --> 00:02:37.000]  為甚麼這個錯誤教導會
[00:02:37.000 --> 00:02:41.000]  會令到教會的信徒驚慌呢?
[00:02:41.000 --> 00:02:44.000]  我相信當地的信徒會驚慌
[00:02:44.000 --> 00:02:48.000]  由於保羅在《跌殺羅尼迦前書》說
[00:02:48.000 --> 00:02:50.000]  主在來的時候
[00:02:50.000 --> 00:02:52.000]  教會是會被提的
[00:02:52.000 --> 00:02:55.000]  與主在空中相遇
[00:02:55.000 --> 00:02:58.000]  而在教會裏面的信徒
[00:02:58.000 --> 00:03:00.000]  如果主真的來了
