
[00:00:00.000 --> 00:00:02.960]  在我和大家一起分享主的話語之前
[00:00:02.960 --> 00:00:04.800]  請大家和我一起
[00:00:04.800 --> 00:00:07.200]  藉著禱告來親近我們的主
[00:00:07.200 --> 00:00:09.200]  我們一起來禱告吧
[00:00:09.200 --> 00:00:14.200]  創造天地萬物的主宰
[00:00:14.200 --> 00:00:16.200]  我們天上的爸爸
[00:00:16.200 --> 00:00:17.920]  我們多謝你
[00:00:17.920 --> 00:00:21.040]  多謝你藉著主耶穌基督的拯救
[00:00:21.040 --> 00:00:25.400]  讓我們能夠可以在罪裡面得著釋放
[00:00:25.400 --> 00:00:28.160]  讓我們成為一個自由人
[00:00:28.160 --> 00:00:30.320]  讓我們在這個地上
[00:00:30.320 --> 00:00:35.160]  不是隨隨便便地過一生的生活
[00:00:35.160 --> 00:00:39.640]  而是我們在這個地上有這個使命
[00:00:39.640 --> 00:00:43.120]  我們在這個地上是為你去活
[00:00:43.120 --> 00:00:46.600]  我們在這個地上是為你去作見證
[00:00:46.600 --> 00:00:49.320]  主啊我們懇求你在我們當中
[00:00:49.320 --> 00:00:51.880]  每一個心裡面去工作
[00:00:51.880 --> 00:00:54.280]  藉著你自己的聖靈
[00:00:54.280 --> 00:00:56.360]  向我們說話
[00:00:56.360 --> 00:00:59.520]  幫助你自己卑微不配的僕人
[00:00:59.520 --> 00:01:02.920]  讓他所說的都是合乎你自己的心意
[00:01:02.920 --> 00:01:05.400]  一些不合適的求你拿走
[00:01:05.400 --> 00:01:06.800]  求你幫助我們
[00:01:06.800 --> 00:01:10.440]  不單單的用我們的耳朵去聽
[00:01:10.440 --> 00:01:12.640]  而是我們在你的裡面
[00:01:12.640 --> 00:01:15.760]  我們心裡面去領受你自己的說話
[00:01:15.760 --> 00:01:17.680]  並且願意走出來
[00:01:17.680 --> 00:01:20.800]  將以下時間完全地去仰望
[00:01:20.800 --> 00:01:22.320]  求你主耶穌
[00:01:22.320 --> 00:01:24.160]  求你自己親自的臨在
[00:01:24.160 --> 00:01:26.360]  求你親自向我們說話
[00:01:26.360 --> 00:01:28.280]  我們禱告求你接納
[00:01:28.280 --> 00:01:30.760]  奉耶穌基督的名求
[00:01:30.760 --> 00:01:31.760]  阿們
[00:01:31.760 --> 00:01:36.360]  昨晚是中秋節
[00:01:36.360 --> 00:01:39.080]  我不知道大家怎樣慶祝
[00:01:39.080 --> 00:01:42.000]  是不是四月餅啊玩燈籠啊
[00:01:42.000 --> 00:01:45.120]  我發覺其實現在玩什麼都好
[00:01:45.120 --> 00:01:46.640]  特別是我們這樣的年紀
[00:01:46.640 --> 00:01:49.960]  最重要就是一家人齊齊整整平平安安
[00:01:49.960 --> 00:01:51.760]  能夠坐在一起吃一頓飯
[00:01:51.760 --> 00:01:54.360]  一起的歡聚已經是很難得
[00:01:54.360 --> 00:01:56.000]  所以其實每一頓
[00:01:56.000 --> 00:01:58.800]  其實都應該要好好地去珍惜
[00:01:58.800 --> 00:02:02.240]  我聽過有一個新婚太太
[00:02:02.240 --> 00:02:05.040]  剛剛結了婚沒多久
[00:02:05.040 --> 00:02:07.360]  第一個的中秋節
[00:02:07.360 --> 00:02:13.280]  她很希望給新婚的丈夫有一種驚喜
[00:02:13.280 --> 00:02:18.040]  所以她那天故意早點下班
[00:02:18.040 --> 00:02:20.160]  拿幾個小時假
[00:02:20.160 --> 00:02:25.000]  早點下班在家裡煮九大鬼
[00:02:25.000 --> 00:02:30.560]  希望二人世界和新婚的丈夫
[00:02:30.560 --> 00:02:32.560]  一起甜蜜甜蜜
[00:02:32.560 --> 00:02:38.200]  一起享受中秋節的晚宴
[00:02:38.200 --> 00:02:41.120]  但是很可惜的一件事就是
[00:02:41.120 --> 00:02:42.520]  打算給驚喜
[00:02:42.520 --> 00:02:45.320]  誰知道老公回來的時候就好像
[00:02:45.320 --> 00:02:46.240]  什麼在家裡吃啊
[00:02:46.240 --> 00:02:47.840]  不是在外面吃啊
[00:02:47.840 --> 00:02:51.160]  接著一邊吃一邊說
[00:02:51.160 --> 00:02:53.720]  這東西好像沒什麼味道啊
[00:02:53.720 --> 00:02:57.080]  那樣東西通常新婚太太
[00:02:57.080 --> 00:02:59.520]  很多時候煮食最初那一年
[00:02:59.520 --> 00:03:03.000]  都是在試驗階段
[00:03:03.000 --> 00:03:05.000]  這件事就好像說說
[00:03:05.000 --> 00:03:06.360]  那樣東西就好像說說
[00:03:06.360 --> 00:03:09.080]  接著又間中間中彈一句出來
[00:03:09.080 --> 00:03:11.600]  就說為何不外出吃呢
[00:03:11.600 --> 00:03:13.960]  新婚啊
[00:03:13.960 --> 00:03:19.120]  為何不一起出去燭光晚餐多好呢
[00:03:19.120 --> 00:03:21.040]  彈彈彈彈
[00:03:21.040 --> 00:03:23.360]  接著好像沒什麼心情吃
[00:03:23.360 --> 00:03:25.240]  接著拿手機出來
[00:03:25.240 --> 00:03:25.960]  又看看東西
[00:03:25.960 --> 00:03:26.840]  又看看這件事
[00:03:26.840 --> 00:03:28.440]  又看看那件事
[00:03:28.440 --> 00:03:32.360]  我看到這裡也有很多位姐妹
[00:03:32.360 --> 00:03:34.000]  如果是你的話
[00:03:34.000 --> 00:03:35.560]  在這樣的場景之下
[00:03:35.560 --> 00:03:37.760]  不知道你有什麼感受
[00:03:37.760 --> 00:03:40.880]  接著那個太太就
[00:03:40.880 --> 00:03:43.720]  走到窗邊去
[00:03:43.720 --> 00:03:49.400]  一聲就望著窗外的月光
[00:03:49.400 --> 00:03:50.440]  接著就是
[00:03:50.440 --> 00:03:57.880]  我全心全意向明月奈何
[00:03:57.880 --> 00:04:00.400]  我們今天的題目是
