
[00:00:00.000 --> 00:00:05.000]  善有善報,惡有惡報,若然不報,時辰未到
[00:00:05.000 --> 00:00:09.000]  這是華人的傳統智慧
[00:00:09.000 --> 00:00:15.000]  不過這個說法後面可能有兩個假設
[00:00:15.000 --> 00:00:19.000]  第一是這個世界有一個規律
[00:00:19.000 --> 00:00:22.000]  好像物理定律一樣運作
[00:00:22.000 --> 00:00:27.000]  在地球上一定會這樣發生
[00:00:27.000 --> 00:00:30.000]  例如有蘋果從樹上掉下來
[00:00:30.000 --> 00:00:34.000]  一定會掉到地上,不會飛上空中
[00:00:34.000 --> 00:00:40.000]  也不會掉到中間時突然不掉,懸掛在空中
[00:00:40.000 --> 00:00:43.000]  這是萬有引力的定律
[00:00:43.000 --> 00:00:46.000]  在道德方面是否有這樣的定律呢?
[00:00:46.000 --> 00:00:54.000]  我相信未有人能證明到善有善報,惡有惡報的必然定律
[00:00:54.000 --> 00:00:58.000]  不過這個說法可能有另外一個假設
[00:00:58.000 --> 00:01:02.000]  有一位掌管人類的上帝存在
[00:01:02.000 --> 00:01:07.000]  他會按我們的行為報應我們
[00:01:07.000 --> 00:01:11.000]  這個假設要我們憑信心去相信
[00:01:11.000 --> 00:01:17.000]  單憑觀察和人生經驗是不夠的
[00:01:17.000 --> 00:01:22.000]  有一位詩人對人生有不同的觀察
[00:01:22.000 --> 00:01:26.000]  在詩篇73篇3-8節
[00:01:26.000 --> 00:01:29.000]  詩人觀察到甚麼呢?
[00:01:29.000 --> 00:01:33.000]  因為我嫉妒傲慢人的發達
[00:01:33.000 --> 00:01:37.000]  見邪惡者興旺心懷不平
[00:01:37.000 --> 00:01:39.000]  他們沒有遭遇痛苦
[00:01:39.000 --> 00:01:42.000]  他們強壯健康
[00:01:42.000 --> 00:01:45.000]  他們不像別人受苦
[00:01:45.000 --> 00:01:48.000]  他們不像別人遭遇患難
[00:01:48.000 --> 00:01:52.000]  因此他們把驕傲當項鏈大
[00:01:52.000 --> 00:01:55.000]  他們把暴力當袍子穿
[00:01:55.000 --> 00:01:57.000]  他們心裡湧出邪惡
[00:01:57.000 --> 00:01:59.000]  他們的意念充滿詭詐
[00:01:59.000 --> 00:02:02.000]  他們嘲笑別人說邪惡的話
[00:02:02.000 --> 00:02:07.000]  他們自高自大圖謀欺壓別人
[00:02:07.000 --> 00:02:09.000]  詩人在這裡似乎是說
[00:02:09.000 --> 00:02:15.000]  他其實看到很多惡人是很順利的
[00:02:15.000 --> 00:02:19.000]  他沒有看到惡人得到惡報
[00:02:19.000 --> 00:02:24.000]  當然這可能只是由於事實未讀
[00:02:24.000 --> 00:02:31.000]  究竟有沒有一位公義的上帝主持公道呢?
[00:02:31.000 --> 00:02:37.000]  這就在乎我們的信心和眼界
[00:02:37.000 --> 00:02:43.000]  我們憑信心相信上帝是公義的
[00:02:43.000 --> 00:02:49.000]  在沒有摩西律法之前
[00:02:49.000 --> 00:02:54.000]  亞伯拉罕已經曾經對上帝說過這句話
[00:02:54.000 --> 00:02:59.000]  他說你一定不會把無辜者跟有罪的人一起殺掉
[00:02:59.000 --> 00:03:01.000]  一定不會
[00:03:01.000 --> 00:03:03.000]  你這樣做
[00:03:03.000 --> 00:03:07.000]  無辜者就跟有罪的人一起受罰了
[00:03:07.000 --> 00:03:09.000]  一定不會
[00:03:09.000 --> 00:03:16.000]  世界的審判者一定是公正的
[00:03:16.000 --> 00:03:20.000]  而我們的眼界有時要放遠一點
[00:03:20.000 --> 00:03:27.000]  我們要學習從永恆的角度去看上帝的審判
