
[00:00:00.000 --> 00:00:03.500]  有一位老人家在他八十大壽的日子
[00:00:03.500 --> 00:00:06.500]  講了一個很意義深長的比喻
[00:00:06.500 --> 00:00:11.000]  他說當我利用價值仍然很高的時候
[00:00:11.000 --> 00:00:15.500]  我的子女 要我照顧他們子女的時候
[00:00:15.500 --> 00:00:19.000]  我好像一個籃球
[00:00:19.000 --> 00:00:22.500]  他們你爭我奪 搶著要
[00:00:22.500 --> 00:00:27.500]  當我體力不敷 身體開始出現毛病的時候
[00:00:28.500 --> 00:00:31.000]  我要去這裡看醫生
[00:00:31.000 --> 00:00:33.500]  要去那裡做化驗
[00:00:33.500 --> 00:00:36.500]  我好像一個排球
[00:00:36.500 --> 00:00:40.500]  他們你推過來 我推過去
[00:00:40.500 --> 00:00:44.500]  當我年紀老了 行動不便
[00:00:44.500 --> 00:00:47.500]  他們覺得我囉囉唆唆的時候
[00:00:47.500 --> 00:00:50.500]  我好像一個足球
[00:00:50.500 --> 00:00:54.500]  他們多想狠狠的將我踢出去
[00:00:56.000 --> 00:00:59.000]  當我越來越愚蠢
[00:00:59.000 --> 00:01:02.500]  而他們對我的耐性又越來越少的時候
[00:01:02.500 --> 00:01:06.500]  我好像一個高爾夫級
[00:01:06.500 --> 00:01:09.500]  他們將我打得越遠越好
[00:01:09.500 --> 00:01:12.500]  然後呢 他們逍遙自在
[00:01:12.500 --> 00:01:16.000]  慢慢行 又再又再
[00:01:16.000 --> 00:01:19.500]  隔很久才回來找回這個球
[00:01:19.500 --> 00:01:21.500]  就是我
[00:01:21.500 --> 00:01:23.500]  但是你知不知道
[00:01:23.500 --> 00:01:27.000]  我多想做一個籃球
[00:01:27.000 --> 00:01:31.000]  看到那些球員跌到腰酸背痛
[00:01:31.000 --> 00:01:32.500]  筋疲力盡
[00:01:32.500 --> 00:01:36.500]  仍然緊緊的抱著這個籃球不放
[00:01:36.500 --> 00:01:39.500]  我就心滿意足
[00:01:39.500 --> 00:01:42.500]  無論我們作為子女的
[00:01:42.500 --> 00:01:45.500]  又或者作為父親或者母親的
[00:01:45.500 --> 00:01:51.500]  都盼望我們對我們的至親父母 子女
[00:01:51.500 --> 00:01:54.500]  好像籃球一樣
[00:01:54.500 --> 00:01:56.500]  就讓我們將這個盼望
[00:01:56.500 --> 00:02:00.000]  放在我們的禱告裡面
[00:02:00.000 --> 00:02:04.000]  但是 上帝會誰聽嗎
[00:02:04.000 --> 00:02:07.000]  會應運嗎
[00:02:07.000 --> 00:02:10.500]  太福音七章七到八
[00:02:10.500 --> 00:02:12.500]  七到十二節
[00:02:12.500 --> 00:02:15.000]  你們祈求 就給你們
[00:02:15.000 --> 00:02:18.000]  因為凡祈求的 就得著
[00:02:18.000 --> 00:02:20.000]  尋找的 就尋見
[00:02:20.000 --> 00:02:23.500]  叩門的 就給他開門
[00:02:23.500 --> 00:02:25.500]  你們中間誰有兒子求餅
[00:02:25.500 --> 00:02:27.500]  反給他石頭呢
[00:02:27.500 --> 00:02:29.500]  求魚 反給他蛇呢
[00:02:29.500 --> 00:02:31.000]  你們雖然不好
[00:02:31.000 --> 00:02:33.500]  尚且知道拿好東西給兒女
[00:02:33.500 --> 00:02:35.500]  何況你們在天上的父
