
[00:00:00.000 --> 00:00:01.140]  祝我們平安
[00:00:01.140 --> 00:00:07.520]  讓我們在一起首先做一次低頭祈禱
[00:00:07.520 --> 00:00:11.760]  真祖我們感謝祢讓我們在殿裡一起的敬拜
[00:00:11.760 --> 00:00:14.000]  我們懇求祢賜下祢的聖靈
[00:00:14.000 --> 00:00:16.480]  讓我們能夠明白祢懷疑中國奧秘
[00:00:16.480 --> 00:00:20.440]  更加讓講的和聽的都同望祢的閱讀
[00:00:20.440 --> 00:00:22.720]  祈禱奉主耶穌基督的名求
[00:00:22.720 --> 00:00:25.240]  阿們
[00:00:25.240 --> 00:00:30.480]  題目是「不想禱告,可不可以呢?」
[00:00:30.480 --> 00:00:32.800]  其實不想禱告真的很真實
[00:00:32.800 --> 00:00:35.200]  有時候真的不知道為什麼
[00:00:35.200 --> 00:00:37.240]  總之就是不想
[00:00:37.240 --> 00:00:38.840]  可不可以呢?
[00:00:38.840 --> 00:00:40.920]  當然可以
[00:00:40.920 --> 00:00:43.360]  不過問題是我們要再問多一樣事情
[00:00:43.360 --> 00:00:48.360]  你是不是想跟神的關係繼續這樣?
[00:00:48.360 --> 00:00:51.680]  就好像你不想跟一個人接觸一樣
[00:00:51.680 --> 00:00:52.760]  當你不接觸的時候
[00:00:52.760 --> 00:00:56.160]  是不會修補到大家的關係
[00:00:56.160 --> 00:00:59.120]  就算我們大家沒有隔閡也好
[00:00:59.120 --> 00:01:00.720]  如果沒有接觸的話
[00:01:00.720 --> 00:01:03.680]  大家的關係都會慢慢冰封
[00:01:03.680 --> 00:01:07.440]  到時要解凍的話真的沒那麼容易
[00:01:07.440 --> 00:01:08.800]  其實我們跟神的關係
[00:01:08.800 --> 00:01:10.960]  都跟人的關係一樣
[00:01:10.960 --> 00:01:11.880]  我們沒有接觸
[00:01:11.880 --> 00:01:12.760]  雖然有回教
[00:01:12.760 --> 00:01:14.400]  有侍奉
[00:01:14.400 --> 00:01:16.080]  有學習
[00:01:16.080 --> 00:01:18.480]  就好像大家住在同一間房子裡
[00:01:18.480 --> 00:01:20.320]  沒辦法談的
[00:01:20.320 --> 00:01:21.800]  當透明
[00:01:21.800 --> 00:01:24.920]  雖然間彼此都會幫忙
[00:01:24.920 --> 00:01:26.480]  不過我們賞心一層
[00:01:26.480 --> 00:01:28.000]  跟搭檯吃飯
