
[00:00:00.000 --> 00:00:01.800]  好 弟兄姊妹 早安
[00:00:01.800 --> 00:00:05.160]  我們今天繼續一齊跟大家思想
[00:00:05.160 --> 00:00:06.760]  講不多的前書
[00:00:06.760 --> 00:00:10.840]  我們今天思想的題目是關於離婚和結婚
[00:00:10.840 --> 00:00:13.240]  我們首先做一個低頭祈禱
[00:00:13.240 --> 00:00:16.120]  天父啊 我們求您帶領我們
[00:00:16.120 --> 00:00:17.880]  想到今天這個時代
[00:00:17.880 --> 00:00:20.080]  對於結婚 對於離婚的觀念
[00:00:20.080 --> 00:00:22.520]  其實很多人都是很隨便
[00:00:22.520 --> 00:00:25.600]  而事實上在基督徒中間
[00:00:25.600 --> 00:00:27.960]  我們都需要有一個正確的觀念
[00:00:27.960 --> 00:00:29.720]  讓我們明白祢的心意
[00:00:29.720 --> 00:00:31.960]  也讓我們走在祢的旨意當中
[00:00:31.960 --> 00:00:34.160]  願祢藉著今天的聖經教導我們
[00:00:34.160 --> 00:00:36.320]  奉耶穌基督的名祈求 阿們
[00:00:36.320 --> 00:00:41.960]  今天我們看到哥倫多前書第七章
[00:00:41.960 --> 00:00:49.080]  基本上講到關於離婚和結婚的保羅教導
[00:00:49.080 --> 00:00:51.320]  哥倫多人究竟怎樣去處理
[00:00:51.320 --> 00:00:54.440]  我相信對於昔日哥倫多人
[00:00:54.440 --> 00:00:56.480]  他們怎樣去處理離婚的教導
[00:00:56.480 --> 00:00:59.600]  其實對於我們今天都是很有意思
[00:00:59.600 --> 00:01:01.400]  特別是在現在這個社會
[00:01:01.400 --> 00:01:03.600]  在美國的數字來說
[00:01:03.600 --> 00:01:06.560]  自從70年代開始
[00:01:06.560 --> 00:01:12.520]  即是這個聖解放的思潮開始氾濫之後
[00:01:12.520 --> 00:01:19.440]  美國的離婚率基本上持續都是接近50%
[00:01:19.440 --> 00:01:21.280]  持續都是50%
[00:01:21.280 --> 00:01:26.320]  一直由70年代到現在2020年
[00:01:26.320 --> 00:01:28.000]  2020年的數字還沒有出
[00:01:28.000 --> 00:01:31.080]  但是2019年都是50%
[00:01:31.080 --> 00:01:32.480]  意思是什麼呢?
[00:01:32.480 --> 00:01:36.440]  意思就是說每兩對人結婚
[00:01:36.440 --> 00:01:39.280]  就有一對人會離婚
[00:01:39.280 --> 00:01:42.240]  每兩對人結婚就會有一對人離婚
[00:01:42.240 --> 00:01:43.720]  即使在現在來說
[00:01:43.720 --> 00:01:47.800]  近這十年基本上結婚的數字
[00:01:47.800 --> 00:01:50.440]  其實在西方社會美國都是如是
[00:01:50.440 --> 00:01:51.640]  其實已經是下降
[00:01:51.640 --> 00:01:53.480]  很多人都覺得太麻煩了
[00:01:53.480 --> 00:01:55.000]  不想結婚了
[00:01:55.000 --> 00:01:56.800]  但是你可以想一下
[00:01:56.800 --> 00:01:59.080]  如果少了人結婚
