
[00:00:00.000 --> 00:00:07.340]  我們整個英語的糖的you這些青少年都在玩都在玩這個game玩的很開心花很多的時間
[00:00:07.340 --> 00:00:12.760]  然後不但只是you我們在sandiego我們聖地亞哥有件教會
[00:00:12.760 --> 00:00:19.040]  sandiego的教會里面不但只全個教會整個教會不但只是年輕人
[00:00:19.040 --> 00:00:22.160]  family有孩子的爸爸
[00:00:22.160 --> 00:00:24.720]  一同每一個都在玩這個game
[00:00:24.720 --> 00:00:29.720]  所以他們一下班就拋下他們的妻兒子女就開始玩這個game
[00:00:30.360 --> 00:00:33.840]  這個game有個特點就是如果你要玩的話你要花很多時間
[00:00:33.840 --> 00:00:35.560]  你可以玩很久
[00:00:35.560 --> 00:00:39.200]  然後呢有些人爲了玩這個game玩了花很多的錢
[00:00:39.200 --> 00:00:46.920]  因爲你可以花錢買寶石要去抽一些的怪物 那個怪物是很特別的 所以如果你要很經典的怪物你要花錢
[00:00:46.920 --> 00:00:49.280]  有人花了很多錢花了很多的時間
[00:00:49.280 --> 00:00:54.600]  那麼所以我們那天說我跟他們聊天的時候說哎爲什麼最近很popular這個game
[00:00:54.600 --> 00:00:58.440]  那麼我們在聊起game的時候呢就突然聊起一件事情我說啊
[00:00:59.320 --> 00:01:02.480]  你知道我們都有很多的不同的game對不對
[00:01:02.480 --> 00:01:05.240]  有些遊戲呢你玩一玩就膩了
[00:01:05.240 --> 00:01:07.440]  你玩個一個月你就不會再玩
[00:01:07.440 --> 00:01:12.200]  也不你也不會想要花錢玩那個遊戲 如果是free的你可能會玩
[00:01:12.200 --> 00:01:16.880]  可是很奇怪有些遊戲是你要不斷花錢的去買一些什麼
[00:01:16.880 --> 00:01:20.320]  特別的那些的武器啊什麼的weapon啊
[00:01:20.320 --> 00:01:27.280]  有些的game是要花你很多的時間的 你可以玩幾年都不膩還是一直花很多的時間玩
[00:01:27.960 --> 00:01:35.800]  你知道凡是那種那種要你花很多時間花很多錢的game他都有一種特性是什麼特性呢
[00:01:35.800 --> 00:01:42.360]  這個game的主人無論是隻怪物還是就是那個代表你去打仗的那個我說是英雄還是怪物
[00:01:42.360 --> 00:01:46.400]  這個主人必須可以不斷的升職的
[00:01:46.400 --> 00:01:49.120]  必須可以不斷的升職
[00:01:49.120 --> 00:01:52.760]  所以這種game才讓你可以玩很久很久
[00:01:53.200 --> 00:02:00.560]  因爲你會不斷的期待說哎如果我的代表我那個怪物如果再升一級的話他會變成什麼樣子
[00:02:00.560 --> 00:02:10.160]  他生命力更強的攻擊力更強防禦力更強或許有新的招數出來我很期待說他就不斷花很多時間不斷玩不斷玩不斷花很多的時間
[00:02:10.160 --> 00:02:15.680]  從這種game的現象我們知道一件事一個不變的真理
[00:02:16.840 --> 00:02:25.680]  當神在照我們的時候 原來在我們的內心深處每一個人其實我們都渴望可以不斷的升職的
[00:02:25.680 --> 00:02:32.640]  就像我們玩game一樣 我們期待我們人是每一天每個月不斷的有一些升職
[00:02:32.640 --> 00:02:36.320]  變得更有價值 變得升一個level 我們都期待這樣
[00:02:36.320 --> 00:02:39.760]  只是有時候我們把這個時間精力放去
[00:02:40.720 --> 00:02:49.200]  生一些在牡蠣世界裏面 在那個虛無的世界裏面存在的一個根本不存在一隻怪獸 我們花很多時間錢讓他去升職
[00:02:49.200 --> 00:02:52.720]  我們自己沒有生 我記得很多年前有個學生
[00:02:52.720 --> 00:03:01.840]  當時玩一個online game是很popular 大家都在玩 然後他他玩了幾年的時間 有時候不喫不喝不不睡覺去玩那個game
[00:03:01.840 --> 00:03:06.560]  花了很多的錢 他終於把那個game的主人翁把那個character
[00:03:07.120 --> 00:03:15.040]  build到一個幾乎神級的這個對這種的這種的level雖然在那幾年當中他自己自己一點都沒有長進 不過
[00:03:15.040 --> 00:03:20.800]  但是matter就是在game在那個世界裏面內置的怪物被升的很厲害
[00:03:20.800 --> 00:03:27.000]  那麼終於在幾年過後 他就有一天經過幾個月的掙扎 他那天終於宣佈說
[00:03:27.000 --> 00:03:34.200]  今天晚上我要跟這個遊戲裏面這隻怪物說再見 我要跟他做一個了斷
[00:03:34.880 --> 00:03:40.400]  從今天之後我要delete這個account 我要delete這個怪物 從此以後我不再打
[00:03:40.400 --> 00:03:48.400]  不再打 所以因爲所以他就告訴他的朋友 他的roommate要去大家一起來 要怎麼一起喫飯呢 有個很隆重的儀式啊
[00:03:48.400 --> 00:03:53.280]  因爲知道畢竟是人生一件大事嘛 就是一個大決定 所以就大家有個儀式
[00:03:53.280 --> 00:04:00.280]  然後大家就手託手爲他加油you can do it you can do it這樣 他就掙扎掙扎 哇 幾年時間花了很多錢
[00:04:00.760 --> 00:04:08.280]  要終於一按下去delete delete 真的按下去delete 你知道那一刻真的是驚天地動鬼神 知道嗎
[00:04:08.280 --> 00:04:16.080]  哇 那一刻太厲害了 那個太厲害 事後我問他說 哎 你花這麼多時間 花這麼多錢去
[00:04:16.080 --> 00:04:24.720]  才讓你的這隻怪物升級升到這個level 爲什麼你會想說今天我想跟他做一個了斷
[00:04:25.800 --> 00:04:30.760]  然後他的回應是這樣 他說 在這幾個月當中 他在想一件事
[00:04:30.760 --> 00:04:37.480]  他說 這幾年其實我一點都沒長進 只是這個怪物在不斷的升級 我沒有升級
[00:04:37.480 --> 00:04:43.960]  他就想說 哎 如果我把所有的時間就花在這隻怪物上面的時間
[00:04:43.960 --> 00:04:47.400]  花在這個虛擬世界裏面的時間跟錢
[00:04:47.400 --> 00:04:53.760]  花在我的身上 讓我自己真實存在的我去升職的話
[00:04:54.760 --> 00:04:57.240]  我今天應該不至於落到這種地步
[00:04:57.240 --> 00:05:04.800]  那爲什麼我還要繼續花這個時間錢去讓一個根本不存在的東西讓他生 而我自己沒有生呢
[00:05:04.800 --> 00:05:11.360]  所以他後來想越想越不妥 他終於就很掙扎 最終於他那個晚上做的人生最大一個決定就是
[00:05:11.360 --> 00:05:20.840]  我要真的跟這個怪物說再見 從此之後我要把時間錢花在我的身上 讓我自己去升職 而不是讓這隻怪物升職
[00:05:21.800 --> 00:05:29.960]  也就是今天我們要講的題目 讓我們的信仰升職 我們每個人內心裏面都希望自己可以升的
[00:05:29.960 --> 00:05:32.680]  只是有時候我們把時間錢
[00:05:32.680 --> 00:05:36.000]  都花在花錯了地方
[00:05:36.000 --> 00:05:45.880]  我們不斷的使我們的房子升值很高興 我們的股票升了 我的職業升了 我的小孩不斷的升 不斷的升 可是你知道這一切都會過去
[00:05:46.800 --> 00:05:52.240]  但是神所賜給我們一個永恆的生命 這個生命是一直會存存到永恆的
[00:05:52.240 --> 00:05:59.760]  這個生命有時候並沒有花時間說 我想讓這個去升職 讓這個變得不一樣
[00:05:59.760 --> 00:06:04.720]  你有沒有想過你可以像game裏面這怪物一樣 你可以不斷升職
[00:06:04.720 --> 00:06:08.760]  你的生命力可以不斷的長進 你的動力會變得不一樣
[00:06:08.760 --> 00:06:11.040]  所以今天我們就來講說
[00:06:11.520 --> 00:06:17.600]  一個新的系列 我們講的是一個一個系列的 這個系列有幾堂 在這個系列裏面我們就講到說
[00:06:17.600 --> 00:06:24.800]  我們怎麼把我們屬靈的生命 一個真正的生命 讓他可以好好的升職 那麼今天我們要講一個
[00:06:24.800 --> 00:06:30.920]  如果你要屬靈生命升職 不得不提的題目 也是最難題的題目 就講到順服
[00:06:30.920 --> 00:06:34.760]  呃 我們很想升職 可是有時候很不想順服
[00:06:35.360 --> 00:06:45.240]  所以今天啊 我第一個想要講的是順服的原因 順服的原因啊 順服有不同的原因 有些人認爲說 我認識神 爲什麼要順服他呢 爲什麼聽他話
[00:06:45.240 --> 00:06:47.640]  原因會不一樣 第一個原因
