
[00:00:00.000 --> 00:00:05.480]  頂姐妹新年快樂,很開心能夠在一起有崇拜的時間
[00:00:05.480 --> 00:00:09.120]  又見到我了,因為經常包頭包尾
[00:00:09.120 --> 00:00:12.480]  我們今年新的主題,所以今天是一個點題的時間
[00:00:12.480 --> 00:00:15.320]  先讀一下我們的主題,1,2,3
[00:00:15.320 --> 00:00:19.920]  高舉基督作王,見證神就是愛
[00:00:19.920 --> 00:00:24.840]  我們會有四季的分題,為大家做多了一個景點
[00:00:24.840 --> 00:00:29.160]  新的分題在那邊,我們頭一季是會講認識基督的
[00:00:29.160 --> 00:00:34.600]  但好奇問一下,頂姐妹知不知道為什麼教會的主題會出現
[00:00:34.600 --> 00:00:38.800]  分開教會這麼久,我不知道,是你們定的
[00:00:38.800 --> 00:00:43.400]  其實不是的,每一年大約在年中我們就會開始思考
[00:00:43.400 --> 00:00:47.440]  我們之後那一年究竟應該怎樣去發展
[00:00:47.440 --> 00:00:50.760]  因為都看見教會行了半年在同一個主題的裏面
[00:00:50.760 --> 00:00:55.880]  如果我們回顧一下,其實上帝在我們當中都是親自成為我們的王
[00:00:55.880 --> 00:01:00.000]  每一次都是上帝在特別的時間去帶領我們走不同的路
[00:01:00.000 --> 00:01:03.360]  我們2015年是搬離長沙灣的,大家還記不記得
[00:01:03.360 --> 00:01:07.320]  是九月份的時間,但是我們當年的主題是什麼
[00:01:07.320 --> 00:01:11.320]  是從零開始同心合一,為什麼會有這個主題呢
[00:01:11.320 --> 00:01:15.040]  可能有些人心水清,都記得在2014年尾
[00:01:15.040 --> 00:01:19.840]  我們出現了整個香港一個很大的動盪,就是佔中的事件
[00:01:19.840 --> 00:01:23.000]  本來這個只是屬於政治的事件,不知道為什麼
[00:01:23.000 --> 00:01:25.640]  就會影響到整個宗教的層面
[00:01:25.640 --> 00:01:29.280]  教會裏面有很多頂尖媒人有政見不同就吵架
[00:01:29.280 --> 00:01:31.680]  老的一批和亂的一批又吵架
[00:01:31.680 --> 00:01:34.720]  其實教會甚至是面對了分裂
[00:01:34.720 --> 00:01:40.040]  所以你明白為什麼2015年上帝叫我們專注在主的裏面
[00:01:40.040 --> 00:01:42.320]  我們是互為之體,彼此相愛的
[00:01:42.320 --> 00:01:45.480]  在這個同心合一的狀態裏面
[00:01:45.480 --> 00:01:49.960]  我們以為是維持了,頂著這個所謂佔中帶來的後遺症
[00:01:49.960 --> 00:01:54.200]  但是想不到原來上帝為我們預備了一個新的地方
[00:01:54.200 --> 00:01:56.560]  就是今天我們坐的地方
[00:01:56.560 --> 00:02:01.200]  將一間教會由一個地區搬到另一個地區
[00:02:01.200 --> 00:02:02.760]  是一件很動盪的事
[00:02:02.760 --> 00:02:04.920]  特別是一間這麼大型的教會
[00:02:04.920 --> 00:02:08.080]  知不知道我們當中少了多少人
[00:02:08.080 --> 00:02:13.160]  我們有三百多四百多人在當中沒有跟我們出來
[00:02:13.160 --> 00:02:18.640]  包括我們老人家和一些可能在地區裏面的頂尖媒人
[00:02:18.640 --> 00:02:22.760]  他們都會散落在不同的教會裏面繼續生活
[00:02:22.760 --> 00:02:26.920]  我們在這樣的狀態之後就出來長生還
[00:02:26.920 --> 00:02:30.760]  所以你看到雖然人數我們很快就有些取代
[00:02:30.760 --> 00:02:35.040]  2016年的主題就已經很清楚告訴我們
[00:02:35.040 --> 00:02:38.240]  我們是建立生命關愛社群
[00:02:38.240 --> 00:02:43.040]  原因就是先來坐落一個新的社區的時候
[00:02:43.040 --> 00:02:44.680]  有新的信徒會加入
[00:02:44.680 --> 00:02:47.080]  我們有很多的適應和調整
[00:02:47.080 --> 00:02:50.920]  最重要就是被人稱為一個社區教會
[00:02:50.920 --> 00:02:53.360]  如果是深水清或者是頂尖媒體就知道
[00:02:53.360 --> 00:02:54.720]  其實我們沒有什麼理念
[00:02:54.720 --> 00:02:57.640]  只不過當初就是不想白佔地圖
[00:02:57.640 --> 00:02:59.640]  星期日 星期六用完
[00:02:59.640 --> 00:03:02.680]  平日晚上我們都叫好
[00:03:02.680 --> 00:03:03.480]  晚晚有小組
[00:03:03.480 --> 00:03:04.880]  其實還有很多時間
[00:03:04.880 --> 00:03:09.000]  於是我們就膽粗粗地自己營運一個所謂社會服務
[00:03:09.000 --> 00:03:13.400]  其實當中是浸信會一個很重要的概念
[00:03:13.400 --> 00:03:14.840]  local church
[00:03:14.840 --> 00:03:18.400]  意思就是說如果上帝差派你在那裏開一間教會
[00:03:18.400 --> 00:03:23.000]  其實你坐落的社區是我們的羊
[00:03:23.000 --> 00:03:25.280]  我們對他們是有傳呼音的責任的
[00:03:25.280 --> 00:03:27.120]  於是我們就靠著上帝的帶領
[00:03:27.120 --> 00:03:28.840]  我們就不斷地去學做
[00:03:28.840 --> 00:03:31.400]  但是2016年我曾經也說過
[00:03:31.400 --> 00:03:35.600]  是我們一個屬靈裏面有點厭悶的一年
[00:03:35.600 --> 00:03:36.760]  因為雖然搬了出來
[00:03:36.760 --> 00:03:37.520]  大家很興奮
[00:03:37.520 --> 00:03:39.840]  新的地方 新的事工
[00:03:39.840 --> 00:03:43.440]  但是我和牧師來說都是一個舊東西
[00:03:43.440 --> 00:03:45.200]  因為我們由零開始
[00:03:45.200 --> 00:03:46.120]  不是2016年
[00:03:46.120 --> 00:03:48.320]  我們當初這間教會就是由零開始
[00:03:48.320 --> 00:03:52.080]  於是就和神有一個不滿足的屬靈的要求
[00:03:52.080 --> 00:03:53.880]  就是要求屬靈的突破
[00:03:53.880 --> 00:03:57.080]  但是記不記得我們破到亂七八糟
[00:03:57.080 --> 00:04:02.160]  在當中經歷了很多突然間神蹟奇事的發生
[00:04:02.160 --> 00:04:04.200]  我們跌斃了腳
[00:04:04.200 --> 00:04:07.280]  椰青裏面出血
[00:04:07.280 --> 00:04:09.480]  教會不同的地方有香氣
[00:04:09.480 --> 00:04:10.840]  有些有金粉
[00:04:10.840 --> 00:04:14.760]  所有人都已經是一個癲狂的狀態
